A_mid,E,Egrad,Emass,F50_energy_fraction_mid,F90_energy_fraction_mid,cancellation_mid,energy_identity_relerr,eta_mid,fmass_global,gain_mid_vs_baseline,gain_mid_vs_l4,gain_mid_vs_local,mu_dx,mu_h,pad,pad_eta_mid_relerr_97_129,q_max,q_min,q_outward_weighted_median_mid,q_teacher_absdiff_mid,resolved_mu_dx,teacher_F90_energy_fraction,teacher_F90_gross_outward_fraction,wildcard
-0.045571119648103786,1.2592323389648594,0.9506430605618175,0.308589278403042,0.009021075670812806,0.12866016704300204,42.06669362573453,0.0,-0.03618960396582978,0.24506143056706678,-0.30030922433118856,1.2937216224094437,-0.5958736654194849,0.06471862719322255,0.25,97,0.0008134022026693404,3.999302369436745,2.0018580957129357,2.6563034230785356,0.006674283890651278,True,3.321007197545367e-05,0.25212650929344177,False
-0.05834449239559425,1.0390165535798737,0.6981473457015206,0.3408692078783531,0.0049424522281763675,0.11621746931065247,36.88142692771668,0.0,-0.056153573486939695,0.32806908292645315,-0.465974596273828,2.0074022435892065,-0.9245869529729728,0.09060607807051158,0.35,97,8.475459661907127e-05,3.9986329450154092,2.003635376215735,3.292469637167169,0.6428404979792846,True,5.495973232137995e-05,0.30802894077142956,False
-0.06081315035251145,0.7938471019655569,0.4535975867875032,0.3402495151780536,0.0028356438414258874,0.10266391803668247,37.11242706007117,2.7970701710096473e-16,-0.07660562116047126,0.42860837349610453,-0.6356901471436848,2.738530893761211,-1.2613366069362524,0.1294372543864451,0.5,97,2.444527909156304e-06,3.9972118950162017,2.0073911107751097,3.7961555030618475,1.1465263638739631,True,8.778274323800869e-05,0.3572366712312081,False
-0.05195000914278469,0.6458169470271092,0.325069167377731,0.32074777964937823,0.002315711440268753,0.09506931940329019,42.21336110996037,1.7190986234347813e-16,-0.08044076480483564,0.4966543246129995,-0.6675150053025422,2.8756312682899043,-1.3244835013575174,0.1617965679830564,0.625,97,1.2063767633978548e-07,3.9956468985268083,2.0115006256746257,3.9356549504864073,1.286025811298523,True,0.00011251733778232176,0.3803297668801214,True
-0.043961837671427584,0.5747688198592907,0.26913216639874754,0.3056366534605432,0.0020579804346105555,0.0917529901817231,48.13020225767957,1.9315992556745692e-16,-0.07648612129340956,0.5317557997237327,-0.6346985111915792,2.7342589608039245,-1.2593690025416193,0.18121215614102315,0.7,97,1.992493680357603e-08,3.9945424463024004,2.0143840934814965,3.944323119507589,1.2946939803197046,True,0.0001256441024341979,0.3892725957135659,False
-0.007949888205155742,0.37841504243167967,0.13679876861924928,0.2416162738124304,0.0019264456422938116,0.08479520494754622,214.08430745439742,1.4669382822243384e-16,-0.021008383160643095,0.6384954262383812,-0.17433214404286101,0.7510167719008152,-0.34590989971289005,0.2588745087728902,1.0,97,9.225293988913741e-11,3.98889352051743,2.0289187419554886,3.8818336785517986,1.2322045393639143,True,0.0001641145067145228,0.4029591087569872,False
0.024824105573203414,0.23893468260845613,0.06568744634294296,0.17324723626551317,0.0025913513144578387,0.08313915874658583,48.01236421880851,2.323277249884409e-16,0.10389494443501467,0.7250819946864498,0.8621429017203616,-3.7140814307201913,1.7106642398601457,0.3624243122820463,1.4,97,2.1772757326884816e-14,3.9783467557080074,2.0551242580376594,3.79517022353986,1.1455410843519758,True,0.00018623737936447398,0.39302413766846683,False
0.03289162961565928,0.19608996024968417,0.048166522588563326,0.14792343766112084,0.00293101467409505,0.08374714449696659,30.30734457310651,2.830902263459826e-16,0.16773744853524317,0.7543651774561421,1.3919219206840123,-5.9963508930004314,2.7618519501119896,0.41419921403662435,1.6,97,1.3237628619251199e-15,3.9733763275870104,2.0707816331074818,3.7565604681365388,1.1069313289486544,True,0.00018896469832500577,0.38275068410374996,True
0.03769931164576576,0.1535813842549446,0.03292632015523508,0.12065506409970952,0.003797513500411682,0.08534269684620163,20.900184797651086,1.8072226494296175e-16,0.24546797666040712,0.7856099532181745,2.0369467910905046,-8.775095447701288,4.041710518132432,0.48538970394916914,1.875,97,5.088243768885691e-15,3.9686719950271554,2.096838033086051,3.7115265851564065,1.0618974459685222,True,0.00018739613266123694,0.3663462550726122,True
0.03825034803292468,0.13866529530060998,0.028100356655354104,0.11056493864525588,0.004160414026616994,0.08596510986803971,18.604806421661518,2.001623806119484e-16,0.27584658403533807,0.7973511930693556,2.289035098706171,-9.861083049465142,4.541904224146215,0.5177490175457804,2.0,97,1.4086745354404134e-15,3.966613650269342,2.0965766253753833,3.694355311267095,1.0447261720792107,False,0.00018535628371763363,0.35853948148242526,False
