basis_index,basis_label,coefficient
0,A12C_ORIGINAL,0.03032567530476216
1,RBF_00_RHO_0.500_Z_+0.000,-0.4658164859052667
2,RBF_01_RHO_0.080_Z_-0.880,0.09752194396935407
3,RBF_02_RHO_0.080_Z_+0.880,-0.07544024742322045
4,RBF_03_RHO_0.710_Z_-0.528,-0.02777165258714107
5,RBF_04_RHO_0.710_Z_+0.528,-0.03256115707205879
6,RBF_05_RHO_0.080_Z_-0.352,-0.36532464752237914
7,RBF_06_RHO_0.080_Z_+0.352,-0.1283296793113478
8,RBF_07_RHO_0.920_Z_+0.000,-0.08360700293165989
9,RBF_08_RHO_0.395_Z_-0.704,0.731521402670508
10,RBF_09_RHO_0.395_Z_+0.704,0.26272126152903463
11,RBF_10_RHO_0.080_Z_+0.000,-0.2844237842326935
12,RBF_11_RHO_0.395_Z_-0.352,0.45913235007821085
13,RBF_12_RHO_0.395_Z_+0.352,-0.033571357664763754
14,RBF_13_RHO_0.710_Z_-0.176,-0.0059008623217475485
15,RBF_14_RHO_0.710_Z_+0.176,0.25551221902745913
16,RBF_15_RHO_0.290_Z_+0.000,-0.5827627458023678
17,RBF_16_RHO_0.290_Z_+0.880,-0.07437626953951865
18,RBF_17_RHO_0.185_Z_+0.704,0.41071684788111484
19,RBF_18_RHO_0.290_Z_-0.880,-0.005713558474492096
20,RBF_19_RHO_0.185_Z_-0.704,0.987682613819133
21,RBF_20_RHO_0.605_Z_-0.704,0.07139236943506849
22,RBF_21_RHO_0.605_Z_-0.352,0.03135748860239234
23,RBF_22_RHO_0.605_Z_+0.352,-0.12815248884017996
24,RBF_23_RHO_0.605_Z_+0.704,0.01672365804814866
25,RBF_24_RHO_0.290_Z_-0.528,0.8637992218139205
26,RBF_25_RHO_0.290_Z_+0.528,0.19259444216419308
27,RBF_26_RHO_0.185_Z_-0.176,-0.4117612045639307
28,RBF_27_RHO_0.185_Z_+0.176,-0.32201132875975264
29,RBF_28_RHO_0.815_Z_-0.352,-0.04210250006450617
30,RBF_29_RHO_0.815_Z_+0.352,-0.05847823971613335
31,RBF_30_RHO_0.500_Z_-0.528,0.2836115246557325
32,RBF_31_RHO_0.500_Z_+0.528,0.018331131888714505
33,RBF_32_RHO_0.080_Z_-0.528,0.5307057306804353
34,RBF_33_RHO_0.500_Z_-0.176,0.21839326402025572
35,RBF_34_RHO_0.500_Z_+0.176,0.3742819456461355
36,RBF_35_RHO_0.710_Z_+0.000,-0.24770570953789725
37,RBF_36_RHO_0.920_Z_-0.176,-0.021836231933278962
38,RBF_37_RHO_0.920_Z_+0.176,0.07370077916368756
39,RBF_38_RHO_0.080_Z_+0.528,0.1756350514650003
40,RBF_39_RHO_0.290_Z_-0.704,-1.0
41,RBF_40_RHO_0.290_Z_-0.352,-0.6269666712833951
42,RBF_41_RHO_0.290_Z_-0.176,0.4424618532754939
43,RBF_42_RHO_0.290_Z_+0.176,0.37961561193705584
44,RBF_43_RHO_0.290_Z_+0.352,-0.05450785362704283
45,RBF_44_RHO_0.290_Z_+0.704,-0.38527115542592766
46,RBF_45_RHO_0.080_Z_-0.704,-0.6011107994334427
47,RBF_46_RHO_0.080_Z_-0.176,0.22079933106252334
48,RBF_47_RHO_0.080_Z_+0.176,0.17791699338417827
49,RBF_48_RHO_0.080_Z_+0.704,-0.27711518035070754
50,RBF_49_RHO_0.185_Z_-0.880,-0.08384855167496369
51,RBF_50_RHO_0.185_Z_-0.528,-0.8921540364383733
52,RBF_51_RHO_0.185_Z_-0.352,0.6054946760859694
53,RBF_52_RHO_0.185_Z_+0.000,0.49195497825523143
54,RBF_53_RHO_0.185_Z_+0.352,0.11671854899120453
55,RBF_54_RHO_0.185_Z_+0.528,-0.24889285798648028
56,RBF_55_RHO_0.185_Z_+0.880,0.09563080134166557
57,RBF_56_RHO_0.605_Z_-0.528,-0.05294788558670846
58,RBF_57_RHO_0.605_Z_-0.176,-0.08692346843169818
59,RBF_58_RHO_0.605_Z_+0.000,0.3414340067307469
60,RBF_59_RHO_0.605_Z_+0.176,-0.33132402864788946
61,RBF_60_RHO_0.605_Z_+0.528,0.024767282175393264
62,RBF_61_RHO_0.710_Z_-0.352,0.03981840136361777
63,RBF_62_RHO_0.710_Z_+0.352,0.09654156879194473
64,RBF_63_RHO_0.815_Z_-0.176,0.02438769859036268
65,RBF_64_RHO_0.815_Z_+0.000,0.14971254618948532
66,RBF_65_RHO_0.815_Z_+0.176,-0.1762342098703845
67,RBF_66_RHO_0.395_Z_-0.528,-0.6201685872751659
68,RBF_67_RHO_0.395_Z_-0.176,-0.37305379956271517
69,RBF_68_RHO_0.395_Z_+0.000,0.5491465597693673
70,RBF_69_RHO_0.395_Z_+0.176,-0.40791121097039157
71,RBF_70_RHO_0.395_Z_+0.528,-0.11749589461508134
72,RBF_71_RHO_0.500_Z_-0.704,-0.3671207167291179
73,RBF_72_RHO_0.500_Z_-0.352,-0.23356325066200234
74,RBF_73_RHO_0.500_Z_+0.352,0.0916218849658408
75,RBF_74_RHO_0.500_Z_+0.704,-0.1278562208198586
