C,DEC_margin_ratio,F,NEC_margin_ratio,R,R_over_a,a,annulus_energy_factor,cL2_max,cL2_min,cT2_reference,core_energy_factor,index,k,mass,max_log_strain,principal_longitudinal_causal,q,rho_star_ann_over_core_at_a,support,support_energy_factor,t,y_ann,y_core,y_support
23.439828485190546,5.4841761478297e-05,0.23739620357773308,5.4841761478297e-05,4.609735398218698,3.1866286962475923,1.4465869223003238,113237.49823966036,0.9999677654965405,0.4397001433475641,0.35992119475267825,0.14576577606847407,934219,0.7198423895053565,11.129052589794883,7.296165449486935,True,0.9998849415391481,1.2873346451359532e-06,0.9998511856044323,207460.20635231186,0.9999451582385217,6.781456604632022,7.296165449486935,6.602753328380709
23.447899439997375,5.3461025436241094e-05,0.24161478956378293,5.3461025436241094e-05,4.75152627229748,3.271950602369766,1.4521998800520113,1085996.4049507084,0.9999297196268808,0.15284429782342918,0.28820541307795794,0.09026974542554411,283751,0.5764108261559159,11.33071857781542,9.133830974320949,True,0.999834083641748,8.313093672575773e-08,0.999042399161137,172688.60283479796,0.9999465389745638,8.15138314121482,9.133830974320949,6.6304686226752745
23.449003454097767,0.00010745492829555836,0.23576944558347843,0.00010745492829555836,4.67906376868955,3.2584424348941075,1.435981718928728,9681.182293788595,0.9999793159485832,0.6150726039835626,0.4037547567859292,0.17971046167465937,790753,0.8075095135718584,11.057117087715403,6.087564515586517,True,0.9996977540156587,1.8563307101744488e-05,0.9998925450717044,82192.47890870836,0.9997216649984113,5.4471589824850675,5.498197223810129,6.087564515586517
23.44944968051765,0.0001512083663307573,0.23882693961380708,0.0001512083663307573,4.765152676138504,3.30625226794432,1.4412550192672573,14795.622356289905,0.9999603142497926,0.4751306281616996,0.3687713148072362,0.15268502575107049,81545,0.7375426296144724,11.200720605651993,6.433474456489026,True,0.9995798443428117,1.0322161242503455e-05,0.9998487916336692,151334.0864312464,0.9998271378979062,5.7405647101928725,6.342736507112663,6.433474456489026
23.454938445323837,0.0001513412124830582,0.24311151865280972,0.0001513412124830582,4.662025795178335,3.183113255446188,1.4646119760903205,6521.863021231592,0.9999882824746128,0.8451626160154883,0.46128772462252526,0.22258069087320914,990061,0.9225754492450505,11.4043314107017,5.142693261529898,True,0.9998486587875169,3.412821517643744e-05,0.999454531473886,3444.1950010334804,0.9998435093746232,5.142693261529898,5.124558317396878,4.4477337151588126
23.455915813677706,5.8039901731032906e-05,0.24431283629304662,5.8039901731032906e-05,4.738529743249101,3.2381077501114683,1.4633638250876557,19317.106433748133,0.9999257665155111,0.5039674838907109,0.375988272158429,0.15826936407977663,456233,0.751976544316858,11.46116264058105,6.946691397637762,True,0.9997006997411417,8.195200465347318e-06,0.9991663718001959,12433.096757897456,0.999941960098269,5.855941162007745,6.946691397637762,5.174664952639316
23.4565359964149,8.795035545727803e-05,0.23024559435663244,8.795035545727803e-05,4.661278345500823,3.2898335656403344,1.4168736054565574,13698.70485570643,0.9999918797906119,0.8153537354510646,0.4538364038104191,0.2172130399654772,128285,0.9076728076208382,10.801528144084584,5.5261329663029555,True,0.9999120496445427,1.585167712481876e-05,0.9998352880414261,14726.658965210381,0.9996100981794512,5.5261329663029555,4.705752850386354,5.18048852925077
23.459911520839018,0.00012737739298573914,0.23158753038440752,0.00012737739298573914,4.816029964493873,3.412462187278192,1.4113064702806797,600058.401368971,0.9999240955061899,0.10500211308070306,0.2762362770503387,0.08134758367482858,953055,0.5524725541006774,10.866045944295637,8.743818763292198,True,0.9996788215332583,1.3559239201276988e-07,0.9998303914217873,6681406.191811143,0.9998726226070143,7.906727792861179,8.743818763292198,8.484656441202716
23.460376126567766,0.0001685594242984978,0.2306784970207647,0.0001685594242984978,4.589030178898167,3.2240994516616244,1.4233525509062972,4344.580288435432,0.9999506367131239,0.7268497091009587,0.43170667153317477,0.2008087468350481,134517,0.8634133430663495,10.823608608836963,5.432673224543439,True,0.9996385936372977,4.6229433651474214e-05,0.9994452927133005,5902.080252648686,0.9998314405757015,4.990931692517382,5.432673224543439,4.742768830778891
23.461333856467004,8.27723140049974e-05,0.23998540362492896,8.27723140049974e-05,4.93737139356105,3.441804340833772,1.4345299455241487,670099.5403806235,0.9999709460435264,0.29800792955627514,0.3244947188999504,0.11813256167639914,225059,0.6489894377999008,11.26075535024689,7.775567775161865,True,0.999917227685995,1.7629036470458596e-07,0.9998903552020753,1264190.9038047881,0.9999132552378341,7.775567775161865,7.7394513235416325,7.558949585290358
