y,z_time,z_transverse,z_parallel,hyperbolic_principal_part,kinetic_degenerate,uncanonical_matter_coupling_times_mpl,canonical_matter_coupling_times_mpl,active_debraided_matter_coupling_nonzero,outward_gravity_sign_established
0.0,1.0,1.0,1.0,True,False,0.0,0.0,False,False
0.01,0.99,0.99,1.03,True,False,0.07071067811865475,0.07106690545187015,True,False
0.1,0.9,0.9,1.3,True,False,0.22360679774997896,0.23570226039551584,True,False
0.25,0.75,0.75,1.75,True,False,0.3535533905932738,0.408248290463863,True,False
0.5,0.5,0.5,2.5,True,False,0.5,0.7071067811865476,True,False
0.6666666666666666,0.33333333333333337,0.33333333333333337,3.0,True,False,0.5773502691896257,0.9999999999999999,True,False
0.9,0.09999999999999998,0.09999999999999998,3.7,True,False,0.6708203932499369,2.121320343559643,True,False
0.99,0.010000000000000009,0.010000000000000009,3.9699999999999998,True,False,0.7035623639735145,7.0356236397351415,True,False
0.999,0.0010000000000000009,0.0010000000000000009,3.997,True,False,0.7067531393633848,22.349496638627,True,False
1.0,0.0,0.0,4.0,False,True,0.7071067811865476,,True,False
1.01,-0.010000000000000009,-0.010000000000000009,4.03,False,False,0.7106335201775947,,True,False
