mediator_mass_ev,interaction_range_nm,f_x_ev,f_t_gev,predicted_mass_force_g2_gev_m2,payload_positive_mediator_field_j,static_plus_payload_mediator_j,strict_sub10mj_payload_only,within_graphical_empirical_scope,predicted_over_loose_graphical_envelope,graphical_empirical_scout_excluded
56.92491792612398,3.4664429495723996,4.529941036521538,44988.226665448085,4.94085661597683e-10,7050.349159521525,3688969.4245103844,True,True,494.08566159768304,True
75.0,2.6310264053333334,5.968310365946075,19670.81363392236,2.5843739358843687e-09,21244.476407373113,3703163.5517582363,True,True,2584.3739358843686,True
100.0,1.9732698039999998,7.957747154594767,8298.624501810997,1.4520707326999138e-08,67143.03720921613,3749062.112560079,True,True,14520.707326999138,True
150.0,1.3155132026666667,11.93662073189215,2458.851704240295,1.653999318965996e-07,339911.62922534347,4021830.7045762064,True,True,165399.9318965996,True
197.32698039999997,1.0,15.70278216802877,1080.0570685863217,8.572482217153217e-07,1017997.8704844352,4699916.945835298,True,True,857248.2217153216,True
250.0,0.7893079216,19.89436788648692,531.1119681159037,3.5450945622556508e-06,2622774.9375639893,6304694.012914852,True,True,3545094.5622556508,True
285.3351934758513,0.6915620116685687,22.70625323988203,357.2235568341645,7.836458161264274e-06,4450638.861917061,8132557.937267924,True,True,7836458.161264274,True
311.45553135736054,0.6335638976775444,24.78484368441837,274.6742638929025,1.3254521727099878e-05,6318080.924649136,10000000.0,False,True,13254521.727099877,True
400.0,0.49331745099999996,31.830988618379067,129.66600784079682,5.947681721138847e-05,17188617.907134365,20870536.982485227,False,False,59476817.21138847,False
1973.2698039999998,0.1,157.02782168028773,1.0800570685863213,0.8572482217153223,10179978842.274073,10183660761.349424,False,False,857248221715.3224,False
