E_over_Qm,I_E_activation,I_Q_activation,V_eft_eV,V_reaction_eV,V_required_eV,V_self_eV,activation_charge,activation_energy_GJ,activation_energy_J,activation_energy_fraction,bound_pass,candidate_pass,eft_pass,f_leak_10m,geometry_pass,m_A_eV,metric_operator_scale_eV,mu_mA_over_mX,omega_activation,payload_f_min,reaction_pass,reaction_ratio,reaction_shape,self_coupling_est,source_A_relerr,source_f_min
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,1.5308505976565545e-89,1.4198312597382087e-07,1.4198312597382087e-07,40103.02871199955,8.215670915879699e-31,8.215670915879698e-22,6.758888089987553e-33,True,True,True,7.478578201158825e-09,True,5.033170767918036e-07,98.678714728827,0.08417228855608394,0.2,1.0,True,1.1624978249242548e-165,2.7452929847633395e-200,12.56637061435917,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,1.6252400832730423e-89,1.4634518928926533e-07,1.4634518928926533e-07,40103.028711999556,8.468076097609045e-31,8.468076097609044e-22,6.966537397525446e-33,True,True,True,1.5157802790710662e-09,True,5.1878018863451e-07,100.18307156463176,0.08675826382299838,0.2,1.0,True,1.2333267414144279e-165,3.094269479719357e-200,12.56637061435917,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,1.7408032713443993e-89,1.5084126568716197e-07,1.5084126568716197e-07,40103.028711999556,8.728235773939761e-31,8.728235773939761e-22,7.180566191503547e-33,True,True,True,2.930654607880001e-10,True,5.347183644853445e-07,101.71036231780312,0.08942368647331904,0.2,1.0,True,1.3318614620102284e-165,3.549951930979153e-200,12.56637061435917,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,1.8831193879825754e-89,1.5547547237190903e-07,1.5547547237190903e-07,40103.02871199955,8.996388181607356e-31,8.996388181607356e-22,7.40117046509767e-33,True,True,True,5.397282620833721e-11,True,5.511461994538886e-07,103.26093661587171,0.09217099732185598,0.2,1.0,True,1.4670061670123757e-165,4.154117663929108e-200,12.56637061435917,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,2.059866720881576e-89,1.602520530383323e-07,1.602520530383323e-07,40103.028711999556,9.272778876553197e-31,9.272778876553197e-22,7.628552232865663e-33,True,True,True,9.45410416619552e-12,True,5.680787370466141e-07,104.83514941643939,0.0950027121711242,0.2,1.0,True,1.6522320342607482e-165,4.970514288107856e-200,12.566370614359169,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,2.2819345013323704e-89,1.6517538175777502e-07,1.6517538175777502e-07,40103.02871199955,9.557660958788086e-31,9.557660958788086e-22,7.862919715738737e-33,True,True,True,1.5726309143815342e-12,True,5.855314829427141e-07,106.43336108843599,0.09792142411514633,0.2,1.0,True,1.908603477708089e-165,6.099994359289805e-200,12.566370614359172,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,2.565325775742667e-89,1.7024996698357833e-07,1.7024996698357833e-07,40103.028711999556,9.851295304164257e-31,9.851295304164256e-22,8.104487531696198e-33,True,True,True,2.4802382370125997e-13,True,6.035204191931607e-07,108.055937494615,0.10092980591403355,0.2,1.0,True,2.2704449535496005e-165,7.709179073248002e-200,12.56637061435917,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,2.9350400214736993e-89,1.754804556796197e-07,1.754804556796197e-07,40103.02871199955,1.0153950803267915e-30,1.0153950803267915e-21,8.353476892298152e-33,True,True,True,3.708144902248023e-14,True,6.220620188559933e-07,109.703250075307,0.10403061244151983,0.2,1.0,True,2.7975029175371947e-165,1.0091393453720265e-199,12.56637061435917,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,3.4345169451274846e-89,1.8087163757569003e-07,1.8087163757569003e-07,40103.02871199955,1.0465904607651185e-30,1.0465904607651184e-21,8.610115805256196e-33,True,True,True,5.218048215738236e-15,True,6.411732610812372e-07,111.37567593344977,0.10722668320768988,0.2,1.0,True,3.605706606457024e-165,1.3818293440514316e-199,12.56637061435917,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,4.6795154666511225e-89,1.8642844955360599e-07,1.8642844955360599e-07,40103.02871199955,1.0787442383628828e-30,1.0787442383628828e-21,8.874639283227525e-33,True,True,True,6.661338147750939e-16,True,6.608716466592673e-07,113.07359792091475,0.11052094495921158,0.2,1.0,True,6.300534566670115e-165,2.56522142297763e-199,12.56637061435917,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,6.917640999082582e-89,1.9215598016807428e-07,1.9215598016807428e-07,40103.02871199955,1.1118858573872265e-30,1.1118858573872266e-21,9.147289559023724e-33,True,True,True,1.1102230246251565e-16,True,6.811752140468544e-07,114.79740472614945,0.11391641435945368,0.2,1.0,True,1.2960096345777868e-164,5.605819681124164e-199,12.566370614359172,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,1.0491152739223703e-88,1.9805947430644793e-07,1.9805947430644793e-07,40103.028711999556,1.1460456667040359e-30,1.1460456667040358e-21,9.428316307431291e-33,True,True,True,0.0,True,7.021025558855714e-07,116.54749096315611,0.11741620075094333,0.2,1.0,True,2.8057900825195858e-164,1.2893460791687882e-198,12.56637061435917,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,1.6347485563456674e-88,2.041443379916415e-07,2.041443379916415e-07,40103.028711999556,1.181254947569394e-30,1.181254947569394e-21,9.717976873847022e-33,True,True,True,0.0,True,7.236728360276843e-07,118.32425726182676,0.12102350900269279,0.2,1.0,True,6.412498060352349e-164,3.1305814614889704e-198,12.566370614359169,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,2.621390670981898e-88,2.1041614333260304e-07,2.1041614333260304e-07,40103.028711999556,1.2175459422748474e-30,1.2175459422748474e-21,1.0016536509937589e-32,True,True,True,0.0,True,7.459058070851185e-07,120.12811035965545,0.12474164244500298,0.2,1.0,True,1.552048850670555e-163,8.049827670760392e-198,12.566370614359169,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,4.3330494376165034e-88,2.1688063362687697e-07,2.1688063362687697e-07,40103.028711999556,1.2549518836727326e-30,1.2549518836727326e-21,1.0324268616539217e-32,True,True,True,0.0,True,7.688218285175729e-07,121.95946319484861,0.1285740058944312,0.2,1.0,True,3.991588304500451e-163,2.1994311539439384e-197,12.56637061435917,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,7.396120578008565e-88,2.235437286199297e-07,2.235437286199297e-07,40103.02871199954,1.2935070256085849e-30,1.293507025608585e-21,1.0641454994019758e-32,True,True,True,0.0,True,7.92441885276344e-07,123.81873500085491,0.1325241087716931,0.2,1.0,True,1.094669416174249e-162,6.40812610640567e-197,12.566370614359172,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,1.3060838135260827e-87,2.3041152992605432e-07,2.3041152992605432e-07,40103.02871199955,1.3332466742885079e-30,1.3332466742885078e-21,1.0968386100332529e-32,True,True,True,0.0,True,8.167876070209329e-07,125.70635140233627,0.13659556831535435,0.2,1.0,True,3.213169819950884e-162,1.9983206605560549e-196,12.566370614359169,0.0,1.0
