empirical_closure,f_psi_ev,gp_equivalent,hard_scale_margin,loop_proxy,m_psi_ev,metric_scale_ev,nda_cutoff_ev,p_f_ev,partial_conservative_floor_j,particle_number,record_type,under_strict_10mj
,29.122379693485772,8.37758040957278,3.0,0.4444444444444442,121.98753880014327,,365.9626164004299,121.98753880014327,3096690.596438091,1.069503697753013e+23,SOURCE_EFT_MARGIN_SCAN,True
,44.83683668127067,6.2831853071795845,4.0,0.24999999999999986,140.85907672808526,,563.4363069123411,140.85907672808526,5395900.8191442415,1.6466086607920058e+23,SOURCE_EFT_MARGIN_SCAN,True
,62.661384197110806,5.026548245743667,5.0,0.1599999999999999,157.48523540592865,,787.4261770296434,157.48523540592865,8352028.248337869,2.301205561169261e+23,SOURCE_EFT_MARGIN_SCAN,True
,67.4192524734407,4.78718880547016,5.25,0.14512471655328796,161.37434535701084,,847.215313124307,161.37434535701084,9193703.419149939,2.4759357092036537e+23,SOURCE_EFT_MARGIN_SCAN,True
,72.29179560297102,4.5695893143124255,5.5,0.13223140495867763,165.1719083498972,,908.4454959244347,165.1719083498972,10076435.915367479,2.6548772294139468e+23,SOURCE_EFT_MARGIN_SCAN,False
,82.37052866221279,4.18879020478639,6.0,0.11111111111111105,172.51643181167674,,1035.098590870061,172.51643181167674,11965072.884018958,3.025013268740972e+23,SOURCE_EFT_MARGIN_SCAN,False
False,,,,,,10000.0,,,835.2028248338141,,METRIC_SCALE_SCAN,True
False,,,,,,30000.0,,,67651.42881153892,,METRIC_SCALE_SCAN,True
False,,,,,,50000.0,,,522001.7655211337,,METRIC_SCALE_SCAN,True
False,,,,,,80000.0,,,3420990.7705193027,,METRIC_SCALE_SCAN,True
False,,,,,,100000.0,,,8352028.24833814,,METRIC_SCALE_SCAN,True
