representation,label,category,promotion_relevant,direction,center_radius,payload_radius,net,outward,opposing,cancellation,F25,F50,F75,F90,F99,f_part,eta_op,Splus_Kplus,Splus_Kminus,Sminus_Kplus,Sminus_Kminus,signed_sector_reconstruction_error,positive_active_net_force,negative_active_net_force,mean_force_per_Qplus,mean_force_per_Qminus,e4_force,V_force,e4_V_cancellation,hotspot_jaccard,hotspot_energy_weighted_jaccard
cubic,O00_BASE,ORIENTATION,True,"[-0.45435018446379805, 0.01878880658050992, 0.8906249999999961]",0.38701612745649,0.01675735743205162,0.08978233569672511,1027.4128719559583,1027.3230896202613,22885.748578839524,0.010648897766054438,0.036657808417840824,0.08521261930515982,0.14138964360379988,0.236769305892531,0.05707556808746735,7.516974101743759e-06,824.9526312210103,977.511501427242,49.81158819301936,202.4602407349478,5.684341886080802e-14,-152.55887020623175,152.64865254192844,-0.07922821225180608,2.6369489018883767,-249.9454729630104,250.03525529870717,5568.809547911492,1.0,1.0
cubic,O01_FIB,ORIENTATION,True,"[0.4841229182759271, 0.0, 0.875]",0.38701612745649,0.01675735743205162,-8.081480432965975,1023.0251563938007,1031.1066368267666,254.17766091981775,0.010956859261458589,0.03730996895866116,0.08642242617352322,0.14209498888902639,0.23731295373407074,0.057667486654332314,-0.0006766172727289609,819.4196862963831,977.8413033167036,53.265333510062824,203.60547009741728,7.105427357601002e-15,-158.42161702032047,150.34013658735446,-0.0822729054141067,2.5970701442967656,-258.11689989796446,250.03541946499845,62.87861779508962,1.0,1.0
cubic,O02_FIB,ORIENTATION,True,"[-0.5756083959600474, 0.5273044419500952, 0.625]",0.38701612745649,0.01675735743205162,257.6001696997197,1237.8928002740329,980.2926305743131,8.610962614791942,0.005879695396573844,0.02234847947706696,0.058850001904631036,0.11136171019388871,0.22600461087273066,0.046188482194319556,0.021567425142273514,1063.3056907109515,973.0823935455671,7.210237028746019,174.58710956308155,2.8421709430404007e-13,90.22329716538434,167.37687253433555,0.04685555502747065,2.891373444057727,7.708392036829146,249.89177766289058,1.0000000000000002,1.0,1.0
cubic,O03_FIB,ORIENTATION,True,"[0.08104581592239497, -0.923475270768781, 0.375]",0.38701612745649,0.01675735743205162,46.33463759767692,1056.1899418550975,1009.8553042574204,44.589649412000654,0.009309015252251862,0.03324610334070226,0.08038118370693212,0.13695700609380654,0.23475505574309427,0.05741671939579529,0.003879340720338649,859.5838894893612,976.1418341182206,33.713470139199565,196.60605236573605,1.7763568394002505e-13,-116.55794462885933,162.8925822265365,-0.0605318954198201,2.81390899084448,-203.60405129490104,249.93868889257791,9.78841669434398,1.0,1.0
cubic,O04_FIB,ORIENTATION,True,"[0.6036667178015521, 0.7873763355719433, 0.125]",0.38701612745649,0.01675735743205162,176.85804303560406,1160.9305174967578,984.0724744611539,12.128388141929696,0.006807691044874751,0.02572242444272635,0.06662912707396287,0.12226147130566557,0.2283255902168709,0.05358501099662074,0.014807337310475108,978.4390061883387,973.3376988611144,10.734775600039544,182.49151130841923,1.7053025658242404e-13,5.101307327224276,171.7567357083797,0.0026492557209991,2.9670339572354947,-73.02519648848701,249.88323952409115,1.8258057732074535,0.9936708860759493,0.9981970505830902
cubic,O05_FIB,ORIENTATION,True,"[-0.9769901230486043, -0.17281579634244426, -0.12500000000000003]",0.38701612745649,0.01675735743205162,174.3282625633541,1156.6883957451807,982.3601331818265,12.27023373877565,0.006779676225794235,0.025705183775890914,0.06637036589936955,0.12234041887450717,0.22726508972770265,0.05400421275025423,0.014595532904347433,975.8122166115043,972.4339600830953,9.926173098731324,180.87617913367635,1.4210854715202004e-13,3.378256528408997,170.95000603494503,0.0017544258482775814,2.953098001096609,-75.3457715545287,249.67403411788317,1.8644125794249438,1.0,1.0
cubic,O06_FIB,ORIENTATION,True,"[0.7821820926083319, -0.497560221483642, -0.375]",0.38701612745649,0.01675735743205162,179.32209937277298,1163.392975227003,984.07087585423,11.9754556666053,0.006920848981811895,0.025583604496748423,0.06645107871734722,0.12224826755889906,0.22839544112717244,0.05522447214049848,0.015013639001425792,981.1351246818957,973.3882579272943,10.682617926935668,182.25785054510732,1.1368683772161603e-13,7.746866754601456,171.57523261817164,0.004023170876202208,2.963898558616224,-70.61640289517783,249.93850226795078,1.7875928638151972,1.0,1.0
cubic,O07_FIB,ORIENTATION,True,"[-0.20265354556067544, 0.753861088312487, -0.625]",0.38701612745649,0.01675735743205162,88.48868241874226,1089.493578649683,1001.0048962309409,23.624472844878156,0.008150509455266228,0.030369541798643325,0.0762934086765399,0.13255307754734524,0.23252986609846354,0.0552905097896876,0.007408663729644721,895.9522877006056,975.6878300086462,25.317066222294635,193.5412909490774,2.842170943040401e-14,-79.73554230804064,168.22422472678275,-0.04140896207119563,2.906011139158066,-161.5401228383122,250.02880525705444,4.6510911547734235,0.9947916666666666,0.9979567001702384
cubic,O08_FIB,ORIENTATION,True,"[-0.22313565385811115, -0.42963412338560025, -0.875]",0.38701612745649,0.01675735743205162,229.36576058085112,1209.7427977307739,980.3770371499227,9.548590989929739,0.006243844873655324,0.023172381896796514,0.06136927756193184,0.11534594953976965,0.22687717956569045,0.052402898157853414,0.019203515577239615,1033.3553709903945,972.5952941096879,7.781743040234851,176.38742674037934,2.842170943040401e-14,60.760076880706606,168.60568370014448,0.03155445672239935,2.9126007015562365,-20.40446468530832,249.77022526615946,1.1779207553353699,1.0,1.0
cubic,DIST_X0.80,GEOMETRY_DISTANCE,True,"[-0.45435018446379805, 0.01878880658050992, 0.8906249999999961]",0.30961290196519203,0.01675735743205162,105.52292387600846,1111.1640921802161,1005.6411683042076,20.060146011227967,0.012039177091181274,0.04365795499363225,0.10076435985490227,0.16384294513540087,0.26589421859428936,0.05166245249759454,0.005654301272593279,890.4655519423417,943.0305204207123,62.61064788349532,220.6985402378741,1.4210854715202004e-13,-52.56496847837059,158.0878923543788,-0.027298501057224818,2.730909753895301,-93.91703429694215,199.43995817295064,2.780030932563934,1.0,1.0
