epsilon_rmax,rmax,h_target,h,cells,translation_growth,translation_overlap,translation_eig_real,translation_eig_imag,low_overlap_nearzero_max_real,translation_residual_abs,translation_residual_rel,translation_rayleigh,projected_k0,projected_k_max_residual,beta_x,beta_u,arpack_partial
3.0,300.0,0.5,0.5,600,0.008417438241901009,0.998911007846998,0.008417438241901009,0.0,3.9338993148873345e-16,0.005304123529859222,1.1994207702183319e-05,-0.00021970634674852975,0.00024651646438892365,2.1347498749199315e-13,0.940437208894074,0.010833333333333334,False
3.0,300.0,0.375,0.375,800,0.006318559090450268,0.9994611736614472,0.006318559090450268,0.0,4.3223311272056857e-16,0.004473587957034533,5.046625647911522e-06,-0.00012431139270462514,0.00024736515782322664,4.39604458119045e-13,0.940437208894074,0.010833333333333334,False
3.0,300.0,0.25,0.25,1200,0.004220777428678643,0.9997907101478416,0.004220777428678643,0.0,4.692437044832965e-16,0.0035981467381434157,1.500175423484926e-06,-5.564585727953274e-05,0.0002479594192166721,7.620404813738644e-13,0.940437208894074,0.010833333333333334,False
3.0,300.0,0.1875,0.1875,1600,0.0031720082110074073,0.9998890405813615,0.0031720082110074073,0.0,4.866993558823064e-16,0.003106671979488476,6.354471441198652e-07,-3.146586300787099e-05,0.0002481654313129212,1.3916650969915153e-12,0.940437208894074,0.010833333333333334,False
5.0,500.0,0.5,0.5,1000,0.008417411614871119,0.9988925738646325,0.008417411614871119,0.0,2.3345687269183024e-16,0.005303903174571978,9.336630780617336e-06,-0.00021968809217793055,0.00015895713211698843,1.8519834993722284e-13,0.9404296800083165,0.010333333333333333,False
5.0,500.0,0.25,0.25,2000,0.004220739404925234,0.99978806735758,0.004220739404925234,0.0,5.062847090437775e-17,0.0035979972556633827,1.1654477568183502e-06,-5.564123385797394e-05,0.00015930377433402912,3.37785495541574e-12,0.9404296800083165,0.010333333333333333,False
