particle,mass_GeV,delta_m2_over_mphi2_nominal,delta_m2_over_mphi2_coeff_1e_minus3,induced_mass_scale_eV_nominal,induced_range_m_nominal,required_tuning_nominal,required_tuning_coeff_1e_minus3
electron,0.00051099895,0.10017753182497825,0.00010017753182497826,1.8925950240597145e-08,10.426265412910332,1.0,1.0
muon,0.1056583755,183107449.2491378,183107.44924913778,0.0008091434756829414,0.00024387143483230845,5.46127426328456e-09,5.461274263284561e-06
tau,1.77686,14645464131775.209,14645464131.775211,0.2288358694473317,8.623079103663698e-07,6.828052638020341e-14,6.82805263802034e-11
W,80.369,6.12977529921571e+19,6.129775299215709e+16,468.1605424339644,4.214942578759371e-10,1.631381170086198e-20,1.6313811700861985e-17
Z,91.1876,1.0158590134973317e+20,1.0158590134973315e+17,602.6834274566648,3.2741398122182234e-10,9.843885684070142e-21,9.843885684070143e-18
Higgs,125.25,3.6157736415755724e+20,3.6157736415755725e+17,1137.0332046075803,1.735454862710915e-10,2.7656598535417452e-21,2.765659853541745e-18
top,172.76,1.3087692358376054e+21,1.3087692358376054e+18,2163.236834052597,9.121838963435577e-11,7.640766398057984e-22,7.640766398057984e-19
