power,x_star,beta_target,eta,eta_xn_at_active,A_active,A_x_active,active_log_slope_Ax_over_A,beta_reconstructed,beta_reconstruction_error,D_map_active,map_invertible_active,field_redefinition_margin_collapse,A_offstate,A_x_offstate,beta_offstate,leading_matter_operator_power_x,leading_matter_scalar_leg_count,tree_two_scalar_matter_vertex_present,r5_tree_two_scalar_vertex_absent,active_offstate_separation,tensor_worst_relative_margin,tensor_margin_positive,principal_margin_gain_used
2,0.1,0.047619047619047616,2.439024390243902,0.024390243902439025,1.024390243902439,0.4878048780487804,0.4761904761904761,0.04761904761904761,6.938893903907228e-18,0.975609756097561,True,False,1.0,0.0,0.0,2,4,False,True,True,0.9931972789115646,True,False
3,0.1,0.047619047619047616,16.129032258064512,0.016129032258064516,1.0161290322580645,0.48387096774193544,0.47619047619047616,0.047619047619047616,0.0,0.967741935483871,True,False,1.0,0.0,0.0,3,6,False,True,True,0.9931972789115646,True,False
4,0.1,0.047619047619047616,120.48192771084334,0.012048192771084336,1.0120481927710843,0.48192771084337344,0.47619047619047616,0.047619047619047616,0.0,0.9638554216867469,True,False,1.0,0.0,0.0,4,8,False,True,True,0.9931972789115646,True,False
