cells,dynamic_success,epsilon_rmax,h,h_target,low_overlap_nearzero_max_real,outer_residual_fraction,projected_k0,projected_k0_residual,projected_k_pass,rmax,translation_abs_residual,translation_eig_imag,translation_eig_real,translation_growth,translation_overlap,translation_rayleigh,translation_rel_residual
600,True,3.0,0.25,0.25,7.330355931579371e-17,2.314530778988214e-15,0.0009989350723047718,8.406314622089834e-05,False,150.0,0.005482408146838354,0.0,0.005320333178573204,0.005320333178573204,0.9997639873799824,-9.227769476923398e-05,3.2098714223895973e-06
800,True,3.0,0.1875,0.1875,3.713114934626808e-16,1.3172421439050933e-15,0.0009995351363350437,0.00010963752935437942,False,150.0,0.004728144126310865,0.0,0.003994138692853605,0.003994138692853605,0.9998693613073668,-5.2072851444586716e-05,1.3601206445083634e-06
1000,True,5.0,0.25,0.25,7.899118095034525e-16,2.669432903572826e-17,0.0006388510127935646,0.00037983371250559987,False,250.0,0.005481996660525748,0.0,0.005320228760894609,0.005320228760894609,0.9997631160270818,-9.226384389113969e-05,2.5011370497997436e-06
1333,True,5.0,0.18754688672168043,0.1875,7.047952046811128e-16,1.5189521523955517e-17,0.000987458905566789,0.008985053243125997,False,250.0,0.004728391855956601,0.0,0.003995055731877767,0.003995055731877767,0.9998690109163615,-5.209109028942957e-05,1.059164571183061e-06
