method,level,baseline_E,baseline_A,baseline_eta,iso_eta,iso_gain,axis_x,axis_y,axis_z
cubic,q2,1788.7248760492168,234.1894699197052,0.1309253720655817,0.09476948460386458,0.723843538564807,-0.48493186005868044,0.18342766225580914,0.8550996338552588
cubic,q3,1788.9820831197014,234.0769325018041,0.1308436427119555,0.0947906334720833,0.7244573103238897,-0.4850329236934642,0.18357580665488882,0.8550105181483891
cubic,near_coarse,1788.9820831197014,234.08266407263187,0.1308468465287415,0.09479438285478552,0.7244682265534248,-0.48502733406540327,0.18356579690851524,0.8550158381075461
quintic,q2,1788.9531883687093,233.65118876834566,0.13060777123039474,0.09477310784208828,0.7256314608945176,-0.48498794075899426,0.18357090254669825,0.8550370875327812
quintic,q3,1788.9532050528053,233.66043754254935,0.13061293994867368,0.09478065190849755,0.7256605045850972,-0.4850200280894997,0.18363077957043075,0.85500602871934
quintic,near_coarse,1788.9532050528053,233.66616195131894,0.13061613981368603,0.09478440589032364,0.725671467749134,-0.48501441483601315,0.18362075518358154,0.8550113658116429
