range_m,alpha_required_finite_payload,alpha_shape_scout_ceiling,required_over_shape_scout,source_energy_floor_j_at_shape_scout,max_surface_acceleration_for_declared_source_j,target_portal_scale_ev_scalarized,empirical_portal_scale_min_ev_scalarized,portal_scale_ratio_empirical_over_target,finite_payload_penalty_over_nearest_point,surface_min_source_distance_m,all_surface_points_outward,strict_lt10mj_possible_under_shape_scout,complete_operating_ledger
0.2,2.130593419803052e+20,0.050687090768412914,4.203424160872912e+21,4.203424160872911e+28,2.333014614914209e-21,482458.62367778417,122845959743.22351,254624.86048392756,14.678721873678848,0.30000000000000004,True,False,False
0.2118507450354578,2.02715131214343e+20,0.04734885873941248,4.28130976355732e+21,4.28130976355732e+28,2.2905724046119243e-21,474639.280752026,121410945164.57402,255796.243775291,14.094393253889663,0.30000000000000004,True,False,False
0.22440369086039275,1.936248836644485e+20,0.044532578191023714,4.3479378812043904e+21,4.34793788120439e+28,2.255471505789667e-21,466492.7799959936,119788674448.99474,256785.69869832395,13.57462749633049,0.30000000000000004,True,False,False
0.23770044548740368,1.856129902172726e+20,0.04216171269647006,4.402406314789314e+21,4.402406314789314e+28,2.2275658580299207e-21,458071.3472222801,117992840923.74065,257586.1634639295,13.111338015310958,0.30000000000000004,True,False,False
0.25178508235883346,1.7853257198003035e+20,0.04017491997669401,4.443881209560577e+21,4.443881209560576e+28,2.2067759099640085e-21,449423.5785876796,116036992446.71729,258190.70911091333,12.697620488492637,0.30000000000000004,True,False,False
0.26670428643266486,1.722601182467202e+20,0.03852290214591419,4.471628788356758e+21,4.4716287883567575e+28,2.1930823116477353e-21,440594.4616370126,113934557393.15422,258592.80429861633,12.32755405342946,0.30000000000000004,True,False,False
0.2825075089245509,1.6669123193234152e+20,0.03716600381154563,4.4850458708869534e+21,4.485045870886953e+28,2.1865216727561933e-21,431625.43581123935,111698862939.7746,258786.5627748206,11.996039693251303,0.30000000000000004,True,False,False
0.29924713121888674,1.6173723428877137e+20,0.036072371931127625,4.4836872550985436e+21,4.483687255098542e+28,2.187184217375676e-21,422554.4851515391,109343140638.6252,258766.96255966113,11.6986682499153,0.30000000000000004,True,False,False
0.31697863849222274,1.5732244039729968e+20,0.035216540972010414,4.467288270086981e+21,4.46728827008698e+28,2.1952131599980802e-21,413416.2566620808,106880516725.41568,258530.02876173283,11.431612156552038,0.30000000000000004,True,False,False
0.3357608036245121,1.5338196134209624e+20,0.03457834267698749,4.435781170165067e+21,4.435781170165066e+28,2.2108056335058272e-21,404242.19851700804,104323986784.48318,258072.97498183843,11.191536247798107,0.30000000000000004,True,False,False
0.3556558820077846,1.4985992223392147e+20,0.03414206573698904,4.3893044840448923e+21,4.389304484044892e+28,2.234215018722702e-21,395060.71299618005,101686376137.3171,257394.3011597317,10.975523983957661,0.30000000000000004,True,False,False
0.3767298178979602,1.467080103307951e+20,0.03389580974316772,4.3282049150741e+21,4.3282049150741e+28,2.26575455469906e-21,385897.3196982036,98980288562.87506,256493.84826068237,10.78101618192095,0.30000000000000004,True,False,False
0.399052462993776,1.4388428652472055e+20,0.033830991900661175,4.2530318634230927e+21,4.253031863423093e+28,2.3058021465437657e-21,376774.8252005762,96218046697.12466,255372.81225172873,10.605759935502533,0.30000000000000004,True,False,False
0.4226978079673294,1.4135220797959833e+20,0.03394197551444374,4.1645250707180266e+21,4.164525070718026e+28,2.354806330487329e-21,367713.49591055023,93411627750.14883,254033.72133197985,10.447765869550723,0.30000000000000004,True,False,False
0.447744227713668,1.3907982084712661e+20,0.03422579718403804,4.063596242894514e+21,4.063596242894515e+28,2.413293401663027e-21,358731.2313741455,90572598106.59743,252480.38136978666,10.305272235399189,0.30000000000000004,True,False,False
0.4742747411323311,1.3703909058738487e+20,0.03468197567364557,3.9513057698013234e+21,3.951305769801323e+28,2.481875757363392e-21,349843.7357839115,87712050036.31688,250717.7950171848,10.17671464235113,0.30000000000000004,True,False,False
0.5023772863019161,1.3520534409504686e+20,0.035312390071584356,3.828835822807862e+21,3.828835822807861e+28,2.5612615567330153e-21,341064.68584928726,84840543231.64352,248752.06009787138,10.060700447907918,0.30000000000000004,True,False,False
0.532145011959762,1.3355680303939022e+20,0.03612121849785426,3.6974611763809684e+21,3.6974611763809688e+28,2.6522658473451862e-21,332405.8935684358,81968053289.69267,246590.25268701222,9.95598701136461,0.30000000000000004,True,False,False
0.5636765862528909,1.3207419190973222e+20,0.03711493154665813,3.5585190759061043e+21,3.5585190759061037e+28,2.7558233610151256e-21,323877.46276969725,79103928639.35654,244240.29990504697,9.861463161156001,0.30000000000000004,True,False,False
