outside_mass_factor,outside_mass_ev,yukawa,decay_length_m,cw_natural_scale_proxy_j,cw_to_reference_bag_energy_ratio
1.01,57.11616622932778,0.0005854608190031474,2.461221874670053e-08,682660.4751628925,0.860097859229399
1.02,57.681672825657756,0.0005920927260976348,1.7360335441186172e-08,710107.6223335471,0.8946790798834895
1.05,59.378192614647695,0.0006119884473810971,1.0899005264018188e-08,797429.2976366858,1.0046974399982056
1.1,62.20572559629758,0.000645147982853534,7.614460667475742e-09,960553.6347626395,1.2102211201508748
1.25,70.68832454124725,0.000744626589270845,4.652512317996209e-09,1601850.667372277,2.018204334275145
1.5,84.8259894494967,0.00091042426663303,3.1210001427583935e-09,3321782.0031911833,4.185180911623376
2.0,113.1013192659956,0.0012420196213573998,2.0145969294023713e-09,10498842.718977973,13.2277061226145
