C,F,R,c2,c4,c6,c8,equilibrium_residual_relative,g0,k,lambda_line,mass,mass_line,mass_surface,max_log_strain,max_w_phi,max_w_r,max_y_phi,max_y_r,min_orientation_jacobian,min_w_phi,min_w_r,min_y_phi,min_y_r,optimizer_fun,optimizer_nfev,optimizer_success,rho_star_grading_contrast,rho_star_max,rho_star_min,seed,strain_cap,support_ratio,y_support
97.93978550875951,0.2914264910385426,4.261959027732793,-0.030829608172908585,0.23137202016642888,-0.38580966143600637,0.1913661725579805,5.392275797198869e-06,-1.9838729306175051,0.9473043889989855,4.461799200680164,57.084496047770585,38.03201076653957,19.05248528123101,1.999573613407747,-0.9538930026941748,-0.9468821726054806,-1.977513454315008,-1.90090530751095,0.9821536964950699,-0.9545317653783134,-0.9555339532932688,-1.9850493881624465,-1.9970838826298984,97.94060486968884,10845,False,1.0044898343808357,4.329787371553204,4.310434235725313,250201,2.0,0.9557385776676572,1.999573613407747
98.24978328865309,0.2766097113533906,4.156176368602048,-0.0011151730062648468,-0.0027312136842309043,0.056893765817039865,-0.04289083310320507,3.079638733301279e-06,-1.9843584385631337,0.9495155128206322,4.358631009209466,54.353688392015016,36.23047839986496,18.12320999215006,1.9892335750005126,-0.9539894350333786,-0.9518068725054514,-1.9740369334808099,-1.949043668084809,0.9850807293271453,-0.9548695966116992,-0.9552689996005894,-1.9844449957105381,-1.9892335750005126,98.25059847170111,10845,False,1.0019286180355067,4.306062307703839,4.297773544134099,250202,2.0,0.9544177742792351,1.9790775979653992
98.42941091219959,0.30058609115596513,4.34022216240381,-0.07342940417758936,-0.037338976387557565,0.27721239225088357,-0.17353894058801922,3.879302082940782e-06,-1.9551945926214036,0.9492056056117276,4.5407873096044495,59.173023761764746,39.41605143181441,19.756972329950337,1.9988358917604274,-0.9522968005475579,-0.9471104905894351,-1.9551945926214036,-1.8994287023864573,0.974510637112808,-0.9542430368309897,-0.9560062499484527,-1.9776612154689972,-1.9988358917604274,98.43022194699923,10845,False,1.0049307098987057,4.308919663399847,4.287777874590154,250200,2.0,0.9552567940434817,1.9897360397577122
82.16971814330562,0.30899593657195923,4.100524656985479,-0.1078807341687491,0.3219892767863941,-0.3796834836463534,0.1536883228696686,6.113915992763206e-06,-2.975886484214972,0.9499768512535962,4.127883117325425,50.780218031089255,33.85297300749398,16.927245023595276,2.9988662195028337,-0.9930178371954078,-0.9928649559216904,-2.975886484214972,-2.964445987615205,0.9888478599159446,-0.9931797684721618,-0.9933151254347227,-2.9882797085772035,-2.9988662195028337,82.17034034222894,10845,False,1.0002155756181388,4.301383648337829,4.300456574753448,250300,3.0,0.9932175645554331,2.9912145877782637
82.22605863619017,0.29692793368534875,4.019733303713214,0.02783558173431211,0.1747756477541731,-0.40983230053854025,0.23604545337790883,3.97702454906155e-06,-2.9853628539031414,0.9495387873522,4.048457816764165,48.830427371868545,32.547441429450004,16.28298594241854,2.998907571704846,-0.9927386246372599,-0.9900040725443695,-2.956538471575288,-2.787518677028585,0.9914654911345095,-0.9931240973006655,-0.9931240973006655,-2.9853628539031414,-2.9853628539031414,82.22668342703501,10845,False,1.0016904527548862,4.311564834305786,4.304288637720326,250302,3.0,0.9932981220674083,2.998907571704846
82.2354706424443,0.3044531866023833,4.0714053146697955,0.014327409240470157,-0.1907525555990297,0.2927430704850451,-0.12772274697402652,4.522075277157447e-06,-2.9589949372875264,0.9478577288692246,4.0994027949022,50.073702177677816,33.38066065227406,16.693041525403753,2.9935489306905096,-0.9926963455213078,-0.9926143174554541,-2.9587083276654993,-2.952795170415543,0.9756359762962306,-0.9928870843499522,-0.9931615547946782,-2.972717979569736,-2.9935489306905096,82.23609309068117,10845,False,1.0002945742503084,4.315319821884616,4.314049014130485,250301,3.0,0.9930164379357336,2.9824335893544127
80.10544962507872,0.3010732883924864,4.007725167040835,-0.0008602282203461487,-0.031902181393526075,0.03153052079171026,0.0065511187441882335,9.303454741334466e-07,-3.9834157689974052,0.9498345953531909,4.011800135328853,48.235222273562236,32.156384734990546,16.07883753857169,3.9984456044041257,-0.9989557355541336,-0.9987219772971523,-3.9780965390753784,-3.871699956899799,0.992343521105128,-0.9989747192884766,-0.9989877316013008,-3.987759176600275,-3.994486241356799,80.1060483520932,10845,False,1.0001349572449638,4.304144604358626,4.303563807243674,250401,4.0,0.9989953129857337,3.9984456044041257
80.10782102915503,0.3003599092575079,4.003046811208459,-0.018899101048551303,-0.04669581827575997,0.12215377124980376,-0.05848110514326321,2.0945155483795564e-06,-3.9768412392683676,0.9494396541744393,4.007103114633632,48.12235571026738,32.08124269043529,16.04111301983209,3.9966073337663333,-0.9989499521275944,-0.9988692953062916,-3.9768412392683676,-3.9378468412097853,0.987842277171182,-0.9989688368171312,-0.9989886139983998,-3.986403581784746,-3.9966073337663333,80.10841978337996,10845,False,1.0000618783430533,4.306385051774399,4.306118596290669,250400,4.0,0.9989841880570788,3.9943066179723608
80.10980345022939,0.29978053999773674,3.9991322317593974,0.1262144385316899,-0.24543201732906728,0.19937850277155333,-0.05975554647538206,5.821150633946771e-07,-3.997694536567715,0.9499772012108593,4.00340531696605,48.03072027484464,32.020294479751755,16.010425795092885,3.997694536567715,-0.9989502819699263,-0.998920802742635,-3.9747563772036685,-3.960171476293512,0.9889274525733742,-0.9989950251548048,-0.9989950251548048,-3.997694536567715,-3.997694536567715,80.11040223153447,10845,False,1.0000535167132512,4.302916632147946,4.302686366515459,250402,4.0,0.998972639255922,3.9860933021404694
79.80729374308075,0.303098182313975,4.015456207347357,-0.17510218353499768,0.49758156528138725,-0.5777138793263507,0.23466823833651587,6.131480339141104e-06,-4.96070013873563,0.9487961020052134,4.016053136546861,48.37889133785049,32.252570992367836,16.12632034548265,4.996408742454889,-0.9998367651097381,-0.9998274162720483,-4.96070013873563,-4.931348750810331,0.9810115002434374,-0.9998433621231747,-0.9998474587292584,-4.9824418398922425,-4.996408742454889,79.80788907468462,10800,False,1.0000092919900745,4.310705321913273,4.310665267254396,250500,5.0,0.9998451623763437,4.988534058165466
79.80762783878946,0.3016210803724712,4.0056769350587915,-0.1867232447140426,0.4592297414807771,-0.5388350483801705,0.22951010132769958,5.901080407229782e-06,-4.92450590045543,0.9487972793229762,4.00624528482675,48.143325861399575,32.0954486672371,16.047877194162478,4.992918602221617,-0.9998251628943768,-0.9998157614382411,-4.92450590045543,-4.8969017767918395,0.9699931091481516,-0.9998374191894834,-0.9998459435218282,-4.962810010315746,-4.9911933967187085,79.80822326844604,10791,False,1.0000152688962398,4.31068829033801,4.310622471890758,250502,5.0,0.9998464469994729,4.992918602221617
79.8082009741448,0.30215542847365284,4.009194242039791,-0.08850616217513799,0.30868297694177793,-0.3544237146433479,0.1408718401620659,3.457066837531396e-06,-4.977946849927485,0.949985355688629,4.009876689603669,48.22896232210824,32.15274907049721,16.07621325161103,4.991646716937879,-0.9998419023845682,-0.9998239799945272,-4.971321909642127,-4.914797903301307,0.9925904290631363,-0.9998462294593982,-0.9998478907340885,-4.985929150590646,-4.991646716937879,79.8087962945913,10791,False,1.0000132741687497,4.302868622662984,4.30281150641695,250501,5.0,0.9998318386553018,4.938839159198432
79.76149634663675,0.3016428053866079,4.004905498339865,0.05510924552410753,-0.15847995526873024,0.1387446911554849,-0.041940390059822225,7.764532201221504e-07,-5.951189758077443,0.9494701171223677,4.005001881393251,48.118963039666376,32.07930811130667,16.039654928359703,5.98487693606646,-0.9999750005432458,-0.9999747979589062,-5.945311463901739,-5.941061201900977,0.9711096882957612,-0.9999755843910257,-0.9999768099679682,-5.957756166726403,-5.98487693606646,79.76209108637649,10719,False,1.0000012046725704,4.306263685954597,4.3062584983231025,250601,6.0,0.9999756345431203,5.958839000863549
79.76169394383106,0.3024538493723326,4.010291764229037,-0.20138805960082115,0.41328849656096756,-0.22881962161101693,0.019066704218155994,1.428750460538406e-06,-5.937951145440758,0.9499123101480057,4.010383050264202,48.24846273153915,32.165612235756505,16.082850495782647,5.995687760849845,-0.9999746783640049,-0.9999703524404064,-5.935803625873472,-5.8527839785435525,0.9722216299604349,-0.999976153601426,-0.9999771252012769,-5.967399564882465,-5.9892952051304125,79.76228865489911,10728,False,1.000003681105336,4.303344972788958,4.303329131781128,250600,6.0,0.9999774013263737,5.995687760849845
79.7617757364395,0.30234960210946143,4.009597484204325,0.11716784951491431,-0.3972661858722044,0.5961992533522722,-0.27798188679415053,4.199060517526273e-06,-5.991285093179365,0.9473294002262912,4.009701097527405,48.23188231491316,32.1545748661144,16.077307448798756,5.991285093179365,-0.9999747348130116,-0.9999705677554275,-5.953165637716747,-5.872588875695387,0.9986113813014401,-0.9999764951928868,-0.9999764951928868,-5.991285093179365,-5.991285093179365,79.76237052422687,10728,False,1.0000035280653339,4.320508960020389,4.32049371703628,250602,6.0,0.9999759549108341,5.979290271255748
