A2,Co,Co_med,Co_rel,Cu,Cu_med,E,Eextra,Eg,Eg0,Em,Go1,Gu1,KU,Kg,Ko,R,a,base,beta,clear,d0,direction,duty,frac,g19,g6,g66,gam,gcap,gm,gp,gu6,index,lag,m,minq,mu,nphase,om,omega,sr,srest,strict,throat_class,u1,ua
0.6226296106688582,inf,inf,inf,inf,inf,2.0395416649182576,0.007633463576375985,0.02054932975688259,0.012915866180506604,2.0064683592880264,7.238207572661824e-05,5.071389876800468e-05,0.5690118305870858,0.22453728568546877,0.07735602812111797,1.0946380574709247,0.3021991450627584,0.45224095640012774,0.08023162908852101,0.0051144596189260485,0.15684077987268455,L_CCW_R_CW,0.1168212890625,0.006241800831483099,27856.44068802701,17857.140474144588,inf,1.0032341796440132,12.566370614359172,1.591014452278614,6247.968877104443,63545.6350343498,343035,0.011083510424941767,0.8804295953605509,0.5206595727491592,592.2437178954528,16384,2.310840666759759,2.0345325131780005,0.5189980925992131,0.11970693057985778,True,PARALLEL_AT_THROAT,0.000996626333703528,7.361051711743856e-05
0.6226296106688582,inf,inf,inf,inf,inf,2.0395416649182576,0.007633463576375985,0.02054932975688259,0.012915866180506604,2.0064683592880264,7.23820757266181e-05,5.071389876800458e-05,0.5690118305870856,0.22453728568546877,0.07735602812111797,1.0946380574709247,0.3021991450627584,0.45224095640012774,0.08023162908852101,0.0051144596189260485,0.15684077987268455,L_CW_R_CCW,0.1168212890625,0.006241800831483097,27856.440688027185,17857.140474144664,inf,1.0032341796440132,12.566370614359172,1.591014452278614,6247.968877104455,63545.63503435048,343035,0.011083510424941767,0.8804295953605509,0.5206595727491593,592.2437178954539,16384,2.310840666759759,2.0345325131780005,0.5189980925992131,0.11970693057985778,True,PARALLEL_AT_THROAT_REVERSED,0.0009966263337035277,7.361051711743846e-05
0.626356800715828,inf,inf,inf,inf,inf,2.2793805264686693,0.12111341743298902,0.2195927225392471,0.09847930510625809,2.0498456965766776,4.997253458820442e-05,3.7813943317536604e-05,0.5461309207360483,0.15974754318962248,0.03551089529713916,1.5360179734026622,0.3049095124695593,0.34680538482816375,0.21918554140254856,0.02340875454246998,0.1606420013560611,L_CW_R_CCW,0.097900390625,0.004850173537134218,55253.79796873089,26952.317482834886,inf,1.0249228482883388,12.566370614359172,2.229836231097579,6939.919851694377,103555.31312953438,4481,0.05701237013563515,0.8982057828844554,0.6036287351160944,706.1186955661487,16384,1.6512604290619493,1.4831716664317098,0.5268513929098845,0.059226640776571256,True,PARALLEL_AT_THROAT_REVERSED,0.0007911677649697954,4.893319111921822e-05
0.626356800715828,inf,inf,inf,inf,inf,2.2793805264686693,0.12111341743298902,0.2195927225392471,0.09847930510625809,2.0498456965766776,4.9972534588204306e-05,3.781394331753652e-05,0.5461309207360484,0.15974754318962248,0.03551089529713916,1.5360179734026622,0.3049095124695593,0.34680538482816375,0.21918554140254856,0.02340875454246998,0.1606420013560611,L_CCW_R_CW,0.097900390625,0.0048501735371342305,55253.79796873227,26952.317482835195,inf,1.0249228482883388,12.566370614359172,2.229836231097579,6939.919851694393,103555.31312953826,4481,0.05701237013563515,0.8982057828844554,0.6036287351160937,706.1186955661504,16384,1.6512604290619493,1.4831716664317098,0.5268513929098845,0.059226640776571256,True,PARALLEL_AT_THROAT,0.0007911677649697972,4.8933191119218095e-05
0.7215176174529747,inf,inf,inf,inf,inf,2.1467857960304215,0.057529013258432925,0.1088402799576933,0.05131126669926037,2.0258201794614172,5.405324516981859e-05,4.2568931095836496e-05,0.5414705343830446,0.1325757617937891,0.022263478380974387,1.8542009799535235,0.2698246789214528,0.2762016063073097,0.15914973564445972,0.06183226746506989,0.13704103625980593,L_CCW_R_CW,0.08514404296875,0.005985396302318778,114470.23106391201,27878.65142196658,inf,1.0129100897307086,12.566370614359172,2.1211770232766867,5109.806181656062,219756.08659883417,32089,-0.013301881682127703,0.6052404385427836,0.5163485871150865,540.5931040037295,16384,1.2001849892549217,0.7264004892291148,0.5078891849610955,0.009066869212146559,True,PARALLEL_AT_THROAT,0.000964903629171649,5.205365041264296e-05
0.7215176174529747,inf,inf,inf,inf,inf,2.1467857960304215,0.057529013258432925,0.1088402799576933,0.05131126669926037,2.0258201794614172,5.4053245169818616e-05,4.256893109583651e-05,0.5414705343830446,0.1325757617937891,0.022263478380974387,1.8542009799535235,0.2698246789214528,0.2762016063073097,0.15914973564445972,0.06183226746506989,0.13704103625980593,L_CW_R_CCW,0.08514404296875,0.0059853963023187495,114470.23106390299,27878.651421966104,inf,1.0129100897307086,12.566370614359172,2.1211770232766867,5109.80618165606,219756.08659880573,32089,-0.013301881682127703,0.6052404385427836,0.5163485871150881,540.5931040037293,16384,1.2001849892549217,0.7264004892291148,0.5078891849610955,0.009066869212146559,True,PARALLEL_AT_THROAT_REVERSED,0.0009649036291716444,5.205365041264298e-05
0.6166540244461555,inf,inf,inf,inf,inf,2.0244192623649946,0.0042760449505113325,0.008814484125833568,0.004538439175322236,2.002270506926631,6.238756041086001e-05,4.0820485381035304e-05,0.46738014377894815,0.23358998534704584,0.11006940882597455,0.9181599654452224,0.3080440913450436,0.46870917965114706,0.047609309693798424,0.14017986771650612,0.15580830650638539,L_CCW_R_CW,0.1300048828125,0.006659575350284175,86034.79283753347,31819.41841365162,inf,1.0011352534633156,12.566370614359172,1.9421840384602547,7512.8627656605295,inf,423275,-0.02632515812292696,0.7127982033413268,0.5123587152134781,707.3095837437103,16384,2.4618558934889734,1.754806457764197,0.5057987180538476,0.09456319842748509,True,PARALLEL_AT_THROAT,0.00106110759595877,8.730154779574558e-05
0.6166540244461555,inf,inf,inf,inf,inf,2.0244192623649946,0.0042760449505113325,0.008814484125833568,0.004538439175322236,2.002270506926631,6.238756041086002e-05,4.082048538103531e-05,0.46738014377894815,0.23358998534704584,0.11006940882597455,0.9181599654452224,0.3080440913450436,0.46870917965114706,0.047609309693798424,0.14017986771650612,0.15580830650638539,L_CW_R_CCW,0.1300048828125,0.006659575350284185,86034.79283753449,31819.41841365172,inf,1.0011352534633156,12.566370614359172,1.9421840384602547,7512.862765660528,inf,423275,-0.02632515812292696,0.7127982033413268,0.5123587152134775,707.3095837437103,16384,2.4618558934889734,1.754806457764197,0.5057987180538476,0.09456319842748509,True,PARALLEL_AT_THROAT_REVERSED,0.0010611075959587716,8.73015477957456e-05
0.6744858908618594,inf,inf,inf,inf,inf,3.1531966709314236,0.2694899527523462,0.8384550422365074,0.5689650894841611,2.304613807374024,4.967454163707656e-05,3.886257763715008e-05,0.5659606758473675,0.1428202121578064,0.025098235426382697,1.7585800433163974,0.28668263359478807,0.3676340451374554,0.49687109195627277,0.014644566597416997,0.1442468829121852,L_CCW_R_CW,0.08984375,0.004394585022656113,72380.28964451666,32288.518723974903,inf,1.152306903687012,12.566370614359172,1.473649363964796,7400.854301251513,106563.60435080067,258105,0.04851584108546375,0.8432403394402264,0.5876794833275452,803.0577959388254,16384,1.1858170968480408,0.9999288112601658,0.5031587756238878,0.019013509949798932,True,PARALLEL_AT_THROAT,0.0008059464129857545,4.5921604020434435e-05
0.6744858908618594,inf,inf,inf,inf,inf,3.1531966709314236,0.2694899527523462,0.8384550422365074,0.5689650894841611,2.304613807374024,4.967454163707614e-05,3.886257763714976e-05,0.5659606758473675,0.1428202121578064,0.025098235426382697,1.7585800433163974,0.28668263359478807,0.3676340451374554,0.49687109195627277,0.014644566597416997,0.1442468829121852,L_CW_R_CCW,0.08984375,0.004394585022656102,72380.28964451973,32288.518723975583,inf,1.152306903687012,12.566370614359172,1.473649363964796,7400.854301251575,106563.60435080608,258105,0.04851584108546375,0.8432403394402264,0.5876794833275459,803.0577959388322,16384,1.1858170968480408,0.9999288112601658,0.5031587756238878,0.019013509949798932,True,PARALLEL_AT_THROAT_REVERSED,0.0008059464129857525,4.592160402043405e-05
0.8334659143220817,inf,inf,inf,inf,inf,2.8230431622443968,0.3799571207690115,0.6649549027307237,0.28499778196171216,2.1475689480937676,4.9638505260370504e-05,3.9879398247995103e-05,0.6183664794857745,0.13741753310773536,0.01972186964750622,1.9133644306747157,0.23303834257058706,0.34732639724861514,0.36428994327783587,0.012449707835912704,0.11709820191332883,L_CW_R_CCW,0.07806396484375,0.004898241534569767,87033.33938629157,32958.45387988634,inf,1.0737844740468838,12.566370614359172,2.3331932555884123,6997.116360107389,106119.45992635103,118937,0.012538347300142028,0.6828030806380243,0.5132379733225212,748.6495810621008,16384,1.6098439591005445,1.0992064146203653,0.5024847011081874,0.019099220861248344,True,PARALLEL_AT_THROAT_REVERSED,0.0008371002052004682,4.14590764241417e-05
0.8334659143220817,inf,inf,inf,inf,inf,2.8230431622443968,0.3799571207690115,0.6649549027307237,0.28499778196171216,2.1475689480937676,4.9638505260370463e-05,3.987939824799507e-05,0.6183664794857743,0.13741753310773536,0.01972186964750622,1.9133644306747157,0.23303834257058706,0.34732639724861514,0.36428994327783587,0.012449707835912704,0.11709820191332883,L_CCW_R_CW,0.07806396484375,0.004898241534569773,87033.33938629314,32958.45387988653,inf,1.0737844740468838,12.566370614359172,2.3331932555884123,6997.116360107395,106119.45992635292,118937,0.012538347300142028,0.6828030806380243,0.5132379733225207,748.6495810621014,16384,1.6098439591005445,1.0992064146203653,0.5024847011081874,0.019099220861248344,True,PARALLEL_AT_THROAT,0.0008371002052004693,4.145907642414168e-05
