source,axis,index,nx,ny,nz,A0,L6,G6,infinitesimal_efficiency_improves,eta_ratio_lambda_1e-04,eta_ratio_lambda_1e-03,eta_ratio_lambda_3e-03,eta_ratio_lambda_1e-02,eta_ratio_lambda_3e-02,eta_ratio_lambda_1e-01
EXACT_HIGH,TRUSTED_INT15_AXIS,17,-0.4543501844637903,0.01878880658050768,0.890625,28.69440892473146,-0.0831184935723993,-21.116474346107534,NO,0.9977885737080184,0.9779056200338587,0.9338490298720613,0.7810250064741829,0.35583084428813017,-1.010588576918867
EXACT_HIGH,BASELINE_MAX_AXIS,251,0.5744611209078434,-0.5856222374024951,-0.5718749999999999,322.7106682496701,0.04971053597175712,1.12293896508755,YES,1.0000122926672421,1.0001228161489386,1.0003677137540008,1.0012172174761143,1.003580746555948,1.0111762695534134
EXACT_HIGH,BASELINE_MIN_AXIS,156,-0.855058402773181,-0.5180700842762266,0.021874999999999978,18.373486979354396,-0.08775660570635228,-34.81843604832852,NO,0.9964185145437128,0.9642173466050664,0.8928660935742916,0.6453620193234799,-0.04325541888335494,-2.256221458938956
EXACT_HIGH,SEXTIC_MAX_GAIN_AXIS_EXPLORATORY,216,-0.9351754162558078,-0.027380197329032747,-0.3531249999999999,322.435735305792,0.049901889899291486,1.1282227534024865,YES,1.0000128209932408,1.0001280946587439,1.0003835177070863,1.0012695322119058,1.003734643302985,1.0116566139456804
N65,TRUSTED_INT15_AXIS,17,-0.4543501844637903,0.01878880658050768,0.890625,5.601853299485973,-0.09480063228267024,-120.50796052687025,NO,0.9878504189054225,0.8786134260470827,0.6365664191619036,-0.2030491141274282,-2.53906681146224,-10.046178229715478
N65,BASELINE_MAX_AXIS,238,0.7295301735222595,-0.47652160003045185,-0.49062500000000014,370.1310482023879,0.11138644044649207,2.142954955629833,YES,1.0001142840671564,1.0011418131424874,1.0034186090397703,1.0113163856993053,1.0332899501639756,1.1039049959663485
N65,BASELINE_MIN_AXIS,17,-0.4543501844637903,0.01878880658050768,0.890625,5.601853299485973,-0.09480063228267024,-120.50796052687025,NO,0.9878504189054225,0.8786134260470827,0.6365664191619036,-0.2030491141274282,-2.53906681146224,-10.046178229715478
N65,SEXTIC_MAX_GAIN_AXIS_EXPLORATORY,161,-0.9997180958498275,0.021813715992354633,-0.009374999999999913,357.2765778022283,0.14265029365075765,2.8431800176665085,YES,1.0001842995718095,1.0018413386789875,1.00551300104985,1.018249307105609,1.0536848548834905,1.1675618197878643
