x,r_m,rho_dimless,pr_dimless,pt_dimless,enclosed_mass_kg,compactness,nu,lambda_metric
1e-05,3.3e-07,2.1366018228299,1.8278532069302775,1.8278532069302775,0.0,0.0,-5.385172499886032e-33,0.0
0.03001373546693337,0.0009904532704088013,2.1365591750259907,1.8278071753081269,1.8277611441332258,6.17937171856589e-14,9.266263460483951e-38,-5.3850896775225734e-33,4.6331317302419757e-38
0.060017470933866744,0.0019805765408176025,2.1364312940002894,1.8276691473490108,1.8274850952545372,4.928042350938755e-13,3.6955332507339645e-37,-5.38484268324845e-33,1.8477666253669822e-37
0.09002120640080011,0.0029706998112264036,2.1362181965625,1.827439139913867,1.8270251109261972,1.662036958542489e-12,8.309525439556036e-37,-5.3844312181750776e-33,4.154762719778018e-37
0.12002494186773348,0.003960823081635205,2.1359199108796516,1.8271171812404656,1.8263812756647686,3.938320600827428e-12,1.4767940587157904e-36,-5.383855308043725e-33,7.383970293578952e-37
0.15002867733466685,0.004950946352044006,2.135536476190575,1.8267033106816564,1.8255537075899875,7.690218925385548e-12,2.3069851371322225e-36,-5.3831150184815445e-33,1.1534925685661112e-36
0.18003241280160023,0.005941069622452808,2.1350679429664905,1.8261975788544256,1.8245425585533748,1.3285942574702426e-11,3.321406586893807e-36,-5.3822104410083646e-33,1.6607032934469033e-36
0.2100361482685336,0.0069311928928616085,2.1345143728702793,1.8256000476028522,1.823348014074957,2.1093261015491542e-11,4.5199127861732846e-36,-5.381141690059069e-33,2.2599563930866423e-36
0.24003988373546697,0.00792131616327041,2.133875838785316,1.8249107900255601,1.8219702933385555,3.147941462909875e-11,5.90233171850095e-36,-5.379908902004863e-33,2.951165859250475e-36
0.27004361920240033,0.00891143943367921,2.133152424776717,1.824129890440793,1.820409649118952,4.481102697602844e-11,7.468465013410225e-36,-5.378512234738749e-33,3.7342325067051124e-36
0.3000473546693337,0.009901562704088013,2.1323442260516186,1.8232574443507428,1.818666367702554,6.14540172634869e-11,9.218087993149216e-36,-5.376951867462436e-33,4.609043996574608e-36
0.33005109013626704,0.010891685974496813,2.131451348939888,1.8222935584249187,1.8167407688213233,8.177351304473615e-11,1.1150949725524593e-35,-5.375228000556285e-33,5.5754748627622966e-36
0.36005482560320046,0.011881809244905615,2.130473910872749,1.8212383504817509,1.8146332055791785,1.061337631789595e-10,1.3266773082888345e-35,-5.373340855486534e-33,6.633386541444173e-36
0.3900585610701338,0.012871932515314417,2.1294120403611423,1.8200919494700891,1.8123440643725546,1.3489805108024287e-10,1.5565254807260303e-35,-5.371290674729823e-33,7.782627403630152e-36
0.42006229653706717,0.013862055785723217,2.128265877005881,1.8188544954802726,1.8098737648345335,1.6842860828411703e-10,1.804606558156633e-35,-5.369077721705478e-33,9.023032790783165e-36
0.4500660320040005,0.014852179056132018,2.127035571465807,1.8175261397165092,1.8072227597347035,2.0708652835993923e-10,2.0708850106966105e-35,-5.366702280710644e-33,1.0354425053483053e-35
0.48006976747093394,0.01584230232654082,2.1257212853942433,1.8161070444400798,1.804391534844428,2.5123168119749237e-10,2.3553227186266918e-35,-5.3641646568555765e-33,1.1776613593133459e-35
0.5100735029378672,0.01683242559694962,2.1243231914051943,1.8145973829402333,1.801380608824024,3.0122262769591513e-10,2.657878981339808e-35,-5.361465175997557e-33,1.328939490669904e-35
0.5400772384048006,0.017822548867358422,2.122841473038567,1.812997339504338,1.798190533103574,3.5741653488289316e-10,2.978510526891662e-35,-5.358604184672516e-33,1.489255263445831e-35
0.570080973871734,0.01881267213776722,2.121276324723539,1.8113071093864952,1.7948218917566054,4.2016909149189777e-10,3.317171522151602e-35,-5.355582050023816e-33,1.658585761075801e-35
0.6000847093386673,0.019802795408176022,2.1196279517655094,1.8095268987981314,1.7912753013897762,4.898344240250275e-10,3.673813583550356e-35,-5.352399159727843e-33,1.836906791775178e-35
0.6300884448056007,0.020792918678584824,2.117896570322022,1.8076569248885779,1.7875514110169421,5.667650133286734e-10,4.0483857884201213e-35,-5.3490559219161776e-33,2.0241928942100607e-35
0.660092180272534,0.021783041948993623,2.116082407319051,1.805697415670664,1.7836509018735733,6.513116117094906e-10,4.440834686925918e-35,-5.345552765094196e-33,2.220417343462959e-35
0.6900959157394675,0.022773165219402428,2.1141857004009728,1.8036486099776656,1.779574487256714,7.438231606178019e-10,4.85110431458516e-35,-5.341890138056011e-33,2.42555215729258e-35
0.7200996512064008,0.02376328848981123,2.112206697882511,1.8015107574222635,1.7753229123614906,8.446467089251565e-10,5.279136205370928e-35,-5.338068509795688e-33,2.639568102685464e-35
0.7501033866733342,0.02475341176022003,2.1101456586985097,1.7992841183536974,1.7708969541104296,9.541273318226327e-10,5.724869405395011e-35,-5.334088369414712e-33,2.8624347026975056e-35
