index,reference_equivalent_energy_j,reference_equivalent_energy_mj,band,susceptibility_gain,amplitude_response_gain,z1,z2,g1,g2,rho,productive_participation,cancellation_tax,scaffold_tax,total_tax,kinetic_min_eigenvalue,kinetic_condition_number,distance_from_unit_template,positive_hamiltonian,physical_model,complete_energy_prediction,certification_eligible
479495,8859331.480271252,8.859331480271251,TARGET_LT_10MJ,6.595918832916418,2.5682520968387075,1.0160944949136324,0.8915867766998399,1.2340969354845583,1.5574332042597234,-0.36766540352255106,0.9796930602751672,1.0243379678577185,1.0497385838848743,1.097575487057604,0.5983999531185353,2.187970289221572,0.3924826214403596,True,False,False,False
239106,8983914.776795171,8.98391477679517,TARGET_LT_10MJ,7.665559166442607,2.768674622710767,0.7285230729184389,1.0546874923139151,1.3665713435038924,1.3220858522690833,-0.4533986281603575,0.9134661802090704,1.06443970836699,1.1100409843982042,1.2935035005212756,0.46201399667884835,2.8596461969784994,0.5072103613402126,True,False,False,False
769237,9707661.981801769,9.707661981801769,TARGET_LT_10MJ,7.2136991208201104,2.685833040384326,0.967953007825835,0.8820153806031034,0.9762179520912468,1.6529103619977832,-0.4598525958135724,0.8818377614952624,1.0215225890278816,1.1354591965826808,1.3153181558724734,0.49791986582500203,2.7153938121423034,0.5138146737971662,True,False,False,False
666882,9658442.773000631,9.658442773000631,TARGET_LT_10MJ,6.3253213632309055,2.515019157627016,0.7232135922508184,1.0916607284875126,1.530420558527112,1.5549861984327435,-0.1397023694589734,0.9987337314523757,1.0447525158524513,1.0969432075848595,1.147487202825279,0.6852955963931493,1.6483087448546079,0.5186758267322419,True,False,False,False
543992,9679853.725774216,9.679853725774215,TARGET_LT_10MJ,6.96757973617443,2.6396173465437047,1.0129945866506478,1.1129993962332636,1.6956803710199893,1.1798749440349638,-0.42688244860619307,0.8447036049328744,1.0415289923548698,1.0274054635222893,1.2668024273997183,0.6069748904286538,2.5026061479783883,0.53095935285019,True,False,False,False
76434,9649203.334250342,9.649203334250343,TARGET_LT_10MJ,7.14756904866569,2.6734937906540366,0.7975597486286408,1.0068265992669625,1.7925051315687597,0.9656921559944749,-0.34603208024054766,0.9519701902754605,1.0476671066135168,1.1770854817388472,1.2954121394634015,0.5749341757107269,2.1384224910008904,0.5439481232376471,True,False,False,False
760373,9430108.743159752,9.430108743159753,TARGET_LT_10MJ,7.495350936830285,2.737763857024613,0.9174418604503433,0.9539931787633226,1.7656501424498856,1.259986867196858,-0.3348722094669938,0.94228141522035,1.241055704653263,1.007989869903093,1.3275986961744304,0.6218988915359532,2.0092271664798016,0.5486414605037263,True,False,False,False
989983,9374321.434477255,9.374321434477254,TARGET_LT_10MJ,7.080314989144707,2.660886128556558,1.2056529571510881,0.8604957477426812,1.61568883061409,1.318538258317858,-0.4089463846758008,0.9572141035459936,1.101316275075078,1.0835466065910357,1.2466672902336127,0.5822028661066037,2.5488466738592956,0.549088484096135,True,False,False,False
162999,8259860.463838742,8.259860463838741,TARGET_LT_10MJ,7.46421329862242,2.7320712469887054,1.1697239861307045,0.7062233698996965,1.1935258628800511,1.6604148871265352,-0.33968576323240995,0.9686449905857444,1.0380138056352735,1.0806284671865831,1.1580168984550836,0.5519330615984428,2.3988675195457683,0.5577788702236981,True,False,False,False
1013942,9449492.15737617,9.44949215737617,TARGET_LT_10MJ,7.247581237732905,2.69213321322198,0.6254106409494316,1.0609251597169669,1.4371599974110723,1.3065577549859881,-0.3326887544244528,0.8818130656145513,1.0117109352722764,1.1211914853813127,1.2863516435922977,0.4955227653277452,2.4031449585389564,0.5665358007132406,True,False,False,False
459961,7865618.529853712,7.865618529853712,TARGET_LT_10MJ,8.003856035419565,2.8291086998239505,0.6506651064112483,0.9993502804280227,1.530377778224647,1.104971677530557,-0.42084251530468464,0.891045356169343,1.0225078761577606,1.0304417402136883,1.1824704410332647,0.4434860875052854,2.720557269611319,0.567531942677684,True,False,False,False
407144,9966459.140420936,9.966459140420936,TARGET_LT_10MJ,6.836142618831347,2.614601808848022,1.0971196094842126,1.052701352091848,1.0904542561620474,1.7949782377108932,-0.4152804622426629,0.9680967628955841,1.2055572336539626,1.0276401993058915,1.2797058345297234,0.6280641900469373,2.422931916267026,0.5701439701577053,True,False,False,False
617749,9097211.826940682,9.097211826940681,TARGET_LT_10MJ,6.9931053608903575,2.6444480257494867,0.9860239189393105,0.58567489343461,1.0245059146545827,1.365052246954292,-0.4166001109406352,0.9635394648648798,1.1108229095116258,1.036480660077812,1.1949136537356282,0.41128780316495345,2.8214087562999435,0.5711051744391104,True,False,False,False
200085,7903006.878151903,7.903006878151903,TARGET_LT_10MJ,8.524735091229635,2.9197148989635333,0.9997213486135338,0.8351998272253829,1.3756388118490577,1.6566122248768806,-0.3988826721906662,0.8699303530156612,1.0836984682828188,1.0157981591199912,1.2654103921156359,0.543807988308505,2.3742078367520354,0.5741669397930251,True,False,False,False
