F50_energy_fraction,F90_energy_fraction,acceleration,active_mass_integral,active_total,active_total_relerr,cap_multiplier,coefficient,core_active,core_active_fraction,dec_saturation_energy_fraction,density_cap,density_cap_active,depth,energy_effective_length,energy_effective_volume,energy_volume_fraction_50,energy_width_cells,force_effective_length,force_effective_volume,force_volume_fraction_50,force_width_cells,gain_vs_006D,green,green_postcheck,grid_scale,headroom_vs_B7,label,max_cell_energy_fraction,max_cell_force_fraction,max_conservation_residual,max_dec_violation,max_energy_density,name,nr,nz,occupied_fraction,peak_energy_payload_surface_distance,peak_force_payload_surface_distance,radial_laue,radius,solver,status,support_radius,trace_integral,track,uncapped,vertical_laue
0.07395602843533546,0.19254069265495008,0.999999999783534,,42.856027300876896,4.973928619922928e-16,4.0,42.85602730087692,nan,nan,0.999999999957203,6.679421277682118,True,0.125,2.0236874495022374,8.287629256526104,0.33875000000000005,8.09474979800895,1.135768855965201,1.465108766711796,0.05625000000000001,4.543075423860804,0.5504846759038319,True,True,0.25,9.852104767995359,CAPACITY_R5_D0P125_M4P0,0.07459357794604664,0.09023254743319266,7.739919816174279e-13,3.1419746804317583e-09,6.679421279451956,CAPACITY_R5_D0P125_M4P0,20,2,,1.0540167558249056,1.3091439522188408,,5.0,CLARABEL,optimal,5.0,-2.1016512328039665e-14,B_DENSITY_CAPACITY,False,
0.06975761636786058,0.17409905814165558,0.9999999999871831,,34.32928617915495,1.2418715589691705e-15,8.0,34.32928617915499,nan,nan,0.9999999999984267,13.358842555364236,True,0.125,1.6965859159286656,4.883459296754304,0.18000000000000002,6.786343663714662,0.9729205391790279,0.9209416518393942,0.036250000000000004,3.8916821567161115,0.6872145892032556,True,True,0.25,12.299180026780903,CAPACITY_R5_D0P125_M8P0,0.18624240550316917,0.12825096352897222,2.1266231586187102e-13,1.7772805449567386e-10,13.358842554600662,CAPACITY_R5_D0P125_M8P0,20,2,,1.0540167558249056,1.162562475543362,,5.0,CLARABEL,optimal,5.0,-4.334733119301226e-14,B_DENSITY_CAPACITY,False,
0.08430164876762887,0.20473257620520174,0.999999999895328,,32.964334887877314,6.466468122383409e-16,16.0,32.964334887877335,nan,nan,0.9999999993164876,26.71768511072847,True,0.125,1.3079633708113674,2.2376221145842297,0.09250000000000001,5.2318534832454695,0.7811614935139889,0.47667511634587356,0.018750000000000003,3.1246459740559556,0.7156700227531309,True,True,0.25,12.808451083403515,CAPACITY_R5_D0P125_M16P0,0.3879082482831853,0.21277661957263275,4.059510918814552e-13,1.3864145387287863e-09,26.717684520063255,CAPACITY_R5_D0P125_M16P0,20,2,,4.939581988914307,1.162562475543362,,5.0,CLARABEL,optimal,5.0,-9.901598045969238e-15,B_DENSITY_CAPACITY,False,
0.08424086272602703,0.20458495314081807,0.9999999999476896,,32.95475466695212,4.312231985587507e-16,nan,32.954754666952105,nan,nan,0.9999999947904745,nan,False,0.125,1.2881810257784694,2.1376209335176086,0.07875000000000001,5.1527241031138775,0.7811614960052654,0.4766751209065037,0.018750000000000003,3.1246459840210616,0.7158780739735642,True,True,0.25,12.812174606528755,CAPACITY_R5_D0P125_UNCAPPED,0.40168904763198143,0.21277661856039423,2.8424174529710366e-14,2.4560264932915743e-10,27.658814330342196,GENERALIZED_006B_POSITIVE_CONTROL,20,2,,4.939581988914307,1.162562475543362,,5.0,CLARABEL,optimal,5.0,1.9308027058453656e-14,B_DENSITY_CAPACITY,True,
,,,,,,3.0,nan,,,,5.009565958261589,,0.125,,,,,,,,,nan,False,False,,nan,CAPACITY_BISECT_0_3P0,,,,,,CAPACITY_BISECT_0_3P0,20,2,,,,,5.0,CLARABEL,infeasible,5.0,,B_DENSITY_BISECTION,False,
,,,,,,3.5,nan,,,,5.844493617971853,,0.125,,,,,,,,,nan,False,False,,nan,CAPACITY_BISECT_1_3P5,,,,,,CAPACITY_BISECT_1_3P5,20,2,,,,,5.0,CLARABEL,infeasible,5.0,,B_DENSITY_BISECTION,False,
0.07286615770374431,0.20309858886242438,0.9999999999476672,,48.17859302182228,2.9496201162963093e-16,3.75,48.178593021822294,nan,nan,0.9999999999943138,6.261957447826985,True,0.125,2.0809465154038103,9.011202603939505,0.42750000000000005,8.323786061615241,1.1832182328185057,1.6565118993203296,0.07375000000000001,4.732872931274023,0.48966947392098575,True,True,0.25,8.763686202232286,CAPACITY_BISECT_2_3P75,0.062205747533754734,0.08385542297151735,1.1315948178491908e-13,7.487637176950557e-10,6.26195744835516,CAPACITY_BISECT_2_3P75,20,2,,1.0540167558249056,1.3091439522188408,,5.0,CLARABEL,optimal,5.0,-1.5572445358230956e-14,B_DENSITY_BISECTION,False,
,,,,,,3.625,nan,,,,6.053225532899419,,0.125,,,,,,,,,nan,False,False,,nan,CAPACITY_BISECT_3_3P625,,,,,,CAPACITY_BISECT_3_3P625,20,2,,,,,5.0,CLARABEL,infeasible,5.0,,B_DENSITY_BISECTION,False,
,,,,,,1.0,nan,,,,1.6698553194205294,,0.125,,,,,,,,,nan,False,False,,nan,BASECAP_R3P353682_D0P125,,,,,,BASECAP_R3P353682_D0P125,12,2,,,,,3.353681771042527,CLARABEL,infeasible,3.353681771042527,,C_BASECAP_GEOMETRY,False,
,,,,,,1.0,nan,,,,1.6698553194205294,,0.25,,,,,,,,,nan,False,False,,nan,BASECAP_R3P353682_D0P25,,,,,,BASECAP_R3P353682_D0P25,12,2,,,,,3.353681771042527,CLARABEL,infeasible,3.353681771042527,,C_BASECAP_GEOMETRY,False,
