A_mass,M_eff,S,absolute_mixed_integral,absolute_u_term,absolute_y_term,activation_translation_norm,boundary_term,cancellation_fraction,k_block,k_direct_corrected,k_direct_truncated,k_mixed,lambda_relative_collective,mixed_block_absdiff,mixed_direct_absdiff,order,rmax,scan,source_translation_norm
12.042954996239757,11.491244927428905,250.83563511913937,1.494102963437198e-19,1.6201733469812334e-20,1.611694096187164e-19,3.470296096335262,0.0,0.9996741631505186,1.493616129634791e-19,1.4936161313406954e-19,1.4936161313406954e-19,1.4936161296347909e-19,1.2997861755340535e-20,2.407412430484045e-35,1.7059044853031466e-28,32,500.0,QUADRATURE,15.83779135861877
12.0429549962505,11.491244927369234,250.83563508604794,1.4941030502790548e-19,1.6199753841092828e-20,1.6116940961939597e-19,3.47029609633681,0.0,0.9996741050609048,1.4936161296564824e-19,1.4936161313265338e-19,1.4936161313265338e-19,1.4936161296564821e-19,1.2997861755596794e-20,2.407412430484045e-35,1.6700516141996768e-28,48,500.0,QUADRATURE,15.837791357574071
12.042954996239505,11.491244927568678,250.83563518584907,1.4941025625590462e-19,1.6199529742385855e-20,1.6116940963149143e-19,3.4702960963352254,0.0,0.9996744314521688,1.493616129757443e-19,1.4936161307275524e-19,1.4936161307275524e-19,1.493616129757443e-19,1.2997861756249789e-20,0.0,9.701094500635654e-29,64,500.0,QUADRATURE,15.837791360724799
12.042954996248843,11.4912449273901,250.83563509670893,1.4941028497282498e-19,1.619986429844394e-20,1.6116940949831833e-19,3.470296096336571,0.0,0.9996742384165747,1.4936161284181222e-19,1.4936161305384208e-19,1.4936161305384208e-19,1.493616128418122e-19,1.2997861744796636e-20,2.407412430484045e-35,2.1202988869759275e-28,80,500.0,QUADRATURE,15.837791357910639
12.026072801528803,11.475254502351133,250.5404164447201,1.4941028497282498e-19,1.619986429844394e-20,1.6116940949831833e-19,3.4678628579470674,3.412137980106465e-144,0.9996742384165747,1.4936161284181222e-19,1.4936161305384208e-19,1.4936161305384208e-19,1.493616128418122e-19,1.301597387763469e-20,2.407412430484045e-35,2.1202988869759275e-28,80,180.0,DOMAIN,15.828468543883837
12.042934942598517,11.491096907432166,250.7738206801635,1.4941028497282498e-19,1.619986429844394e-20,1.6116940949831833e-19,3.4702932070069408,1.8317770019756973e-205,0.9996742384165747,1.4936161284181222e-19,1.4936161305384208e-19,1.4936161305384208e-19,1.493616128418122e-19,1.2998029173803998e-20,2.407412430484045e-35,2.1202988869759275e-28,80,250.0,DOMAIN,15.835839752920068
12.042954994877597,11.491230200696046,250.8286189096344,1.4941028497282498e-19,1.619986429844394e-20,1.6116940949831833e-19,3.470296096139002,9.312639145935734e-293,0.9996742384165747,1.4936161284181222e-19,1.4936161305384208e-19,1.4936161305384208e-19,1.493616128418122e-19,1.2997878402328506e-20,2.407412430484045e-35,2.1202988869759275e-28,80,350.0,DOMAIN,15.837569854925167
12.04295499624875,11.491243694038664,250.8350474312706,1.4941028497282498e-19,1.619986429844394e-20,1.6116940949831833e-19,3.4702960963365577,0.0,0.9996742384165747,1.4936161284181222e-19,1.4936161305384208e-19,1.4936161305384208e-19,1.493616128418122e-19,1.2997863139852897e-20,2.407412430484045e-35,2.1202988869759275e-28,80,450.0,DOMAIN,15.837772805267495
12.042954996248843,11.4912449273901,250.83563509670893,1.4941028497282498e-19,1.619986429844394e-20,1.6116940949831833e-19,3.470296096336571,0.0,0.9996742384165747,1.4936161284181222e-19,1.4936161305384208e-19,1.4936161305384208e-19,1.493616128418122e-19,1.2997861744796636e-20,2.407412430484045e-35,2.1202988869759275e-28,80,500.0,DOMAIN,15.837791357910639
