loop_cap,loop_proxy,f_psi_ev,mass_ev,cutoff_ev,leading_log_delta_z_proxy,fixed_order_small_lt1,renormalized_physical_z
0.2,0.20000007203184605,36.354443127042416,17.782608655915432,456.8434058130576,2.596896725240511,False,False
0.25,0.25000006761185206,30.248466724789385,21.801004089773528,380.11344337981456,2.858514488557051,False,False
0.3,0.300000060963704,27.144690651647558,24.96671585947364,341.110242940734,3.137595212707212,False,False
0.5,0.5000000006040571,23.530562660920975,34.84784514487413,295.6937711615345,4.276666122974643,False,False
