C,DEC_margin_ratio,F,NEC_margin_ratio,R,R_over_a,a,annulus_energy_factor,cL2_max,cL2_min,cT2_reference,core_energy_factor,grading_floor,index,k,mass,max_log_strain,principal_longitudinal_causal,q,rho_star_ann_over_core_at_a,source,strain_cap,support,support_energy_factor,t,y_ann,y_core,y_support
95.76282060149315,0.2602278103990968,0.13401166751291482,,7.266278695945127,3.3358717294632414,2.178224849525107,2.3028746503777566,0.9869840865468833,0.9129819203156624,0.47499153044160936,0.31166728351198886,0.0,,0.9499830608832187,25.66667054909242,0.9999925762515578,,0.7397698923013534,0.1353387824734979,INDEPENDENT_DE,1.0,0.739730922040547,4.124351124616863,0.7397721896009032,0.9999872348645721,0.9999925762515578,0.9998966323093589
36.711675459939784,0.10937487495511045,0.19741777789198972,,5.3726484584114935,3.270013039143996,1.6430052094892909,5.253575220356291,0.9945281895754924,0.9054160012094733,0.47498598089024835,0.26161231585803113,0.0,,0.9499719617804967,14.495074783986404,1.4999819576820248,,0.8906077488563684,0.04979767872907041,INDEPENDENT_DE,1.5,0.8906251250448896,10.272959486690725,0.8906197835607588,1.4998935096370183,1.4999547671209363,1.4999819576820248
27.60187050645949,0.043775492099091484,0.22085290026262958,,4.951435910198631,3.289704327010495,1.5051309838225575,13.286480535098486,0.9978082860218485,0.9020953518881918,0.4749761216781649,0.24347597512379274,0.0,,0.9499522433563298,12.19190630805023,1.9999413286342944,,0.956207548047435,0.01832541679583,INDEPENDENT_DE,2.0,0.9561737137634289,26.9044956723156,0.9562245079009085,1.9997328851338123,1.9999413286342944,1.999317283672936
24.928315410525027,0.01715828655652596,0.2308383899065225,,4.783748859978117,3.2669912765579334,1.4642674115182281,35.10583273267849,0.9991417196017824,0.9008159309928828,0.47498933254815073,0.2366570963679749,0.0,,0.9499786650963015,11.5088243848951,2.499953546342564,,0.9828353081353607,0.0067412441290293935,INDEPENDENT_DE,2.5,0.982841713443474,72.19219495263698,0.9828348614223112,2.4997554010031804,2.499741584869397,2.499953546342564
23.992081161970432,0.00667305757103287,0.23445934614993197,,4.738802309120408,3.2747105248508817,1.4470904445320998,94.39880939449816,0.9996659362585455,0.9002109229177838,0.47496921479408233,0.23402803246847223,0.0,,0.9499384295881647,11.250335324023375,2.9999218966538517,,0.9933269424289671,0.002479139515982503,INDEPENDENT_DE,3.0,0.9933187553932092,194.8822213711079,0.9933260348029722,2.9999218966538517,2.999850071159211,2.999274362864265
23.643698308191635,0.002587169932557587,0.23598449753269912,,4.709934659488281,3.266495944103459,1.4418920886739373,255.359044880615,0.9998703618621217,0.8999135146662582,0.47494595614945284,0.23300697417388141,0.0,,0.9498919122989057,11.159092530146662,3.4998947579848996,,0.9974117936964488,0.0009124594978100055,INDEPENDENT_DE,3.5,0.9974128300674424,529.2392434680912,0.9974024263500221,3.499683671022208,3.497779560367487,3.4998947579848996
23.51009602135977,0.001001035584146437,0.2362601952043596,,4.702687565072516,3.2693630003505345,1.4384109579047366,692.9803339700312,0.9999498484969054,0.8998945537406994,0.47496110602324565,0.23262614377105925,0.0,,0.9499222120464913,11.108999750559395,3.999994247833291,,0.9989983322816752,0.0003356895997852366,INDEPENDENT_DE,4.0,0.9989985279872742,1437.079648162359,0.9989989644158536,3.999661801057603,3.999994247833291,3.9997647025104808
23.439485924549448,0.00015093076909178382,0.2372358126169744,,4.720861668851631,3.282650373218311,1.4381250307273197,5048.9722184528955,0.9999924023404807,0.8998864796506275,0.47496973099378104,0.2324241537567897,0.0,,0.9499394619875621,11.121370981269244,4.995982060577158,,0.9998482305660111,4.60339923960953e-05,INDEPENDENT_DE,5.0,0.9998464307803472,10343.61833242891,0.9998490692309082,4.993065212553333,4.995982060577158,4.98685964861171
23.43086164150956,4.999999999999449e-05,0.2368161553222501,,4.701687663701613,3.270568056367615,1.4375752415693315,26290.710106527782,0.9999952510154424,0.8100453666813088,0.4525101544241878,0.2161619570189659,0.0,,0.9050203088483756,11.097613139659758,5.854349139561133,,0.99995,8.221990054399274e-06,INDEPENDENT_DE,6.0,0.99995,56547.40565610745,0.99995,5.854349139561133,5.854349139561133,5.854349139561133
204.3024658646234,0.27321760952941965,0.08150351834542822,0.27321760952941965,5.051422631069744,2.031503843879835,2.4865434767882912,2.156223394852827,0.9804540087967928,0.8815985392137302,0.46571616046130654,0.3094540259493021,,741586,0.9314323209226131,33.30273954922711,0.9897372263462438,True,0.7149387077671513,0.14589418034670287,SOBOL,1.0,0.4935317123803099,2.0758559818636035,0.7267823904705804,0.9632629028054721,0.9897372263462438,0.58052374597117
42.51487372893194,0.12924869341744605,0.17084226931240393,0.12924869341744605,5.504490448671971,3.404114576759823,1.617010921504109,4.684178735773783,0.9895781958034183,0.8491543449902984,0.4596831351984292,0.2574605386936932,,2882,0.9193662703968584,14.526675014762073,1.4533690646777147,True,0.870751306582554,0.0546570907094353,SOBOL,1.5,0.8171007893513239,6.345947146119982,0.8658914089365115,1.4533690646777147,1.4318799900986992,1.2487201082717145
30.768109283308103,0.05558587863142539,0.19688735589764472,0.05558587863142539,4.606258288193389,3.0955883468049166,1.4880073744132343,9.877232308868495,0.9948172142071491,0.8402691579804064,0.4589257143670693,0.23481656535061343,,607426,0.9178514287341386,12.115703365520618,1.9364717910190876,True,0.9369096052069164,0.02396394112356023,SOBOL,2.0,0.8609666358327233,8.581686120626832,0.9444141213685746,1.8653783998788394,1.9364717910190876,1.413157572606911
26.185039462422743,0.019104618178600874,0.21005870077050748,0.019104618178600874,4.524959317764975,3.1858522008032173,1.4203293287190606,20.720365092415143,0.9980272106753806,0.8693771588017407,0.46702934380155053,0.23139934502095735,,926034,0.9340586876031011,11.000790738201978,2.484519549376874,True,0.9700826499669096,0.01129220293903845,SOBOL,2.5,0.9298207920570877,17.188786970181436,0.9808953818213991,2.2415037994690192,2.484519549376874,1.774048238994632
24.81727031777311,0.011433167873425076,0.23917343767529564,0.011433167873425076,4.958993439296587,3.3709816485363833,1.4710828940435463,41.84984038213646,0.9981784462283446,0.7953706355523971,0.44854853225406255,0.2159884704381444,,923938,0.8970970645081251,11.871263711237743,2.875191037739777,True,0.9822983303348118,0.005193969467527144,SOBOL,3.0,0.9693429082306712,48.6489983792272,0.9885668321265749,2.6297897092655247,2.875191037739777,2.320033899864339
23.96288294450214,0.003469724402651364,0.22888466400095242,0.003469724402651364,4.814899701032699,3.3891405757915423,1.4206845639349637,118.94009820312587,0.9996821196731488,0.8173677577768049,0.4541922801407054,0.21895791850485943,,598658,0.9083845602814108,10.969472822493051,3.498017910398124,True,0.9934657606204574,0.0018408608425607247,SOBOL,3.5,0.9965302755973486,510.24578038674855,0.9934396754879343,3.148762260389039,3.1465620870715965,3.498017910398124
23.74768533364097,0.0011847960174460326,0.22937836403284453,0.0011847960174460326,5.299814244158079,3.8303366214118193,1.3836419009576832,451.7362052490416,0.999896097993502,0.8729014723305242,0.46820653369650245,0.2278278989538363,,602061,0.9364130673930049,10.894410422794683,3.967661025967007,True,0.9983659849242889,0.0005045652937399079,SOBOL,4.0,0.9970885884796225,510.61776031007884,0.998815203982554,3.7958915477369146,3.967661025967007,3.4871403969539245
23.471755125495427,0.00024378308310124552,0.22681190659644757,0.00024378308310124552,4.724375680825569,3.374782346349814,1.3999052963920722,3826.32634465129,0.9999737313695318,0.8136574074628105,0.45340867277700453,0.216865437584762,,992029,0.9068173455540091,10.647347062357117,4.969168850555958,True,0.9997180952761607,5.667935446370437e-05,SOBOL,5.0,0.9996060161759848,5680.193508331663,0.9997562169168988,4.889048309770388,4.969168850555958,4.704448429654776
23.454938445323837,0.0001513412124830582,0.24311151865280972,0.0001513412124830582,4.662025795178335,3.183113255446188,1.4646119760903205,6521.863021231592,0.9999882824746128,0.8451626160154883,0.46128772462252526,0.22258069087320914,,990061,0.9225754492450505,11.4043314107017,5.142693261529898,True,0.9998486587875169,3.412821517643744e-05,SOBOL,6.0,0.999454531473886,3444.1950010334804,0.9998435093746232,5.142693261529898,5.124558317396878,4.4477337151588126
