background_gradient_relative,canonical_background_gradient_relative,canonical_hidden_source_coupling_relative,control_improvement_paid_by_source_reaction,control_ratio,kappa,local_canonical_scale_relative,required_linear_g3_coefficient_relative,source_drive_multiplier
1.0,1.0,1.0,True,0.19423543641148613,1.0,1.0,1.0,1.0
1.0,1.4142135623730951,0.7071067811865475,True,0.2447213149703485,2.0,1.2599210498948732,1.4142135623730951,2.0
1.0,2.23606797749979,0.4472135954999579,True,0.33213792425589234,5.0,1.7099759466766968,2.23606797749979,5.0
1.0,3.1622776601683795,0.31622776601683794,True,0.4184675622383878,10.0,2.154434690031884,3.1622776601683795,10.0
1.0,10.0,0.1,True,0.9015610327394589,100.0,4.641588833612778,10.0,100.0
1.0,31.622776601683793,0.03162277660168379,True,1.942354364114861,1000.0,9.999999999999998,31.622776601683793,1000.0
1.0,100.0,0.01,True,4.184675622383877,10000.0,21.544346900318832,100.0,10000.0
