a_s,a_value,alpha,current,d_u_d_q,elasticity,full_dynamic_stability_certified,jacobian,physical_model,radial_static_canonical_source_coupling_relative,response_gain_over_canonical_baseline,s,static_branch_regular
-0.0,1.0,0.0,1.0,0.07957747154594767,1.0,False,1.0,False,1.0,1.0,0.5,True
-0.2,0.9,0.2,0.9,0.11368210220849667,0.7777777777777777,False,0.7,False,1.1952286093343936,1.4285714285714286,0.5,True
-0.4,0.8,0.4,0.8,0.1989436788648692,0.5,False,0.4,False,1.5811388300841895,2.5,0.5,True
-0.5,0.75,0.5,0.75,0.3183098861837907,0.3333333333333333,False,0.25,False,2.0,4.0,0.5,True
-0.6,0.7,0.6,0.7,0.7957747154594769,0.14285714285714282,False,0.09999999999999998,False,3.16227766016838,10.000000000000002,0.5,True
-0.65,0.675,0.65,0.675,3.183098861837904,0.03703703703703707,False,0.025000000000000022,False,6.324555320336756,39.999999999999964,0.5,True
-0.66,0.6699999999999999,0.66,0.6699999999999999,7.957747154594849,0.014925373134328207,False,0.009999999999999898,False,10.000000000000052,100.00000000000104,0.5,True
-0.665,0.6675,0.665,0.6675,31.83098861837975,0.0037453183520598453,False,0.0024999999999999467,False,20.000000000000213,400.0000000000085,0.5,True
-0.666,0.667,0.666,0.667,79.5774715459476,0.001499250374812595,False,0.0010000000000000009,False,31.622776601683782,999.9999999999991,0.5,True
-0.6666666666666666,0.6666666666666667,0.6666666666666666,0.6666666666666667,,,False,1.1102230246251565e-16,False,,,0.5,False
-0.67,0.665,0.67,0.665,,,False,-0.0050000000000000044,False,,,0.5,False
