kappa,bare_m_gev,physical_m_eff_gev,physical_cap_ratio,n1_equivalent_energy_j,n1_equivalent_energy_mj,within_minimal_canonical_m_cap,independent_eft_lever_certified
1.0,100.0,100.0,1.0,5324046687.1599865,5324.0466871599865,True,False
2.0,100.0,141.4213562373095,1.4142135623730951,1331011671.7899961,1331.0116717899962,False,False
5.0,100.0,223.60679774997897,2.23606797749979,212961867.48639944,212.96186748639946,False,False
10.0,100.0,316.22776601683796,3.1622776601683795,53240466.87159983,53.24046687159983,False,False
23.073895828749823,100.0,480.35295178389214,4.803529517838921,10000000.000000006,10.000000000000005,False,False
25.682520968387074,100.0,506.7792514338671,5.067792514338671,8071728.6279975865,8.071728627997587,False,False
