index,theta_rad,kx,ky,kz,min_null_source_scaled,integrated_null_source,radial_bending_driver,sign,cancellation
0,0.0,0.04131782619737955,0.9991460540072824,-0.0,7.511546324877598e-06,1804.25222903443,-169.18495796299294,INWARD,10.231752581794678
1,0.2617993877991494,-0.1904039129354307,0.9746251793373324,-0.11769498604677196,3.780853024731294e-06,1804.1999353154167,-169.05299212802936,INWARD,10.239820061634452
2,0.5235987755982988,-0.409149940059035,0.8836852093398059,-0.22736925329461713,7.240399019625616e-06,1804.168544208967,-168.97628359432957,INWARD,10.244407239929002
3,0.7853981633974483,-0.6000130749198617,0.7325235526846281,-0.32154868167589107,1.669745145172817e-05,1804.1664669367033,-168.97538635155115,INWARD,10.24427504681805
4,1.0471975511965976,-0.7499863102933888,0.5314416264664007,-0.39381509878527426,2.3622349837577247e-05,1804.1942601020517,-169.05054081517187,INWARD,10.239458997382098
5,1.3089969389957472,-0.8488492180314009,0.2941428316533007,-0.4392436677226631,9.606281111760161e-06,1804.244476548801,-169.1816094073571,INWARD,10.231259581286908
6,1.5707963267948966,-0.8898644543502319,0.03679868895704106,-0.4547385065892343,1.7822295779205934e-05,1804.3036608205994,-169.3334724046776,INWARD,10.221883731093998
7,1.832595714594046,-0.8702368986756364,-0.2230532235789321,-0.4392436677226631,7.1772050974897695e-06,1804.3559545396124,-169.4654382396413,INWARD,10.213843570994818
8,2.0943951023931953,-0.7913041364907686,-0.4677044275408816,-0.3938150987852743,1.9060540670081467e-05,1804.3873456460617,-169.54214677334102,INWARD,10.20928345578687
9,2.356194490192345,-0.6584453050959702,-0.6804823476840315,-0.3215486816758911,9.041733754181608e-06,1804.3894229183254,-169.5430440161196,INWARD,10.209415392173204
10,2.6179938779914944,-0.48071451429119677,-0.8468865203827648,-0.22736925329461713,6.90964637891261e-06,1804.361629752977,-169.46788955249883,INWARD,10.21420412179766
11,2.8797932657906435,-0.27022382375577486,-0.9555767762635602,-0.11769498604677209,2.3187944101758546e-05,1804.3114133062275,-169.33682096031356,INWARD,10.222376474876862
12,3.141592653589793,-0.04131782619737966,-0.9991460540072824,-5.568940565435533e-17,7.511546324877598e-06,1804.25222903443,-169.18495796299305,INWARD,10.231752581794673
13,3.4033920413889427,0.19040391293543077,-0.9746251793373324,0.11769498604677199,3.780853024731294e-06,1804.1999353154167,-169.05299212802936,INWARD,10.239820061634452
14,3.665191429188092,0.4091499400590348,-0.883685209339806,0.22736925329461705,7.240399019624399e-06,1804.168544208967,-168.97628359432952,INWARD,10.244407239929005
15,3.926990816987241,0.6000130749198613,-0.7325235526846284,0.32154868167589096,1.669745145172878e-05,1804.1664669367033,-168.97538635155115,INWARD,10.24427504681805
16,4.1887902047863905,0.7499863102933887,-0.531441626466401,0.39381509878527415,2.3622349837577247e-05,1804.1942601020517,-169.05054081517187,INWARD,10.239458997382098
17,4.4505895925855405,0.8488492180314009,-0.2941428316533006,0.4392436677226631,9.60628111184852e-06,1804.244476548801,-169.1816094073571,INWARD,10.231259581286908
18,4.71238898038469,0.8898644543502319,-0.03679868895704118,0.4547385065892343,1.7822295779205934e-05,1804.3036608205994,-169.3334724046776,INWARD,10.221883731093998
19,4.974188368183839,0.8702368986756364,0.22305322357893176,0.43924366772266316,7.177205097492196e-06,1804.3559545396126,-169.46543823964123,INWARD,10.213843570994822
20,5.235987755982989,0.7913041364907685,0.4677044275408819,0.3938150987852743,1.9060540669914124e-05,1804.3873456460617,-169.54214677334107,INWARD,10.209283455786867
21,5.497787143782138,0.6584453050959703,0.6804823476840314,0.3215486816758912,9.041733754182826e-06,1804.3894229183256,-169.54304401611955,INWARD,10.209415392173208
22,5.759586531581287,0.4807145142911972,0.8468865203827645,0.22736925329461735,6.909646378962793e-06,1804.361629752977,-169.46788955249872,INWARD,10.214204121797668
23,6.021385919380436,0.2702238237557753,0.9555767762635601,0.11769498604677231,2.318794410175377e-05,1804.3114133062275,-169.33682096031356,INWARD,10.222376474876862
