success,kappa_GJ_per_GeV2,linear_eigenvalue_m2inv,scalar_hessian_eigenvalue_m2inv,scalar_radial_stability,u_center,u_near_payload,M4_GeV,M_m_GeV,alpha_x_center,f_center_GeV,E_core_J,E_phi_J,E_on_J,E_total_conservative_J,a_cm_mps2,a_adverse_mps2,payload_backreaction_ratio,e4_c4_weighted_mean,scalar_energy_identity_relerr,scalar_energy_identity_pass,target_energy_pass,backreaction_pass,derrick_residual,derrick_relative_burden,uniform_scale_estimate,reequilibration_burden,grid
True,0.0025,-0.6640891571103005,0.11223095710364644,True,0.4479714356904806,0.017526404577898922,1002.7664531521991,1258781526.5101564,-1087801095137710.9,2238.4606991885216,2513851398918.604,122249345093.4446,2508878978130.889,2636100744012.049,11.821780283184014,9.80665,0.006086037550097562,0.9289056137690563,6.461554228627135e-05,True,False,True,24.842696753582004,0.014680274383435324,0.9944059972243912,MILD,N73
True,0.0025,-0.6745526989150455,0.11244485664287136,True,0.45407045088135406,0.01768980502089119,993.5039156358531,1258781526.5101566,-1112890981600673.4,2187.995086902164,2467625075959.4307,122826300907.64677,2462759898496.5615,2590451376867.0776,11.821780283184012,9.80665,0.006086037550097561,0.9271277974033251,0.0001171350858746211,True,False,True,38.26205354654462,0.02261910355561253,0.991415599775763,MILD,N81
True,0.0031393269769585765,-6.050143013425811,0.11448861499793121,True,0.8864006986268927,0.03508212000076558,500.9643246960743,1258781526.5101566,-4308461889907901.5,565.1668883746471,787861994102.1736,120867785353.13193,767417133634.6593,908729779455.3055,11.82178028318402,9.80665,0.006086037550097561,0.748032591995056,6.482903571008825e-05,True,False,True,254.3409799210135,0.1738784157513294,0.9379084871111418,SUBSTANTIAL,N73
True,0.0031393269769585765,-6.12861951617535,0.11449570125124885,True,0.8891307690443477,0.03504048068286173,501.55963082110463,1258781526.5101569,-4316602233474422.0,564.101084208557,789735571600.9963,121430046004.64177,769099341116.3425,911165617605.6381,11.821780283184028,9.80665,0.0060860375500975585,0.7466689320129563,0.00011479356612184258,True,False,True,266.8575100078099,0.18240607284926888,0.935104341047842,SUBSTANTIAL,N81
True,0.003942149547303951,-17.571325956128604,0.11474927173787366,True,1.1683645958318187,0.046759787290941636,375.8548011721773,1258781526.5101566,-7569326723984596.0,321.6930763847624,556894976099.7837,119548705214.08286,518725317722.61835,676443681313.8666,11.821780283184022,9.80665,0.006086037550097561,0.6021471679393338,6.48118117375449e-05,True,False,True,439.4457237438628,0.3439492098644582,0.8840910802219117,SUBSTANTIAL,N73
True,0.003942149547303951,-17.797308157159136,0.11475017767347086,True,1.170207415846386,0.0466343143027801,376.8660656396194,1258781526.5101566,-7560922347173490.0,322.0506557523738,559895739808.9498,120093957002.00102,521400416864.70715,679989696810.9508,11.821780283184024,9.80665,0.006086037550097561,0.6011167308884247,0.00011234263566480321,True,False,True,451.23510643694044,0.3529111380664842,0.8814679460764426,SUBSTANTIAL,N81
True,0.004950278568422535,-36.644699137311655,0.11485309609338583,True,1.392560804279972,0.05633572844381333,311.9670418856582,1258781526.5101569,-1.086937112948154e+16,224.02400019219394,481778115589.12146,118287323781.97006,423286994576.79016,600065439371.0916,11.82178028318403,9.80665,0.006086037550097557,0.4845390951737875,6.519829594506736e-05,True,False,True,588.6711334904203,0.5216765315077715,0.832819940240694,SEVERE,N73
True,0.004950278568422535,-37.12303511480607,0.11485263856741441,True,1.3939525417092957,0.056153169469865566,312.9812746281702,1258781526.5101569,-1.0844976087130518e+16,224.52792707303044,484915815230.4597,118813608194.11409,425971829111.4186,603729423424.5739,11.82178028318401,9.80665,0.0060860375500975585,0.48377269542300216,0.00010897362994052805,True,False,True,599.8801358301973,0.5308846377906126,0.8303717341377436,SEVERE,N81
True,0.006216217221323495,-65.11287989803327,0.11491059898551007,True,1.5838377067275704,0.06474463086454019,271.44939001753914,1258781526.5101566,-1.4207601702963652e+16,171.387124365407,458040544558.5497,117079477330.3947,376151945593.0228,575120021888.9443,11.821780283184028,9.80665,0.006086037550097561,0.3897708210380276,6.527543598684769e-05,True,False,True,708.916574184571,0.7031672760406698,0.7839668627685342,SEVERE,N73
True,0.006216217221323495,-65.9840354573418,0.11490965784429441,True,1.5849552326876974,0.06451813168092017,272.40234794783373,1258781526.5101566,-1.4167888128239e+16,171.8675343819685,461262209947.50977,117585220735.14828,378787540492.9047,578847430682.6581,11.821780283184022,9.80665,0.006086037550097561,0.38921085950604994,0.00010589480128593993,True,False,True,719.6659163652259,0.7124153242622956,0.781686988777466,SEVERE,N81
True,0.00625,-65.92336945601878,0.1149116693595109,True,1.5880920009316224,0.06493436980015191,270.6562119441569,1258781526.5101566,-1.4287512540323144e+16,170.42854682561327,457842406649.7523,117051346840.71982,375354925853.6072,574893753490.4722,11.821780283184024,9.806650000000001,0.006086037550097559,0.3877555006034711,6.527317492691392e-05,True,False,True,711.4736862139198,0.7074981297412856,0.782832551462258,SEVERE,N73
True,0.00625,-66.80596530451876,0.1149107210981883,True,1.5892043475578972,0.06470693970040549,271.6075066517177,1258781526.5101569,-1.4247443430441016e+16,170.9078552856291,461066485434.76794,117556585240.49,377989653538.5054,578623070675.2579,11.821780283184017,9.806650000000001,0.0060860375500975585,0.387199838022871,0.00010582616902745005,True,False,True,722.2133687882822,0.7167445884281091,0.7805565996979078,SEVERE,N81
True,0.0078058953670141346,-105.38408603118035,0.1149481422357429,True,1.753103311898166,0.07239050835927607,242.7789354353682,1258781526.5101564,-1.7583101090780018e+16,138.4852414502031,460092052062.96405,115921185994.24123,351154197657.7306,576013238057.2053,11.821780283184026,9.806649999999998,0.006086037550097562,0.3134390258359244,6.513863838335353e-05,True,False,True,805.7691383655316,0.8841744347556768,0.7374089993911453,SEVERE,N73
True,0.0078058953670141346,-106.83932413582035,0.1149469945480532,True,1.7540410252197634,0.07212855424335782,243.6606520046617,1258781526.5101566,-1.7528845389153804e+16,138.91388428279978,463440014981.5568,116405160998.99266,353773076478.1746,579845175980.5494,11.821780283184022,9.80665,0.006086037550097559,0.31303818981572107,0.00010297734009327674,True,False,True,816.157303253128,0.8932578816427816,0.7352903966578728,SEVERE,N81
True,0.00980210316199338,-160.61703839408338,0.11497522866470924,True,1.9063119097468548,0.07949055394657856,221.0940757426516,1258781526.5101566,-2.0994997195839028e+16,115.98001072763134,479152193225.39105,114809041007.91492,338824750841.9975,593961234233.3059,11.821780283184024,9.80665,0.006086037550097561,0.251981091138748,6.523616251926847e-05,True,False,True,883.7492061593986,1.0604859109392655,0.6930292141923741,SEVERE,N73
True,0.00980210316199338,-162.9208472092922,0.11497399105382604,True,1.9071275016172533,0.07919942816334352,221.90678597884735,1258781526.5101564,-2.092705478092353e+16,116.35655497111196,482681257512.2643,115270357753.92183,341469953661.3161,597951615266.1862,11.821780283184015,9.80665,0.006086037550097563,0.25170121630300774,9.99199823638245e-05,True,False,True,893.8556387034826,1.0692209681649798,0.6910645567930723,SEVERE,N81
True,0.01,-166.30846066805867,0.1149772690934202,True,1.9191266430275575,0.08009250987722366,219.43238614985688,1258781526.5101564,-2.12961881232095e+16,114.3397112155594,481505720914.19904,114713523042.11623,338189588416.64764,596219243956.3153,11.821780283184028,9.80665,0.006086037550097562,0.24719644270028968,6.522145727319448e-05,True,False,True,889.8201425069869,1.075606775574642,0.6892339926261947,SEVERE,N73
True,0.01,-168.7025960466242,0.11497602692292774,True,1.9199335614141677,0.0797990800155114,220.23926280445784,1258781526.5101569,-2.1227088042854052e+16,114.71191880318814,485053328806.5105,115172814673.71776,340839145971.64484,600226143480.2283,11.821780283184015,9.80665,0.0060860375500975585,0.24692562690383607,9.965917081431444e-05,True,False,True,899.905095105714,1.0843036098835817,0.6872824876848502,SEVERE,N81
True,0.012308802754950717,-234.96078768097587,0.11499612485580116,True,2.0471399355086097,0.08617687505339741,203.93975233147313,1258781526.5101566,-2.4442442858621556e+16,99.6217937005877,511940616847.6104,113740006776.83856,335059266072.55536,625680623624.449,11.821780283184024,9.80665,0.006086037550097559,0.20251700500562667,6.508325466510048e-05,True,False,True,946.5110416982632,1.2283069968234435,0.650716554745707,SEVERE,N73
True,0.012308802754950717,-238.48384603251486,0.11499485681293477,True,2.0478719444361735,0.08586166943825783,204.68843280211408,1258781526.5101566,-2.4361748812268884e+16,99.95177352677173,515706272777.6717,114177984922.85526,337773317745.0779,629884257700.527,11.821780283184026,9.806649999999998,0.006086037550097561,0.2023276017384479,9.660806524553334e-05,True,False,True,956.3994429888136,1.2365465395068511,0.6488982405040293,SEVERE,N81
True,0.01545654261707153,-333.8582769137848,0.11501303337814887,True,2.1780483631797956,0.09253663561995253,189.92359552891202,1258781526.5101566,-2.792463858728625e+16,87.19897993983801,557532518099.9308,112711326217.01817,337945969608.0981,670243844316.949,11.821780283184028,9.806650000000001,0.006086037550097559,0.162719739624094,6.487604766249192e-05,True,False,True,997.0072626948502,1.3845677006111494,0.6103661449995392,SEVERE,N73
True,0.01545654261707153,-339.12547668818314,0.11501176969711947,True,2.1787235940185297,0.092201643066087,190.61363735669096,1258781526.5101564,-2.7832174156079056e+16,87.48867358851847,561591199192.8013,113125554723.81267,340771195529.6316,674716753916.6139,11.821780283184006,9.80665,0.006086037550097563,0.16259695736178373,9.294774369397445e-05,True,False,True,1006.7280581396238,1.3922095219344197,0.6086865663111545,SEVERE,N81
True,0.016,-351.4317431850971,0.11501533723819891,True,2.197163204470362,0.09347727119604804,188.01244762730295,1258781526.5101566,-2.8456054215574172e+16,85.57054261821408,565578887404.9493,112558577644.78955,338902996881.65674,678137465049.7389,11.821780283184022,9.80665,0.006086037550097559,0.15740228917536542,6.484021953035762e-05,True,False,True,1003.7542376546421,1.4071216714929384,0.6044081653436127,SEVERE,N73
True,0.016,-357.0223496489008,0.11501407639591482,True,2.197831608259283,0.09313960559516253,188.69406245373847,1258781526.5101564,-2.8361888532785276e+16,85.85464953031007,569687187284.7256,112969192830.30229,341748907002.86554,682656380115.0278,11.82178028318402,9.80665,0.006086037550097562,0.1572879074297702,9.248523979574054e-05,True,False,True,1013.4532732736045,1.4146667323024396,0.602749001327011,SEVERE,N81
True,0.01875,-442.23052062210064,0.11502519852741111,True,2.28262723012207,0.0977211833445011,179.84729567930611,1258781526.5101566,-3.0905092480558148e+16,78.78960406061934,606469683059.2455,111868419767.71217,344962223157.8649,718338102826.9576,11.821780283184019,9.80665,0.006086037550097561,0.13513035502044665,6.494760237517945e-05,True,False,True,1032.0136795616754,1.5064151791145033,0.5776036799189365,SEVERE,N73
True,0.01875,-449.55235339489957,0.11502395647540084,True,2.2832692610812324,0.09737228451771619,180.49171427104133,1258781526.5101566,-3.0803412074549876e+16,79.0496843046756,610823604759.3605,112262435972.01033,347916255742.1034,723086040731.3708,11.821780283184019,9.80665,0.006086037550097559,0.13504960969852525,9.037640378829574e-05,True,False,True,1041.6235369500312,1.5135040408949068,0.5760360650729521,SEVERE,N81
True,0.019409256483313025,-464.4196172260095,0.1150272077604491,True,2.3007809112801114,0.09863078292978947,178.1886955880792,1258781526.5101569,-3.1440835797564876e+16,77.4470505707292,616267402523.3632,111720384275.06458,346640906517.63153,727987786798.4277,11.821780283184022,9.80665,0.0060860375500975585,0.130710381599976,6.490980822534956e-05,True,False,True,1037.6219029533936,1.5271026508105388,0.5718795698347874,SEVERE,N73
True,0.019409256483313025,-472.17924801532627,0.11502597091302016,True,2.301418213700701,0.09827965772523399,178.82531300857087,1258781526.5101569,-3.1337584462064476e+16,77.70222376098178,620678764291.573,112110781556.35735,349621398887.8762,732789545847.9303,11.821780283184031,9.806650000000001,0.006086037550097557,0.1306359682742523,8.991815775666686e-05,True,False,True,1047.2144973822353,1.5340904849751882,0.5703314145004454,SEVERE,N81
True,0.0243728009923091,-635.8685754478107,0.11503941501008406,True,2.416626602379577,0.10450371512677882,168.17479200398918,1258781526.5101564,-3.49902961476812e+16,69.59072280276676,689330097215.4115,110764932921.66324,360907494624.36505,800095030137.0747,11.821780283184022,9.80665,0.006086037550097563,0.10497275294279229,6.501460420632116e-05,True,False,True,1070.2787443755765,1.6546929248258406,0.5351652508113472,SEVERE,N73
True,0.0243728009923091,-647.1909878385746,0.11503822051875272,True,2.4172400449311264,0.1041397161354379,168.76261245261435,1258781526.5101566,-3.487727183092745e+16,69.81624055356193,694157342403.8182,111131571485.50648,364089955367.67114,805288913889.3247,11.821780283184033,9.80665,0.006086037550097559,0.10493265464890303,8.69383317778627e-05,True,False,True,1079.7740543651719,1.6610136581255288,0.5337411924028711,SEVERE,N81
True,0.0306056766636795,-860.0680743371281,0.11505015154062632,True,2.5265704109460767,0.11018888523269511,159.49785241928714,1258781526.5101566,-3.85722996099084e+16,63.1282040382809,778595098600.9996,109842950143.29083,380911237621.6281,888438048744.2905,11.821780283184035,9.80665,0.006086037550097559,0.08428397216278898,6.471510191886523e-05,True,False,True,1096.529423571785,1.766990053532894,0.5001387228772067,SEVERE,N73
True,0.0306056766636795,-876.4856411283976,0.11504901055049824,True,2.5271706032371974,0.10981497081918491,160.0409345282073,1258781526.5101564,-3.845054040094967e+16,63.328108645772346,783906279133.258,110186000776.39964,384346555605.53595,894092279909.6577,11.821780283184028,9.80665,0.006086037550097563,0.08426754885466584,8.386692807217438e-05,True,False,True,1105.9514842278452,1.7726652072799036,0.4988315172714108,SEVERE,N81
True,0.03125,-883.7111476617403,0.11505107301137066,True,2.536362748820519,0.1107005978160646,158.76057493647738,1258781526.5101564,-3.890161833848924e+16,62.59379696784523,787653754817.5265,109760200652.44164,383042166727.733,897413955469.9681,11.821780283184012,9.80665,0.006086037550097562,0.08260728927252174,6.469212182735622e-05,True,False,True,1098.6568599410039,1.7765085732374877,0.49701567120431417,SEVERE,N73
True,0.03125,-900.6924492853472,0.11504993736153493,True,2.536962138405046,0.11032591003916634,159.2997560487014,1258781526.5101566,-3.877911027765598e+16,62.79153860327258,793012883661.743,110101111570.08914,386503383183.94354,903113995231.8322,11.821780283184026,9.80665,0.006086037550097559,0.08259260577555991,8.360020666630022e-05,True,False,True,1108.073210843418,1.7821266412815076,0.49571880963130466,SEVERE,N81
True,0.03843249055934426,-1152.142350496069,0.11505975336217104,True,2.631385450244543,0.11571225249213199,151.88443899910428,1258781526.5101566,-4.2186175315716504e+16,57.72033093250903,886594620812.7352,108952517992.22847,407127975909.84753,995547138804.9637,11.821780283184028,9.80665,0.006086037550097559,0.0676580887803485,6.445742347777525e-05,True,False,True,1117.6249504501914,1.8643615923698713,0.4667227765757661,SEVERE,N73
True,0.03843249055934426,-1175.848462233394,0.115058674026581,True,2.6319800014064536,0.11533102944587821,152.3864881769533,1258781526.5101566,-4.205669006547775e+16,57.89804181472594,892465528440.23,109272371844.59155,410873572816.9212,1001737900284.8215,11.82178028318403,9.80665,0.006086037550097561,0.06765751049854558,8.099792699354772e-05,True,False,True,1126.99217564327,1.869436667803534,0.46552552623317855,SEVERE,N81
True,0.04826086176186209,-1531.2346040491698,0.11506845643369176,True,2.7316914200325515,0.12109436932681594,145.1338377894196,1258781526.5101566,-4.583127345829875e+16,53.12966051915562,1016558629864.0077,108091882744.53221,440310333749.0802,1124650512608.5398,11.821780283184017,9.80665,0.006086037550097559,0.0543006317934372,6.456007988487563e-05,True,False,True,1134.573378778045,1.9477003107102064,0.4348479980657362,SEVERE,N73
True,0.04826086176186209,-1565.368970872148,0.11506744468670818,True,2.73228591075564,0.12070817562078388,145.59817895271107,1258781526.5101564,-4.569505086221479e+16,53.28804660579774,1023073790357.2911,108389055583.3475,444431559123.5713,1131462845940.6387,11.821780283184022,9.80665,0.006086037550097562,0.05431018372044025,7.820947396906725e-05,True,False,True,1143.8998418351107,1.9522355603484298,0.4337540710455874,SEVERE,N81
True,0.05,-1599.4646418639666,0.11506974044041884,True,2.746914377965998,0.12191952183919381,144.15157056037867,1258781526.5101566,-4.6400718940107496e+16,52.47763516645113,1038983764751.1915,107960660382.60976,446157165625.67505,1146944425133.8013,11.82178028318403,9.806650000000001,0.006086037550097559,0.052474453668135086,6.454555329642732e-05,True,False,True,1136.890500150841,1.9594723747998648,0.4300269577758704,SEVERE,N73
True,0.05,-1635.5828965990108,0.11506873961356512,True,2.7475093582360186,0.1215327535897872,144.61032138226028,1258781526.5101566,-4.626353930588393e+16,52.63324070171842,1045607252514.0302,108254357735.97682,450343233441.08344,1153861610250.007,11.821780283184031,9.806650000000001,0.006086037550097559,0.05248517101424085,7.773027049249048e-05,True,False,True,1146.2116684761504,1.9639296758375935,0.42894849875871904,SEVERE,N81
True,0.06060265010411293,-2021.4612927378555,0.11507643166023139,True,2.8279938213703297,0.12635175160472908,139.09494986718005,1258781526.5101569,-4.950693725122488e+16,49.185026083183004,1172504020398.1052,107259496472.62267,481487175257.68823,1279763516870.7278,11.821780283184031,9.806650000000001,0.006086037550097557,0.04357171934214366,6.432217970085569e-05,True,False,True,1148.1866139840236,2.018235197214058,0.40445322642528064,SEVERE,N73
True,0.06060265010411293,-2070.5226053509728,0.11507549166422253,True,2.828592649614206,0.12596272433225697,139.52453512145516,1258781526.5101562,-4.9364960046739896e+16,49.326485784542015,1179757601422.919,107534569906.30696,486058894213.7732,1287292171329.2258,11.82178028318402,9.80665,0.006086037550097565,0.04358726506390456,7.555757522818665e-05,True,False,True,1157.4830508372581,2.0222977738005627,0.4034561446367714,SEVERE,N81
True,0.07610061373880926,-2653.137715017357,0.11508380605762349,True,2.920712048822663,0.13149798640659752,133.65140437016152,1258781526.5101564,-5.3212563477342456e+16,45.759870242613026,1359362272468.7935,106453860895.44466,531984020818.6333,1465816133364.238,11.821780283184017,9.80665,0.006086037550097562,0.034956069995085465,6.420221396431249e-05,True,False,True,1159.1184639311819,2.077368545242039,0.37548550870841946,SEVERE,N73
True,0.07610061373880926,-2723.5825877335064,0.11508294053080048,True,2.9213182595180545,0.1311080377432843,134.04891765295602,1258781526.5101566,-5.3065776930348824e+16,45.88644774194195,1367460476192.597,106707517479.59712,537093055439.00574,1474167993672.194,11.821780283184022,9.80665,0.006086037550097561,0.03497470641266342,7.257678940794102e-05,True,False,True,1168.3929707900463,2.0810260698959464,0.37457904352900473,SEVERE,N81
