radius_m,radius_mpc,attractive_acceleration_m_s2,lambda_acceleration_m_s2,net_acceleration_m_s2
1.947022968575071093e+21,6.309871712630577001e-02,-3.500923469857916679e-11,6.363269967136283219e-15,-3.500287142861202741e-11
1.951513567946450141e+21,6.324424754070534505e-02,-3.484830159488383921e-11,6.377946165915412468e-15,-3.484192364871792490e-11
1.956014524402998706e+21,6.339011360537608053e-02,-3.468810828067801927e-11,6.392656213770833145e-15,-3.468171562446424633e-11
1.960525861832222310e+21,6.353631609445931083e-02,-3.452865135524129532e-11,6.407400188771808170e-15,-3.452224395505252135e-11
1.965047604176719708e+21,6.368285578388181711e-02,-3.436992743348593531e-11,6.422178169167657176e-15,-3.436350525531676532e-11
1.969579775434311074e+21,6.382973345135999066e-02,-3.421193314588504485e-11,6.436990233388170661e-15,-3.420549615565165681e-11
1.974122399658162782e+21,6.397694987640385744e-02,-3.405466513840108721e-11,6.451836460044025717e-15,-3.404821330194104460e-11
1.978675500956919792e+21,6.412450584032139411e-02,-3.389812007241455188e-11,6.466716927927213592e-15,-3.389165335548662276e-11
1.983239103494830686e+21,6.427240212622256643e-02,-3.374229462465313369e-11,6.481631716011448322e-15,-3.373581299293712271e-11
1.987813231491874292e+21,6.442063951902343710e-02,-3.358718548712128679e-11,6.496580903452584039e-15,-3.358068890621783481e-11
1.992397909223893107e+21,6.456921880545046788e-02,-3.343278936702981087e-11,6.511564569589047262e-15,-3.342627780246022049e-11
1.996993161022717821e+21,6.471814077404459964e-02,-3.327910298672607716e-11,6.526582793942244744e-15,-3.327257640393213180e-11
2.001599011276296552e+21,6.486740621516540184e-02,-3.312612308362449362e-11,6.541635656216990241e-15,-3.311958144796827655e-11
2.006215484428828017e+21,6.501701592099540239e-02,-3.297384641013705402e-11,6.556723236301929712e-15,-3.296728968690075449e-11
