A2,A_actual_outer,A_actual_uniform,A_teacher_ceiling,C_actual_outer,C_actual_outer_medium,C_actual_uniform,C_teacher_ceiling,C_teacher_ceiling_medium,Eextra,Eg,Eg0,Em,KU,Kg,Ko,R,Uavg,Upeak,V,actual_medium_high_relerr,ax,ay,ay_ratio,az,az_ratio,baseline_actual,baseline_teacher,beta,cancellation_actual,ceiling_medium_high_relerr,clearance,core_gap_factor,cycle_participation,d0,direction_class,exponent,exponent_index,g006d_actual,g006d_teacher,g19_actual,g66_actual,gain_outer_per_g,gain_uniform_per_g,gamma,gcap,gpos_actual,guide_multiplier,index,inventory,lag,loose,m,nphase,omega,omega_ratio,overlap_duty,peak_participation,srest,strict,u1,ua
0.18479182806442454,-0.1826346386347876,-0.18264035618276517,-0.03235502814801473,inf,inf,inf,inf,inf,0.0006733198052163473,0.002040675759146448,0.0013673559539301007,2.000683794830856,0.42271409749749433,0.09127086424633221,0.016182011093755395,1.9145015172572202,3.807188242668763e-05,0.0005220210093421123,0.321060532192423,inf,1.195776019279719,0.890879027736562,0.7450216540328237,0.3013827187908742,0.25203944044003607,0.18266559351838008,0.03238598303160721,0.026142767816781997,1.0003524746792904,inf,0.1868817452341318,1.0057806542608887,1.9005091278753194e-05,1.0925269870987462,PARALLEL_AT_THROAT,3.0,4,380882.04442902294,166950.83942426808,1019765.6674876197,inf,2.4633113682885667e-06,2.0083233567917402e-06,1.000341897415428,12.566370614359172,74154.48808864571,1.4924246706068516,47055,2.003246491599344,-0.024165849667042494,True,0.37479557492349425,16384,0.7087338528559501,1.8909877818077803,0.120849609375,0.0002605875070947176,0.029291716224896645,True,4.154111201730882e-05,3.0296641405104e-06
0.3550577712299848,-0.45734111183201004,-0.4573512754522379,-0.18058602907607144,inf,inf,inf,inf,inf,0.001214258836067239,0.03724215713670927,0.03602789830064203,2.018095073096045,0.560392928061109,0.2265012243679168,0.08944689674237455,0.9093845176017299,3.707880080840102e-05,0.0005114975953179018,0.10808034447992658,inf,0.586585330254008,0.6577565697204325,1.1213314343125582,0.2801240057191192,0.47755030900247303,0.45737603606018357,0.180620953304245,0.13361298084259032,1.0001817347902162,inf,0.04238244853913784,1.0505566091742367,1.803576318943145e-05,0.6064785721779701,PARALLEL_AT_THROAT,2.5,3,516682.4516849889,254065.16962116482,880408.0536487761,inf,2.779181773744755e-06,1.9703865742541395e-06,1.0090475365480225,12.566370614359172,164572.19185195686,1.0337032936513424,499713,2.055848727828072,0.025112706050276767,True,0.0608519166585845,16384,0.06335049378968155,1.0410599578171968,0.1202392578125,0.00024880118288580507,0.0001184938831884167,True,4.070368533723099e-05,2.950637216288394e-06
0.2264907779092813,-0.2574360463173694,-0.2574408219975602,-0.04751988830130118,inf,inf,inf,inf,inf,0.2471209056997296,0.6277123063790522,0.38059140067932257,2.1993284162424565,0.4881236878919013,0.10523910312802476,0.019434686035329763,1.7403275324622922,2.7828871476880103e-05,0.00040608846130061086,0.2515641574848412,inf,1.0246892876305007,0.6444917345398201,0.6289630840487732,0.38092477132014996,0.37174661228381073,0.25746213248935995,0.04754597447329177,0.4159914867579937,1.0002110649471116,inf,0.010846063494682312,1.0631568413227797,9.84240317724055e-06,1.0721470091642993,PARALLEL_AT_THROAT,2.5,3,534349.1758849091,237052.33751292631,1070449.8094736414,inf,2.075871609323674e-06,1.695835054824363e-06,1.0996642081212282,12.566370614359172,124026.03866876045,1.649307643994689,163369,2.827446811082809,-0.04619796834886075,True,1.1505837535961099,16384,2.485929240651726,2.160580864176154,0.11370849609375,0.00014362373138509857,0.449063888919727,True,3.2315492974287034e-05,2.214551228107261e-06
0.4598006923364881,-0.2589436189809198,-0.25894977136433106,-0.03043867234271743,inf,inf,inf,inf,inf,0.26339397562059635,0.5264697274885086,0.26307575186791227,2.135858761621978,0.5745740852987153,0.10794190673492099,0.012701858410199803,2.168439991423769,3.229935053300224e-05,0.000658034132266384,0.09317100125803914,inf,0.6541230984030462,0.5753592220509675,0.8795886025973243,0.24756098324386291,0.3784623778739046,0.25897991519694186,0.030474968558739494,0.3509571905434132,1.0002866781558282,inf,0.03706792630255223,1.0082798695657402,1.2128995115480682e-05,0.5261511934266825,PARALLEL_AT_THROAT,4.0,5,556027.7204748502,214326.26222857294,2868657.9331032378,inf,2.888361097721166e-06,2.3987699818734156e-06,1.067929380810989,12.566370614359172,89663.2749282178,2.0012096278369427,122719,2.662986523242753,-0.03505272436887025,True,0.144156834525941,16384,0.377182555326049,2.616473624482751,0.0814208984375,0.0002471038161564135,0.004476979866557833,True,5.236469243669054e-05,2.5703006479925753e-06
0.45353737264101335,-0.34873123137796347,-0.34873881800925544,-0.09170591087191214,inf,inf,inf,inf,inf,0.03852763697495278,0.060404423547823764,0.021876786572870982,2.0109683051746776,0.556844618782928,0.17016974894555414,0.04476070801011896,1.294547525459992,3.0247545294270038e-05,0.0005185025932629859,0.0934655800937525,inf,0.5716997828367497,0.5697920835008232,0.9966631099167808,0.28692425820376977,0.5018792499448993,0.3487622099405346,0.09173688943448327,0.10430116325616837,1.0001931938560473,inf,0.03561008367687464,1.0785498314071447,1.4599002513786012e-05,0.5601280200645934,PARALLEL_AT_THROAT,3.0,4,609538.8585267107,250674.9017321271,1531066.8371977077,inf,2.4651956815388515e-06,1.8614707457692435e-06,1.0054841525873388,12.566370614359172,141474.45273911336,2.761119570583105,206105,2.0718912313157642,0.008105128817260276,True,0.22494151495479006,16384,0.48897551071330353,2.173789532855153,0.096923828125,0.00025025570137371953,0.01035597636086866,True,4.126112536188534e-05,2.4070231749895373e-06
0.4186711719197401,-0.4208124955404158,-0.42082343842739084,-0.146989159287522,inf,inf,inf,inf,inf,0.1068912651976284,0.3213682200331471,0.21447695483551868,2.1101114367037144,0.5010950842700173,0.18982882423793812,0.06631822318271263,1.094607136316337,4.4299383541081216e-05,0.0006794312463092054,0.088942675796402,inf,0.5557552129981813,0.5065044680418699,0.9113805074528872,0.31596819191870035,0.5685384221843266,0.42085101623426396,0.14702767998137017,0.3188141743838787,1.0002110032716602,inf,0.08187897987663746,1.0172137105837464,1.8214015588024624e-05,0.5135406261692578,PARALLEL_AT_THROAT,3.0,4,677271.0780324484,323297.4866329535,2420356.2887175553,inf,3.0653794186343256e-06,2.1945721417451867e-06,1.0550557183518572,12.566370614359172,137291.655863521,1.498381121084094,460753,2.4321590879831705,-0.02469808580353855,True,1.5234159224088357,16384,3.807966086409416,2.4996233992278576,0.10809326171875,0.00027935312688472737,0.5676348620032129,True,5.406742067059856e-05,3.525232933243413e-06
0.29304176161750384,-0.3935036971245211,-0.3935081982614003,-0.08110467234306225,inf,inf,inf,inf,inf,0.5502472365327831,0.8293524386402881,0.279105202107505,2.1444154214135067,0.5771647524172772,0.146038664907789,0.03010614776683055,1.493358297384112,1.9412745406567386e-05,0.0002970173121246177,0.11644405101532221,inf,0.7654588416036868,0.6593249225518344,0.8613460145949914,0.23072569858060152,0.30142142991936177,0.3935249369433502,0.08112591216189136,0.36076924264431,1.0001138932363605,inf,0.05647705886512995,1.0113430423662066,6.527344293767033e-06,0.7032332405869255,PARALLEL_AT_THROAT,3.0,4,754833.46369293,300984.9619233237,1223550.8129754853,inf,1.6902110785139674e-06,1.3320219865850239e-06,1.0722077107067534,12.566370614359172,232825.91266017326,2.9714689385145903,369801,2.9740648773659197,0.12612938033416865,True,0.06387815968917933,16384,0.1363426578851385,2.134417437016964,0.1082763671875,9.986914353653275e-05,0.0006452747994307731,True,2.3635886704250626e-05,1.5448171952198426e-06
0.7106154070717019,-0.6745039492785357,-0.6745144660333484,-0.27899031240420363,inf,inf,inf,inf,inf,0.4052346603853824,0.8273412667051971,0.4221066063198147,2.222158346854718,0.5954564481019533,0.25673286345689744,0.10619823244263872,0.8640184373901533,3.493134683296523e-05,0.0005138512324807768,0.027273924536859177,inf,0.482592102573272,0.25652422342112324,0.5315549551127915,0.22031245117240691,0.45651897326470825,0.6745381301753799,0.2790244933010478,0.4358364748954773,1.0001233504754707,inf,0.06462332028895616,1.025579960551113,1.1452850040235114e-05,0.4496025781020953,PARALLEL_AT_THROAT,3.0,4,814599.7035105545,413772.1699920109,1456400.3094799425,inf,2.720029346030036e-06,1.883132589169635e-06,1.111079173427359,12.566370614359172,247989.28407147093,1.9600291829556227,115649,3.050013464792396,0.043509212508797634,True,0.18300717916789214,16384,0.4048792215619435,2.212367970496416,0.11273193359375,0.00016847507016358462,0.0032595550220479294,True,4.089098183158915e-05,2.77974825866192e-06
0.29251542787718926,-0.24263995708671177,-0.2426424608326168,-0.02669875166243894,inf,inf,inf,inf,inf,0.18165419718260833,0.682795606627414,0.5011414094448057,2.266206008557172,0.5784306951521396,0.09912987013223815,0.010913555770032907,2.2251088000732517,1.4190945989679297e-05,0.00024961008369561624,0.061198384163680904,inf,0.8483815909299517,0.4347736353451614,0.5124741507752251,0.1659149493209806,0.19556641857246487,0.24265606429685815,0.026714858872585318,0.4702517838776112,1.0001353194890443,inf,0.10109615400433541,1.007083828561008,4.8117114839507795e-06,0.7761325801471625,PARALLEL_AT_THROAT,3.0,4,835959.5516652616,344965.3292628877,1664066.7861733185,inf,1.2817710571079589e-06,1.0825292885909376e-06,1.133103004278586,12.566370614359172,189313.10935071312,1.362480916082859,346591,2.9492512252682817,0.00509233195334674,True,0.761608854540439,16384,1.1983824790238655,1.573488112539053,0.09417724609375,8.463506993132136e-05,0.023444077867880116,True,1.9863339332869518e-05,1.1292796007037845e-06
0.6446103594529037,-0.283085124061342,-0.2830887797942288,-0.049395804799759364,inf,inf,inf,inf,inf,0.043273347111360966,0.07616338675166824,0.032890039640307275,2.016512628346647,0.5722383303289114,0.13744281848499879,0.023989614100683967,1.7045390072084783,1.6111192745397654e-05,0.0002903005583500096,0.09993364213981143,inf,0.8085903648404773,0.48766036295791315,0.6030993988583097,0.2534344773932056,0.31342752574500987,0.2831027899428211,0.049413470681238504,0.127712005674839,1.0001302709503626,inf,0.04086967818439007,1.0171840994153172,7.697779283343504e-06,0.47389986861217265,PARALLEL_AT_THROAT,8.0,7,871590.0779652218,323775.69415506365,2037291.078450666,inf,1.4058061807403143e-06,1.1148922009584277e-06,1.0082563141733234,12.566370614359172,201381.09635692157,2.3156976271420717,215785,2.092966315656665,0.08359802067279815,True,0.3697987239365547,16384,0.8419139250553269,2.2766815312206745,0.09222412109375,0.00013870292903348912,0.01282936017508971,True,2.310138442187061e-05,1.2820879822681603e-06
