family,width_fraction_of_annulus_span,width,integrated_curvature_numeric,integrated_curvature_boundary,integrated_curvature_expected,relative_error_expected,relative_error_boundary,peak_abs_K,rms_K,f_start,f_end
QUINTIC,0.02,0.06503985690535635,-18718.321573000198,-18718.321573000692,-18718.321573000692,2.6432130457579177e-14,2.6432130457579177e-14,162186112.6151476,34145662.32354556,1.0,2980.1134047267224
QUINTIC,0.05,0.16259964226339088,-18718.321573000518,-18718.321573000692,-18718.321573000692,9.328987220322063e-15,9.328987220322063e-15,26160976.92332014,5474125.206997582,1.0,2980.1134047267224
QUINTIC,0.1,0.32519928452678176,-18718.321573000558,-18718.321573000692,-18718.321573000692,7.191094315664923e-15,7.191094315664923e-15,6621531.280446258,1372935.4702322204,1.0,2980.1134047267224
QUINTIC,0.25,0.8129982113169544,-18718.32157300067,-18718.321573000692,-18718.321573000692,1.1661234025402578e-15,1.1661234025402578e-15,1091950.576942704,221571.90345910663,1.0,2980.1134047267224
QUINTIC,0.5,1.6259964226339088,-18718.3215730007,-18718.321573000692,-18718.321573000692,3.887078008467526e-16,3.887078008467526e-16,282793.84317783,56000.63228773886,1.0,2980.1134047267224
QUINTIC,1.0,3.2519928452678175,-18718.3215730007,-18718.321573000692,-18718.321573000692,3.887078008467526e-16,3.887078008467526e-16,73720.06007155094,14189.030387204019,1.0,2980.1134047267224
