necessary_maximum_z_radial,required_radial_collapse_factor_from_unit_margin,transfer_gain
0.16666666666666666,6.0,1.0
0.0016666666666666668,600.0,10.0
1.6666666666666667e-05,60000.0,100.0
1.6666666666666668e-07,6000000.0,1000.0
1.6666666666666667e-09,600000000.0,10000.0
