source,C_source,scenario,accel_m_s2,h_m,area_model,R_over_h,ell_over_R,Gamma,ln_Gamma,B_actual,B_max_beneficial,localization_burden_ratio,localization_burden_orders,E_wall_J,E_total_J
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1000.0,6.907755278982137,21479888138808.02,0.06449845337071328,333029507162746.4,14.522482714678183,1.3535124658088982e+43,1.3535124658088982e+43
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1000000.0,13.815510557964274,21479888138808.02,0.016140737956020997,1330787241409576.0,15.124108628526827,5.414049863235593e+43,5.414049863235593e+43
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1000000000.0,20.72326583694641,21479888138808.02,0.007173668480281929,2994268301894521.0,15.476290712777786,1.2181612192280084e+44,1.2181612192280084e+44
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1000000000000.0,27.631021115928547,21479888138808.02,0.004035188524189739,5323143642494660.0,15.726168185560525,2.165619945294237e+44,2.165619945294237e+44
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,0.25,10.0,1e+17,39.14394658089878,21479888138808.02,0.00201061296707233,1.0683253560273742e+16,16.02870353622139,4.346278917986352e+44,4.346278917986352e+44
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,10.0,2.302585092994046,2.1479888138808016e+16,0.522960432735513,4.107363921673872e+16,16.613563184025516,1.5039027397876653e+40,1.5039027397876653e+40
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000.0,6.907755278982137,2.1479888138808016e+16,0.06449845337071328,3.330295071627463e+17,17.522482714678183,1.3535124658088984e+41,1.3535124658088984e+41
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000.0,13.815510557964274,2.1479888138808016e+16,0.016140737956020997,1.3307872414095757e+18,18.124108628526827,5.414049863235594e+41,5.414049863235594e+41
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000000.0,20.72326583694641,2.1479888138808016e+16,0.007173668480281929,2.9942683018945203e+18,18.476290712777786,1.2181612192280087e+42,1.2181612192280087e+42
027B_CORRECTED_GENUINE_SOURCE,3.08075881130598,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,1000000000000.0,27.631021115928547,2.1479888138808016e+16,0.004035188524189739,5.32314364249466e+18,18.726168185560525,2.1656199452942375e+42,2.1656199452942375e+42
