cutoff_over_metric_scale,minimum_metric_scale_ev_from_offstate_scout,induced_b_ev_m4,empirical_b_cap_ev_m4,optimized_k_ev_m4,q2_ev4,required_s2_ev4,q_payload_energy_j,psi_gradient_energy_j,optimistic_partial_floor_j,strict_lt10mj_partial_pass,complete_operating_ledger
0.1,1873.651318378831,2.5691838555000302e-20,2.569183855500031e-20,2.076157186598122e-21,315333.7205813263,21022.2419432066,13771.46085515659,13771.456862024781,27542.91771718137,True,False
0.25,4684.128295947077,2.5691838555000302e-20,2.569183855500031e-20,5.314961630671488e-23,12317721.682596862,821181.444413903,537947.6120215534,537947.6113058322,1075895.2233273857,True,False
0.43651333335896225,8178.737825379578,2.5691838555000302e-20,2.569183855500031e-20,5.718341784909322e-24,114488114.7987646,7632541.0985354325,4999999.963293584,5000000.036631628,9999999.999925211,True,False
0.5,9368.256591894155,2.5691838555000302e-20,2.569183855500031e-20,3.321851008220179e-24,197083546.27192208,13138903.153930964,8607161.763973888,8607161.809264282,17214323.57323817,False,False
0.75,14052.384887841232,2.5691838555000302e-20,2.569183855500031e-20,6.561681091642405e-25,997735466.3445245,66515696.327247575,43573757.01283851,43573756.07667974,87147513.08951825,False,False
1.0,18736.51318378831,2.5691838555000302e-20,2.569183855500031e-20,2.076156903224416e-25,3153336775.415766,210222448.12522793,137714589.7549644,137714587.41684633,275429177.17181075,False,False
