name,depth,coefficient,ratio_to_thin
DEPTH_0P5_EXISTING,0.5,39.446944669376,1.683844823880296
DEPTH_1P0_EXISTING,1.0,34.637229670751,1.478535800009012
DEPTH_2P0_EXISTING,2.0,30.331762534312,1.2947512607286418
DEPTH_TEST_4P0,4.0,28.253514148212556,1.2060384892579563
DEPTH_TEST_8P0,8.0,27.523479508905325,1.1748759985009696
