mu_r,x_match,success,energy_J,backreaction,a_cm_mps2,surface_min_mps2,conservative_leak,on_leak,off_leak,noether_leak
0.8,80.0,True,96141319171.05128,0.009999999999998767,12.434604851616779,9.80665,0.00010000000025766913,0.00010000000025766913,6.797049524729035e-05,1.7491805141292185e-05
3.0,300.0,True,96141278637.82346,0.010000000002122509,12.434604848678259,9.80665,0.00010000464356779854,0.00010000464356779854,6.797379369523996e-05,1.749268048832105e-05
5.0,500.0,True,96140920553.11497,0.01000000000153362,12.434604845383125,9.806650000000001,9.999634751607612e-05,9.999634751607612e-05,6.79676776465902e-05,1.7491065926728302e-05
