lane,energy_required_coupling,allowed_or_max_coupling,gap,overlap,scoped_closed
PERTURBATIVE_HEAVY_RADIAL_HIGGS,0.0004997141348633284,1.9359154785668237e-12,258128074.49283448,False,True
DIMENSION5_PAULI_DERIVATIVE_CURRENT,0.0004997141348633284,3.861592678419398e-13,1294062259.999592,False,True
EM_LIKE_EXACT_CURRENT_RB,0.001650190327657605,2.297779457656345e-05,71.81674125247606,False,True
EM_LIKE_EXACT_CURRENT_CS,0.001650190327657605,8.686009815880614e-06,189.9825538581093,False,True
