electric_coefficient,magnetic_coefficient,kernel_coefficient,ratio_to_scalar_reference,z_electric,z_magnetic,speed_squared,positive_kinetic,causal_relative_to_reference_metric,healthy_declared_medium
-2.0,1.0,0.2882480889967205,4.766666666666667,1.4,1.2,0.8571428571428572,True,True,True
-1.5,1.0,0.19300527637367823,3.191666666666667,1.3,1.2,0.923076923076923,True,True,True
-1.0,1.0,0.1209432541244981,2.0,1.2,1.2,1.0,True,True,True
-0.5,1.0,0.07206202224918012,1.1916666666666667,1.1,1.2,1.0909090909090908,True,False,False
0.0,1.0,0.04636158074772427,0.7666666666666666,1.0,1.2,1.2,True,False,False
0.30434782608695654,1.0,0.042067218825912384,0.6956521739130435,0.9391304347826087,1.2,1.2777777777777777,True,False,False
0.5,1.0,0.04384192962013056,0.725,0.9,1.2,1.3333333333333333,True,False,False
1.0,1.0,0.06450306886639899,1.0666666666666667,0.8,1.2,1.4999999999999998,True,False,False
