x0,q,kappa,r0_over_h,old_C,old_eta,old_tau,required_P_over_old_E_line,same_energy_DEC_pass,outer_energy_multiplier_to_DEC_support,minimum_DEC_support_active_over_new_E,minimum_support_active_over_old_outer_E,wall_outward,minimum_support_inward,corrected_initial_outward,corrected_initial_outward_yes,corrected_energy,corrected_C,corrected_beats_006D,corrected_ge10x_vs_006D,old_stage_impulse,minimum_support_stage_impulse,corrected_stage_impulse,corrected_eta,corrected_positive_stage_impulse
0.3,0.003,1.01,0.000909,1.0734375351362206,0.004178817985238315,0.3044862733252356,333.3333333333333,False,333.33333333333337,2.0,666.6666666666666,0.2649826692109329,0.9938311996181188,-0.7288485304071859,False,0.8482325609048246,inf,False,False,0.0011886327799102703,0.3026079582860693,-0.301419325506159,-0.35534986441056887,False
0.3,0.003,1.05,0.000945,1.073438361505922,0.0028277256877553584,0.30303594694264757,333.3333333333333,False,333.33333333333337,2.0,666.6666666666666,0.2649824595287439,0.9938311996181188,-0.728848740089375,False,0.8482325547975684,inf,False,False,0.0008043249035413411,0.301166578677424,-0.3003622537738827,-0.35410366187320463,False
0.3,0.003,1.1,0.00099,1.0734393976433607,0.0022411933475197992,0.3024062994140021,333.3333333333333,False,333.33333333333337,2.0,666.6666666666666,0.2649821859749476,0.9938311996181188,-0.7288490136431712,False,0.848232535712393,inf,False,False,0.0006374902310769676,0.30054081531869375,-0.2999033250876168,-0.353562628714473,False
0.3,0.003,1.2,0.00108,1.0734414805031232,0.0016426928393431207,0.30176367995130593,333.3333333333333,False,333.33333333333337,2.0,666.6666666666666,0.2649816006971791,0.9938311996181188,-0.7288495989209398,False,0.8482324593716917,inf,False,False,0.00046725123374333905,0.29990216004718445,-0.2994349088134411,-0.3530104342331352,False
0.3,0.003,1.4,0.0012599999999999998,1.0734456885661314,0.0010086233880091664,0.3010823814627266,333.3333333333333,False,333.33333333333337,2.0,666.6666666666666,0.2649802774610872,0.9938311996181188,-0.7288509221570316,False,0.8482321540088856,inf,False,False,0.0002868947895792798,0.29922506435298163,-0.29893816956340236,-0.35242494422142695,False
0.3,0.0033660553629058904,1.01,0.0010199147749604847,1.0742239271903327,0.0046847135651791084,0.30503303462981923,297.0836460445818,False,297.0836460445819,2.0,594.1672920891637,0.26498199708336995,0.9938311996181188,-0.7288492025347488,False,0.848233219723855,inf,False,False,0.0013335037235503513,0.30315134672930844,-0.3018178430057581,-0.3558194090818747,False
0.3,0.0033660553629058904,1.05,0.0010603074393153555,1.074224968314051,0.003169792057396936,0.30340565312018203,297.0836460445818,False,297.0836460445819,2.0,594.1672920891637,0.2649817331092208,0.9938311996181188,-0.728849466508898,False,0.8482332120352751,inf,False,False,0.0009022812896535004,0.30153400421134935,-0.3006317229216958,-0.35442107035676124,False
0.3,0.0033660553629058904,1.1,0.001110798269758944,1.0742262737595354,0.002512173863683232,0.3026991714139824,297.0836460445818,False,297.0836460445819,2.0,594.1672920891637,0.26498138872552035,0.9938311996181188,-0.7288498108925985,False,0.8482331880084628,inf,False,False,0.0007150902144957075,0.3008318806497687,-0.30011679043527295,-0.35381401562453213,False
0.3,0.0033660553629058904,1.2,0.0012117799306461203,1.074228898120801,0.0018411563612479945,0.3019781386002457,297.0836460445818,False,297.0836460445819,2.0,594.1672920891637,0.26498065190477094,0.9938311996181188,-0.7288505477133479,False,0.8482330919012138,inf,False,False,0.0005240849257261634,0.30011529574352874,-0.2995912108178026,-0.3531944387436058,False
0.3,0.0033660553629058904,1.4,0.0014137432524204737,1.0742342007307624,0.0011303238266783973,0.3012137084710943,297.0836460445818,False,297.0836460445819,2.0,594.1672920891637,0.2649789860501191,0.9938311996181188,-0.7288522135679998,False,0.8482327074722176,inf,False,False,0.0003217460999963215,0.29935558123124995,-0.29903383513125364,-0.3525374964877171,False
