E_over_Qm,V_classical_eV,V_cutoff_eV,V_payload_reaction_eV,V_required_eV,V_self_eV,V_source_reaction_eV,activation_charge,activation_energy_GJ,activation_energy_J,activation_energy_fraction,candidate_pass,cutoff_GeV,cutoff_eV,f_leak_10m,m_A_eV,metric_gradient_relerr_max,metric_operator_scale_eV,mu_mA_over_mX,omega_activation,payload_f_min,payload_f_volume_mean,payload_reaction_ratio,self_coupling_est,source_f_min,source_reaction_ratio
0.2540468430432572,7.090031211028554e-07,14.58108242865562,8.526902998341486e-67,14.58108242865562,1.591628347919973e-06,1.5308505976565545e-89,4.2294435825542745e+20,8.66461156365181e-15,8.66461156365181e-06,7.128223671756449e-17,True,0.001,1000000.0,7.478578201158825e-09,5.033170767918036e-07,0.0,1000000.0,0.08417228855608394,0.2,1.0,1.0,3.4198189524326548e-136,1.1915267616572027e-15,1.0,1.1022651736713686e-181
0.2540468430432572,7.30785403214806e-07,14.58108242865562,1.136238153849327e-65,14.58108242865562,1.6405270010568486e-06,1.6252400832730423e-89,3.981069889896058e+20,8.406348313401235e-15,8.406348313401236e-06,6.915755034188926e-17,True,0.001,1000000.0,1.5157802790710662e-09,5.1878018863451e-07,0.0,1000000.0,0.08675826382299838,0.2,1.0,1.0,6.072383711167825e-134,1.2658645426755643e-15,1.0,1.2423830550613873e-181
0.2540468430432572,7.532368894527787e-07,14.58108242865562,1.7258829814634122e-64,14.58108242865562,1.690927938493778e-06,1.7408032713443993e-89,3.747281919922294e+20,8.155783031598524e-15,8.155783031598524e-06,6.709619379988445e-17,True,0.001,1000000.0,2.930654607880001e-10,5.347183644853445e-07,0.0,1000000.0,0.08942368647331904,0.2,1.0,1.0,1.4010162171627312e-131,1.3448401596742513e-15,1.0,1.425344545534206e-181
0.2540468430432572,7.763781393779791e-07,14.58108242865562,3.0012497064253956e-63,14.58108242865562,1.7428773140197377e-06,1.8831193879825754e-89,3.5272231273847744e+20,7.912686267409438e-15,7.912686267409438e-06,6.509627943985778e-17,True,0.001,1000000.0,5.397282620833721e-11,5.511461994538886e-07,0.0,1000000.0,0.09217099732185598,0.2,1.0,1.0,4.236670911723645e-129,1.4287429611149147e-15,1.0,1.6679236983796285e-181
0.2540468430432572,8.002303441908107e-07,14.58108242865562,6.000113476322372e-62,14.58108242865562,1.7964226993791749e-06,2.059866720881576e-89,3.320087267577674e+20,7.676835409165894e-15,7.676835409165894e-06,6.315597587473507e-17,True,0.001,1000000.0,9.45410416619552e-12,5.680787370466141e-07,0.0,1000000.0,0.0950027121711242,0.2,1.0,1.0,1.693321403273555e-126,1.517880347527592e-15,1.0,1.995715876383785e-181
0.2540468430432572,8.248153461363507e-07,14.58108242865562,1.3845588382829955e-60,14.58108242865562,1.8516131278350073e-06,2.2819345013323704e-89,3.12511544244275e+20,7.448014480513176e-15,7.4480144805131754e-06,6.127350630499921e-17,True,0.001,1000000.0,1.5726309143815342e-12,5.855314829427141e-07,0.0,1000000.0,0.09792142411514633,0.2,1.0,1.0,9.016610353943131e-124,1.6125788977554078e-15,1.0,2.449214484266268e-181
0.2540468430432572,8.501556585060075e-07,14.58108242865562,3.7014428475440905e-59,14.58108242865562,1.9084991390699873e-06,2.565325775742667e-89,2.941593320141747e+20,7.226013942633324e-15,7.226013942633325e-06,5.944714689161673e-17,True,0.001,1000000.0,2.4802382370125997e-13,6.035204191931607e-07,0.0,1000000.0,0.10092980591403355,0.2,1.0,1.0,6.444104371671776e-121,1.7131855654641933e-15,1.0,3.095319755377559e-181
0.2540468430432572,8.762744862536817e-07,14.58108242865562,1.1502919825193331e-57,14.58108242865562,1.9671328254675488e-06,2.9350400214736993e-89,2.7688485179091314e+20,7.010630502363568e-15,7.010630502363568e-06,5.767522517746183e-17,True,0.001,1000000.0,3.708144902248023e-14,6.220620188559933e-07,0.0,1000000.0,0.10403061244151983,0.2,1.0,1.0,6.223528108871281e-118,1.8200689503007763e-15,1.0,4.0518048964489607e-181
0.2540468430432572,9.031957472453002e-07,14.58108242865562,4.1679018551423025e-56,14.58108242865562,2.0275678798145043e-06,3.4345169451274846e-89,2.6062481385965912e+20,6.801666926034114e-15,6.801666926034114e-06,5.595611855579269e-17,True,0.001,1000000.0,5.218048215738236e-15,6.411732610812372e-07,0.0,1000000.0,0.10722668320768988,0.2,1.0,1.0,8.170627987128735e-115,1.933620648357141e-15,1.0,5.548196022641818e-181
0.2540468430432572,9.309440941611905e-07,14.58108242865562,1.7651620109524988e-54,14.58108242865562,2.0898596444692916e-06,4.6795154666511225e-89,2.4531964518837256e+20,6.598931858854825e-15,6.598931858854825e-06,5.4288252784377217e-17,True,0.001,1000000.0,6.661338147750939e-16,6.608716466592673e-07,0.0,1000000.0,0.11052094495921158,0.2,1.0,1.0,1.4655127939205538e-111,2.0542566868882744e-15,1.0,1.0299644711865625e-180
0.2540468430432572,9.595449370713468e-07,14.58108242865562,8.754813809063772e-53,14.58108242865562,2.1540651620407816e-06,6.917640999082582e-89,2.3091327116594348e+20,6.4022396496853665e-15,6.402239649685366e-06,5.267010054390808e-17,True,0.001,1000000.0,1.1102230246251565e-16,6.811752140468544e-07,0.0,1000000.0,0.11391641435945368,0.2,1.0,1.0,3.6050749512902674e-108,2.1824190485401555e-15,1.0,2.2507979434906757e-180
