branch,x0,ratio,kappa,C_initial,gain_vs_006D,eta_J,tau,support_margin,chi_max_gain10,label
FREE_OUTER_EDGE_COLLAPSE,0.05,0.1,,11.020620708487717,2.140676729857833,-0.07505302954240677,0.07512174002583402,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,0.1318256738556407,,8.601870730190717,2.742611117887136,-0.07414350461620774,0.07421093476677351,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,0.17378008287493754,,6.767061237052289,3.4862380393539074,-0.0730472798300957,0.07311316551167149,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,0.2290867652767773,,5.375215901106814,4.388956040703638,-0.07175463580978327,0.07181869785334455,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,0.3019951720402016,,4.3193932413496166,5.461782472919203,-0.0702686586698354,0.07033062005600238,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,0.3981071705534972,,3.5184698484501378,6.705069906920173,-0.06860889596663536,0.06866850395834455,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,0.5248074602497725,,2.910907323280305,8.104547372763353,-0.06681274052560363,0.06686979076726482,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,0.6918309709189364,,2.450024016258366,9.629124507635503,-0.0649333792832513,0.06498773741909686,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,0.9120108393559097,,2.1004082748462327,11.231905045211317,-0.063034118176985,0.06308573434644785,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,1.2022644346174132,,1.8351976135337862,12.85506592056969,-0.06118022273114194,0.0612291357529286,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,1.5848931924611134,,1.6340147532035048,14.437804954329465,-0.05943040677186747,0.05947673744811602,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,2.0892961308540388,,1.481401946876725,15.925175708718152,-0.05783018619922819,0.05787412184366497,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,2.7542287033381663,,1.3656332943349576,17.27519854496352,-0.05640847636989651,0.05645025033978643,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,3.630780547701014,,1.2778137906254277,18.462460236637504,-0.05517757772182473,0.05521744800562324,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,4.786300923226383,,1.211195884461186,19.477928055992344,-0.05413570462821845,0.05417393469664594,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,6.30957344480193,,1.160661034749594,20.325991476347568,-0.05327080532847116,0.053307649116252506,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,8.317637711026709,,1.12232643100091,21.02025368698625,-0.05256454490401629,0.0526002365092538,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,10.964781961431852,,1.093246660249529,21.579381083006755,-0.051995719419141766,0.05203046718919211,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,14.45439770745928,,1.0711873982705415,22.023771318947738,-0.05154278720543731,0.0515767713824926,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,19.054607179632463,,1.0544537368115878,22.373277722533594,-0.051185506626115485,0.05121887957188562,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,25.118864315095795,,1.0417599564806954,22.645894721224263,-0.05090583127507765,0.050938719357773526,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,33.11311214825911,,1.032130739379334,22.857168572884156,-0.050688265052529914,0.050720771449131695,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,43.65158322401656,,1.0248262312211536,23.02008436214395,-0.05051986678851766,0.05055207465331368,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
FREE_OUTER_EDGE_COLLAPSE,0.05,57.543993733715666,,1.0192851951357402,23.145226097497925,-0.0503900542254,0.05042202985773621,,,PHYSICALLY_MOTIVATED_DENSE_SCAN
