accel_g,length_m,energy_budget_J,coefficient_one_energy_J,C_required,B7_improvement_factor_required,006D_improvement_factor_required,B7_orders_required,006D_orders_required,effective_G_over_G_if_C1,target_metric_weakness_ah_over_c2,energy_for_compactness_1e_minus_3_J,energy_for_compactness_0p1_J
0.1,0.001,1000000.0,1.3205545860329043e+21,7.572576026592837e-16,5.575672920622774e+17,3.11539774792643e+16,17.746297289312512,16.493513501621894,1320554586032904.5,1.0911369672198217e-20,1.2102555643382065e+38,1.2102555643382064e+40
0.1,0.001,1000000000.0,1.3205545860329043e+21,7.572576026592838e-13,557567292062277.3,31153977479264.297,14.746297289312512,13.493513501621893,1320554586032.9043,1.0911369672198217e-20,1.2102555643382065e+38,1.2102555643382064e+40
0.1,0.001,1000000000000.0,1.3205545860329043e+21,7.572576026592837e-10,557567292062.2773,31153977479.2643,11.746297289312512,10.493513501621893,1320554586.0329044,1.0911369672198217e-20,1.2102555643382065e+38,1.2102555643382064e+40
0.1,0.001,1000000000000000.0,1.3205545860329043e+21,7.572576026592837e-07,557567292.0622773,31153977.4792643,8.746297289312512,7.4935135016218934,1320554.5860329045,1.0911369672198217e-20,1.2102555643382065e+38,1.2102555643382064e+40
0.1,0.01,1000000.0,1.3205545860329045e+23,7.572576026592836e-18,5.575672920622775e+19,3.1153977479264307e+18,19.746297289312512,18.493513501621894,1.3205545860329046e+17,1.0911369672198218e-19,1.2102555643382064e+39,1.2102555643382067e+41
0.1,0.01,1000000000.0,1.3205545860329045e+23,7.572576026592837e-15,5.5756729206227736e+16,3115397747926430.0,16.746297289312512,15.493513501621893,132055458603290.44,1.0911369672198218e-19,1.2102555643382064e+39,1.2102555643382067e+41
0.1,0.01,1000000000000.0,1.3205545860329045e+23,7.572576026592836e-12,55756729206227.74,3115397747926.4307,13.746297289312512,12.493513501621893,132055458603.29047,1.0911369672198218e-19,1.2102555643382064e+39,1.2102555643382067e+41
0.1,0.01,1000000000000000.0,1.3205545860329045e+23,7.572576026592837e-09,55756729206.22773,3115397747.9264297,10.746297289312512,9.493513501621893,132055458.60329044,1.0911369672198218e-19,1.2102555643382064e+39,1.2102555643382067e+41
0.1,0.1,1000000.0,1.3205545860329047e+25,7.572576026592835e-20,5.575672920622775e+21,3.1153977479264305e+20,21.746297289312512,20.493513501621894,1.3205545860329048e+19,1.0911369672198218e-18,1.2102555643382064e+40,1.2102555643382066e+42
0.1,0.1,1000000000.0,1.3205545860329047e+25,7.572576026592836e-17,5.575672920622774e+18,3.11539774792643e+17,18.746297289312512,17.493513501621894,1.3205545860329046e+16,1.0911369672198218e-18,1.2102555643382064e+40,1.2102555643382066e+42
0.1,0.1,1000000000000.0,1.3205545860329047e+25,7.572576026592836e-14,5575672920622774.0,311539774792643.06,15.746297289312512,14.493513501621893,13205545860329.047,1.0911369672198218e-18,1.2102555643382064e+40,1.2102555643382066e+42
0.1,0.1,1000000000000000.0,1.3205545860329047e+25,7.572576026592836e-11,5575672920622.774,311539774792.64307,12.746297289312512,11.493513501621893,13205545860.329046,1.0911369672198218e-18,1.2102555643382064e+40,1.2102555643382066e+42
0.1,1.0,1000000.0,1.3205545860329043e+27,7.572576026592837e-22,5.575672920622773e+23,3.11539774792643e+22,23.746297289312512,22.493513501621894,1.3205545860329043e+21,1.0911369672198218e-17,1.2102555643382065e+41,1.2102555643382065e+43
0.1,1.0,1000000000.0,1.3205545860329043e+27,7.572576026592838e-19,5.575672920622773e+20,3.1153977479264297e+19,20.746297289312512,19.493513501621894,1.3205545860329042e+18,1.0911369672198218e-17,1.2102555643382065e+41,1.2102555643382065e+43
0.1,1.0,1000000000000.0,1.3205545860329043e+27,7.572576026592838e-16,5.575672920622773e+17,3.1153977479264296e+16,17.746297289312512,16.493513501621894,1320554586032904.2,1.0911369672198218e-17,1.2102555643382065e+41,1.2102555643382065e+43
0.1,1.0,1000000000000000.0,1.3205545860329043e+27,7.572576026592838e-13,557567292062277.3,31153977479264.297,14.746297289312512,13.493513501621893,1320554586032.9043,1.0911369672198218e-17,1.2102555643382065e+41,1.2102555643382065e+43
1.0,0.001,1000000.0,1.320554586032904e+22,7.572576026592839e-17,5.575672920622772e+18,3.1153977479264294e+17,18.746297289312512,17.493513501621894,1.3205545860329042e+16,1.0911369672198218e-19,1.2102555643382065e+38,1.2102555643382064e+40
1.0,0.001,1000000000.0,1.320554586032904e+22,7.57257602659284e-14,5575672920622772.0,311539774792642.9,15.746297289312512,14.493513501621893,13205545860329.04,1.0911369672198218e-19,1.2102555643382065e+38,1.2102555643382064e+40
1.0,0.001,1000000000000.0,1.320554586032904e+22,7.57257602659284e-11,5575672920622.771,311539774792.6429,12.746297289312512,11.493513501621893,13205545860.329039,1.0911369672198218e-19,1.2102555643382065e+38,1.2102555643382064e+40
1.0,0.001,1000000000000000.0,1.320554586032904e+22,7.57257602659284e-08,5575672920.622771,311539774.79264283,9.746297289312512,8.493513501621893,13205545.860329038,1.0911369672198218e-19,1.2102555643382065e+38,1.2102555643382064e+40
1.0,0.01,1000000.0,1.3205545860329042e+24,7.572576026592839e-19,5.5756729206227724e+20,3.1153977479264293e+19,20.746297289312512,19.493513501621894,1.3205545860329042e+18,1.0911369672198218e-18,1.2102555643382064e+39,1.2102555643382067e+41
1.0,0.01,1000000000.0,1.3205545860329042e+24,7.572576026592839e-16,5.5756729206227725e+17,3.1153977479264292e+16,17.746297289312512,16.493513501621894,1320554586032904.0,1.0911369672198218e-18,1.2102555643382064e+39,1.2102555643382067e+41
1.0,0.01,1000000000000.0,1.3205545860329042e+24,7.572576026592839e-13,557567292062277.25,31153977479264.293,14.746297289312512,13.493513501621893,1320554586032.904,1.0911369672198218e-18,1.2102555643382064e+39,1.2102555643382067e+41
