grid_spacing_m,loading_fraction,solve_success,reduced_condition_number,condition_warning,relative_solve_residual,minimum_payload_acceleration_m_s2,maximum_payload_acceleration_m_s2,whole_payload_outward,worst_payload_rho_m,worst_payload_z_m,canonical_field_energy_fixed_source_j,matter_interaction_signed_fixed_source_j,matter_interaction_absolute_fixed_source_j,source_amplitude_factor_to_1g,normalized_field_energy_j,normalized_matter_interaction_signed_j,normalized_matter_interaction_absolute_j,normalized_field_plus_abs_matter_j,sub100j_partial_capacity,sub10kj_partial_capacity
0.075,0.0,True,1.0,False,0.0,9.806650000000014,20.63768963315856,True,1.05,3.199999999999875,1.4597081610973566,8.04736246755931,8.04736246755931,0.9999999999999992,1.4597081610973546,8.047362467559298,8.047362467559298,9.507070628656653,True,True
0.075,0.0001,True,5.740730988547292,False,1.681988399749528e-14,-679.6245822281652,680.8207828790632,False,0.975,2.899999999999878,1.4684197105006918,68.8029998096132,68.8029998096132,,,,,,False,False
0.075,0.0003,True,72.2282490948398,False,1.4244548545113326e-14,-657.8513716515841,393.264905654522,False,0.975,2.899999999999878,1.4617843441109477,19.281113371869026,26.567113632867553,,,,,,False,False
0.075,0.001,True,229.36228466784559,False,1.255949833898762e-14,-1571.8086366979678,1684.2521988496705,False,0.975,2.974999999999877,1.4769942176332178,-13.367666859930146,63.27586584016712,,,,,,False,False
0.075,0.003,True,1404.7286636863482,False,7.908830599783619e-15,-1609.7388683754323,1728.1921438308812,False,0.825,3.1249999999998757,1.4860731148463995,-12.353702702819064,24.671814937562623,,,,,,False,False
0.075,0.01,True,20535.97462832779,False,3.4584929086124885e-14,-18991.580961561212,9772.951478009692,False,0.825,3.0499999999998764,2.4694112409274447,-12.491624160296794,64.77306661116474,,,,,,False,False
0.075,0.03,True,2621.482927340559,False,3.3518810176168853e-15,-1292.348621240666,222.72249312217983,False,0.8999999999999999,3.199999999999875,1.453906001087699,0.45263581428509636,4.823654973078299,,,,,,False,False
0.075,0.1,True,25107.493555537414,False,6.714564092677904e-15,-1224.8625619258253,2174.5197797574447,False,0.8999999999999999,3.199999999999875,1.4848827897538874,-0.39597494718534176,12.86948443810018,,,,,,False,False
0.075,0.3,True,5158.083065873764,False,1.5940691966743265e-15,-49.11778201997104,27.526220199110575,False,1.125,2.899999999999878,1.4433079213007354,0.00045623310471314127,0.03417675121243545,,,,,,False,False
0.075,1.0,True,15204.683222797741,False,1.534587533420384e-15,-45.87943614961025,20.79256041243521,False,1.125,2.899999999999878,1.443311857600068,-0.00014876881221442226,0.0026631009808404512,,,,,,False,False
0.05,0.0,True,1.0,False,0.0,9.80664999999999,22.838770347301118,True,1.1,3.2000000000001876,1.5377640660282965,8.476426220895673,8.476426220895673,1.0000000000000004,1.5377640660282978,8.47642622089568,8.47642622089568,10.014190286923979,True,True
0.05,0.0001,True,7.730191802448332,False,5.415530298566332e-14,-1715.5553528276048,1425.0299123177792,False,1.0,2.9000000000001833,1.5517792858181996,114.98659013002731,115.0882079090258,,,,,,False,False
0.05,0.0003,True,71.99992361609426,False,1.6487234353764888e-14,-485.73879583076484,266.98948511343065,False,0.9500000000000001,2.950000000000184,1.5381189673225018,7.208452987310249,12.366448264833046,,,,,,False,False
0.05,0.001,True,778.6113211254179,False,3.6539791693393256e-14,-9670.813250930236,11997.652997401192,False,0.8500000000000001,2.950000000000184,1.5825351583828837,-2.013602844548581,174.8508581291971,,,,,,False,False
0.05,0.003,True,755.2695183937954,False,1.161118056625309e-14,-1359.742219550643,3053.2533848584694,False,0.9500000000000001,3.2000000000001876,1.5580850012346943,-2.3857319386517277,17.29614243583591,,,,,,False,False
0.05,0.01,True,3307.8208004267135,False,1.4086089053561568e-14,-22521.850031910682,25176.779371578286,False,1.0,3.0000000000001847,1.6065956374960162,0.3361444249784072,320.5578039162366,,,,,,False,False
0.05,0.03,True,3583.766058897584,False,3.656905125145122e-15,-297.1651677200573,228.71664194978493,False,1.0,2.8500000000001826,1.5224019223576215,0.02503315040630197,2.5806060783757374,,,,,,False,False
0.05,0.1,True,48948.53023807262,False,3.7524893342157836e-15,-161.6459382639123,726.3926146001344,False,1.1,2.9000000000001833,1.522169688478773,0.019919547765313954,1.1489072581480668,,,,,,False,False
0.05,0.3,True,42062.11891205161,False,2.8849626680187385e-15,-153.36862219944138,114.56384293617988,False,1.05,2.8500000000001826,1.5215305197289333,-0.008349851882016566,1.3184561225457565,,,,,,False,False
0.05,1.0,True,22416.224645471655,False,2.5346786034345283e-15,-125.836660935389,49.67647063448838,False,1.05,2.8500000000001826,1.5211118484493684,-0.0004013120746162251,0.010665333957289563,,,,,,False,False
