A,A_medium,A_point,C,C_medium,C_point,D,baseline_active,beats_006D,beats_024D_scalar,beta_orbit,beta_spin,curvature_concentration,curvature_norm,d_point,f,family,gap,guide_orbit_factor,guide_spin_factor,index,interaction_duty,interaction_kernel,inventory,k_avg,k_max,k_min,major,medium_high_relerr,min_payload_distance,minor,minor_ratio,mobile_active_ratio,mobile_energy,mode,nphase,overhead,overhead_active_ratio,p,payload_clear,phase,q_scalar,q_winding,reset_capacity,reset_duty,reset_kernel,spin_fraction,winding_index
-0.19326112346441116,,0.5268999514516429,inf,,1.8993274170390138,3.000755523828631,1.0007555238286308,False,False,0.027486793713178484,0.0,1.9905863420488663,5.49555955687252,0.4973747089650854,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.028507974464446306,1.0,1.0,24560,0.004999999999999846,0.5902430983665182,1.0007555238286308,0.2003999957671848,0.5917460269527616,0.10434140361689186,0.9154853596986597,,1.2426954709503764,0.820896462589149,0.8966789625771344,1.0007555238286308,1.0,CONTIGUOUS,4096,0.0,0.0,5,True,2.0051867597343165,2.0,3,2.999244476171369,0.005002519047162085,0.10434684877588835,0.0,9
-0.2778799505079564,,0.5125064783502684,inf,,1.9515399990169686,3.000176892255873,1.000176892255873,False,False,0.013300084806978703,0.0,1.3360890977897157,3.6105616037207278,0.49747066536756773,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.010577880777418613,1.0,1.0,34976,0.005000000000000192,0.6798789999230576,1.000176892255873,0.285842267399278,0.6806475327407091,0.14570662030593795,0.7391984409916696,,1.1672633650870745,0.654836237456453,0.8858734017051757,1.000176892255873,1.0,CONTIGUOUS,4096,0.0,0.0,2,True,5.404007324516242,2.0,3,2.999823107744127,0.0050005896756225915,0.14571848455422606,0.0,6
-0.23390443756047016,,0.5150975898571949,inf,,1.955697858737854,3.0073752535247453,1.0073752535247453,False,False,0.08587929625203833,0.0,1.3365836217172666,3.624955613783672,0.496276937123813,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.01942577864974737,1.0,1.0,115088,0.004999999999999979,0.6213675256245001,1.0073752535247453,0.23974632264351803,0.6222099524125454,0.1152641063384883,0.8586452529916986,,1.2146696466985087,0.7711164467839757,0.8980617363192142,1.0073752535247453,1.0,CONTIGUOUS,4096,0.0,0.0,2,True,4.14462167290594,2.0,3,2.9926247464752547,0.00502464476554719,0.1152733835482817,0.0,6
0.11215229938827928,,0.4832213871003155,8.98894971626429,,2.086272269143947,3.0081313797646607,1.0081313797646607,True,False,0.09017416350962594,0.0,1.0000000000000002,1.0,0.4961515461890271,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.0011595371179282665,1.0,1.0,132784,0.4961515461890271,0.35395666122284974,1.0081313797646607,0.23599678948306424,0.5851600643182713,0.10198254067203859,0.9686480733608985,,1.2423525966722653,0.8233464297894286,0.8499954239651561,1.0081313797646607,1.0,CONTIGUOUS,4096,0.0,0.0,0,True,1.1895676053970057,2.0,1,2.9918686202353393,0.49884845381097304,0.11940346844805498,0.0,1
0.06266602892790435,,0.5657673842895243,16.03377655021325,,1.7759473822991498,3.004773105119218,1.004773105119218,True,False,0.06908766256878153,0.0,2.1980577082728687,2.091717574966844,0.4967084600677297,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.003065379336476326,1.0,1.0,175120,0.4967084600677305,0.3011747048971578,1.004773105119218,0.20924577026742,0.6303864580959303,0.11044416596201158,0.8787838032234198,,1.2056470561586963,0.8019221488335873,0.9125363324768841,1.004773105119218,1.0,CONTIGUOUS,4096,0.0,0.0,2,True,5.9327039580531675,2.0,1,2.995226894880782,0.498291539932271,0.11831960131388632,0.0,3
-0.1572317533123272,,0.5394270009176726,inf,,1.8864293716360316,3.017590938384634,1.0175909383846342,False,False,0.13263083496922629,0.0,2.0147067001681624,5.559844895251146,0.49458283605121484,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.006113602314144373,1.0,1.0,194424,0.005000000000000027,0.5486393374877081,1.0175909383846342,0.16147711915598595,0.5505329609927895,0.07899604216441267,1.081131342048418,,1.279790964373475,0.9924910355566856,0.9180115282535554,1.0175909383846342,1.0,CONTIGUOUS,4096,0.0,0.0,5,True,5.085583449318002,2.0,3,2.982409061615366,0.005058982312691517,0.07899981099488886,0.0,9
0.03430070504532115,,0.5292760979587676,30.238770811965882,,1.959678818965126,3.037211158554308,1.037211158554308,False,False,0.1929019402554259,0.0,2.514455327364038,2.86791234341974,0.4913291495397438,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.004323483444750309,1.0,1.0,198304,0.4913291495397415,0.3592738453788039,1.037211158554308,0.2568873101584804,0.680711765652857,0.14748233511028092,0.7470037593974981,,1.1655445931770223,0.6457658987170867,0.8644747641403229,1.037211158554308,1.0,CONTIGUOUS,4096,0.0,0.0,3,True,0.5277331322832306,2.0,1,2.962788841445692,0.503670850460256,0.15773725082508364,0.0,4
-0.16092905069031035,,0.5193229512368384,inf,,1.9600719663241832,3.0179103581880677,1.0179103581880677,False,False,0.13382958637038248,0.0,2.4019875929776986,4.910657184144425,0.49452986560047874,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.02689296891912818,1.0,1.0,204856,0.004999999999999877,0.5461210596658602,1.0179103581880677,0.16491141405831666,0.5469086729814423,0.08646479918494704,1.0369364247212978,,1.2854636487986735,0.9238592120392114,0.8909506793413312,1.0179103581880677,1.0,CONTIGUOUS,4096,0.0,0.0,5,True,2.536852209962945,2.0,2,2.9820896418119323,0.005060059757885597,0.08646619654023617,0.0,8
-0.32035331530586525,,0.5181129633726304,inf,,1.9529633844958973,3.011855646499411,1.011855646499411,False,False,0.10888363742735237,0.0,2.434190304053797,4.935983477406566,0.49553393862218104,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.0032974155619740486,1.0,1.0,224268,0.004999999999999951,0.7597410363160723,1.011855646499411,0.3250380329624578,0.7602764262850515,0.19276033881786966,0.5926779403221688,,1.113534141817583,0.535353049923144,0.9032781777437777,1.011855646499411,1.0,CONTIGUOUS,4096,0.0,0.0,5,True,2.0460921728661066,2.0,2,2.988144353500589,0.005039675615020129,0.1927647481806682,0.0,8
0.04381624146194149,,0.5209233749559903,23.145717314386825,,1.9468474394006474,3.0141583386570128,1.014158338657013,True,False,0.11898881736118347,0.0,2.1268864287121243,2.0473246502104927,0.4951520755060454,1.0,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0.012347057461738586,1.0,1.0,255264,0.4951520755060445,0.3767106820594405,1.014158338657013,0.26956137511974737,0.6848570996890764,0.1526500756908457,0.7222587425733443,,1.164201661177186,0.6293847034008011,0.8714116788096726,1.014158338657013,1.0,CONTIGUOUS,4096,0.0,0.0,2,True,3.2712587779043383,2.0,1,2.9858416613429872,0.49984792449395465,0.16418054946508454,0.0,3
