source,C_source,scenario,accel_m_s2,h_m,area_model,R_over_h,ell_over_R,B_dimensionless,x_opt_ln_Gamma,Gamma_opt,energy_reduction_factor,E_baseline_J,E_min_J
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,2.0,5.0,343678210220928.3,1.4548492896264265e-15,1.0000000000000016,1.0000000000000007,1.320554586032904e+28,1.3205545860329032e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,OPTIMISTIC_DISK,2.0,10.0,171839105110464.16,2.909698579252849e-15,1.0000000000000029,1.0000000000000016,1.320554586032904e+28,1.320554586032902e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,0.25,0.25,3436782102209283.0,1.4548492896264286e-16,1.0000000000000002,1.0,1.320554586032904e+28,1.320554586032904e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,0.25,0.5,1718391051104641.5,2.9096985792528566e-16,1.0000000000000002,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,0.25,1.0,859195525552320.8,5.819397158505712e-16,1.0000000000000007,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,0.25,2.0,429597762776160.4,1.1638794317011417e-15,1.000000000000001,1.0000000000000007,1.320554586032904e+28,1.3205545860329034e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,0.25,5.0,171839105110464.16,2.909698579252849e-15,1.0000000000000029,1.0000000000000016,1.320554586032904e+28,1.320554586032902e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,0.25,10.0,85919552555232.08,5.819397158505681e-15,1.0000000000000058,1.0000000000000029,1.320554586032904e+28,1.3205545860329003e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,0.5,0.25,6873564204418566.0,7.274246448132143e-17,1.0,1.0000000000000002,1.320554586032904e+28,1.3205545860329039e+28
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,0.5,0.5,3436782102209283.0,1.4548492896264286e-16,1.0000000000000002,1.0,1.320554586032904e+28,1.320554586032904e+28
