sample_index,g,m_gev,mmax_gev,alpha,kr,epsilon,cs_over_c,ppn_alpha2,frequency_hz,growth_rate_per_s,required_time_s,required_time_years
4707232,0.03276104763445737,964377931390.2634,1000000000000.0,6.855723140460934,1.29445838839813,8.54821661738065e-06,0.08577967897943492,9.930753561038295e-09,52980169.73870894,0.024324518465914886,2.171561320538949e+21,68812625818786.88
4008224,0.034274135240991925,972414374601.4813,1000000000000.0,6.383249526229825,1.3541850809895182,8.238931663364662e-06,0.0865939233540969,9.052467360772557e-09,55950796.87775276,0.02386315961155064,2.213545243009158e+21,70143016040800.25
5303840,0.03903845857180253,857613650176.703,1000000000000.0,9.31826125795245,1.4172752790183183,6.379476767509354e-06,0.11916812402058383,2.8658266380678895e-09,80585174.21487866,0.020606542914618,2.563369491922143e+21,81228277559831.64
2600000,0.04319521035614166,946434042162.3818,1000000000000.0,8.505699023064869,1.3211547203079073,6.362690469196796e-06,0.1259768076529946,2.5509408879763505e-09,79411813.53432731,0.02019977700554301,2.614988444021995e+21,82863983446839.9
8295712,0.033599084014509166,936208841971.6821,1000000000000.0,7.612198864604649,1.0636806453240142,8.091542831985595e-06,0.09270059046741154,7.618994742628412e-09,47047287.780120365,0.01935428513980204,2.7292242033102784e+21,86483896218669.3
3110816,0.03254095926526842,712553631443.7429,1000000000000.0,8.957401161107992,1.502330924170847,6.358771852607686e-06,0.09739156924801472,4.2628863969562335e-09,69811634.30613247,0.017735937909456167,2.978257124657236e+21,94375273298895.86
6688160,0.03199077024045248,899750669034.0168,1000000000000.0,3.250396031031711,1.5198543881324336,8.167394215380168e-06,0.05767569495487306,2.0053092817631415e-08,41824971.38272297,0.01753002587855801,3.013240471363255e+21,95483828661344.8
422464,0.04457951641171633,980743817365.8698,1000000000000.0,4.033050034295536,1.4891566898744875,6.388608317758974e-06,0.08952661373501866,5.092232322092769e-09,63611170.849437825,0.016312697507036983,3.238102307636718e+21,102609270275202.1
290720,0.03209108808239249,944258944093.0715,1000000000000.0,5.337777428914947,0.9762132722738934,8.544618974762741e-06,0.07414206417958008,1.3281773095700648e-08,34534264.85632463,0.01584219980277095,3.3342707514695704e+21,105656664368316.05
7390336,0.06274265840976562,952129592016.048,1000000000000.0,8.31212751488747,1.4774925836604353,4.406757820880579e-06,0.18089185582504178,5.934721440909878e-10,127522012.66159917,0.0155597779425261,3.3947903136168154e+21,107574413568104.53
