field,metric,pearson_log_leverage,spearman_leverage,energy_weighted_background_mean,top50_energy_weighted_mean,top50_to_background_ratio
N65_STATIONARY,radius,-0.3132897072541315,-0.05521080222236347,0.8079385513956203,0.6045233842647281,0.7482294083138921
N65_STATIONARY,rho_center,0.24073792616451298,0.04808791313490169,384.19871758852184,441.99153708902344,1.1504242904902091
N65_STATIONARY,S_center,0.16183304908437018,-0.18405405461574925,477.7724539415477,526.5726859303173,1.1021411585916587
N65_STATIONARY,abs_S_center,0.23451202634835416,0.049862830152387544,482.9688464429164,569.7171980044027,1.1796147975182896
N65_STATIONARY,gradS,0.235649241447521,0.049680200310997805,2423.0850681924235,2583.777673716228,1.0663173603078155
N65_STATIONARY,sigma_plane_distance,0.21723501431675454,0.006180486921242695,0.23808788748037085,0.6201146590634182,2.604561977620737
N65_STATIONARY,sigma_nearest_distance,-0.164646828089696,-0.07428420577377563,0.15750082438437096,0.12998515741348926,0.8252982669872798
N65_STATIONARY,distance_energy_ridge,-0.2261609754712391,-0.05016771998481541,0.017143106460083445,0.018860786897571213,1.1001965683108408
N65_STATIONARY,distance_topology_ridge,-0.22932325062770198,-0.04766592137921905,0.045658159160018245,0.039099728310297954,0.8563579660157795
N65_STATIONARY,baryon_abs,0.21916186231104196,0.04531239201704749,1.489479821555674,1.6347517920251102,1.0975320164577378
N65_STATIONARY,strain_eig1,0.23003445609860373,0.04421621020886492,7.127658978300689,7.517567564698906,1.054703597294041
N65_STATIONARY,strain_eig2,0.22991293322759898,0.04564767023971293,8.733934664542025,9.111154400078648,1.043190125644981
N65_STATIONARY,strain_eig3,0.21715298808002553,0.04669898986055249,12.664166081229123,13.274716618115178,1.0482108757078774
N65_STATIONARY,strain_trace,0.2285001213121733,0.045739679164783165,28.52575972407184,29.903438582892733,1.04829595678247
N65_STATIONARY,strain_anisotropy,-0.27241631738976024,-0.0018138331064673678,0.2933682962669211,0.27334826817717156,0.9317580381230617
N65_STATIONARY,strain_eig_ratio,-0.004030523003598874,0.0024564180045451474,2.841595953135932,2.01599709525346,0.7094594476138113
N65_STATIONARY,e4_over_V,0.20108382744115413,0.03945830479774018,4.703887706132348,4.578939176874606,0.9734371785502342
N65_STATIONARY,V_fraction_center,0.03616047038507918,0.08490781328186148,0.19379961346268781,0.2710046308961812,1.398375497525735
N65_STATIONARY,e4_fraction_center,0.19208955816699014,0.04124690952466003,0.710972634000538,0.6628683689098034,0.9323402015910809
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,radius,-0.31849182803934767,-0.12194071892679863,0.8117709629038945,0.41210612291462106,0.5076630499820062
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,rho_center,0.157124464289626,0.11323146023229223,364.3364355974966,266.33254942577224,0.731007177443008
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,S_center,0.051484684243467485,-0.1867158071322787,444.6035882604943,190.7120534230527,0.42894852506524095
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,abs_S_center,0.1446111862183521,0.11336623411538244,452.5264493397425,342.47488938870106,0.7568063477579888
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,gradS,0.16463832824748054,0.11532463240485939,2361.8209335875863,1631.2128405907133,0.6906589815481543
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,sigma_plane_distance,0.23643533406432776,0.017699926697489404,0.23488397614494025,1.0849058460214411,4.618901058418632
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,sigma_nearest_distance,-0.18167629775382238,-0.1484829474884046,0.14990505718839198,0.0949227343195913,0.6332190260952832
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,distance_energy_ridge,-0.2065882558264654,-0.1161569606239777,0.021616377468373763,0.05677019721629412,2.6262585994972008
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,distance_topology_ridge,-0.20349171850189934,-0.11309082853556077,0.054458008820303806,0.12774860226185575,2.345818457729338
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,baryon_abs,0.12168771564652228,0.11062204707360906,1.4109711026018927,0.8641337089451979,0.6124389842936524
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,strain_eig1,0.13391735082366124,0.10954822027901724,6.8017254418249635,4.276711273895552,0.6287685838651071
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,strain_eig2,0.133080723455293,0.11083992257545774,8.353057976053076,5.195191664869608,0.6219508687433294
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,strain_eig3,0.1422564836590695,0.1118896526238136,12.237781792045752,7.963186854956037,0.6507050861236884
N65_EXPANDED_LAMBDA_1P25_DIAGNOSTIC,strain_trace,0.1400319036890024,0.1108802018083541,27.39256520992379,17.435089793721197,0.6364898526336191
