abs_alpha_x_floor,alpha_m,alpha_product_floor_with_field,field_energy_floor_j,fx_scale_gev_max,qabs_floor_kg,qabs_per_source_joule_floor_kg_per_j,scan,source_energy_budget_max_j,status
1.9449654520966605e+17,1.0,1.9449654520966605e+17,958922893787.7195,12.519502582295667,88893565617.36813,2.164065919297701,PHYSICAL,41077106212.28052,ok
5254293111594245.0,2.0,1.050858622318849e+16,239730723446.92987,463.43056016933514,44446782808.68407,0.05846189525137478,PHYSICAL,760269276553.0701,ok
2980703383378857.5,3.0,8942110150136572.0,106546988198.63548,816.921272199765,29631188539.12271,0.03316479786595696,PHYSICAL,893453011801.3645,ok
1661605095770563.5,5.0,8308025478852818.0,38356915751.50878,1465.4504889266589,17778713123.473625,0.018487850029480956,PHYSICAL,961643084248.4912,ok
806670876259881.1,10.0,8066708762598811.0,9589228937.877195,3018.5792888542665,8889356561.736813,0.008975423956873783,PHYSICAL,990410771062.1228,ok
,0.625,,,,,,BLIND_WILDCARD,,field_floor_exceeds_target
7983980498627947.0,1.6,1.2774368797804716e+16,374579255385.8278,304.9857148847566,55558478510.85508,0.08883376349329382,BLIND_WILDCARD,625420744614.1721,ok
5859126508681720.0,1.875,1.0985862203778224e+16,272760289788.5069,415.5909582071586,47409901662.59634,0.06519157438309958,BLIND_WILDCARD,727239710211.4932,ok
2834969871931170.5,3.125,8859280849784908.0,98193704323.86247,858.915653428545,28445940997.5578,0.03154329386914536,BLIND_WILDCARD,901806295676.1376,ok
1661605095770563.5,5.0,8308025478852818.0,38356915751.50878,1465.4504889266589,17778713123.473625,0.018487850029480956,BLIND_WILDCARD,961643084248.4912,ok
