architecture,partial_energy_j,minimal_isotropic_bag_shape_compatible,loop_proxy,fixed_order_canonicalization_control,support_realization
V17_OBLATE,59419.73794114021,False,0.300000060963704,False,OPEN_ANISOTROPIC
V18_SPHERE,3419157.4925465686,True,0.30000013422209776,False,LOWER_BOUND_ONLY_BAG_NOT_CONSTRUCTED
