radius_m,radius_mpc,radial_eigenvalue_s-2,transverse_eigenvalue_s-2,tidal_trace_s-2
1.729539446103825973e+21,5.605055617210358276e-02,5.130870009666950336e-32,-2.564944774101493182e-32,9.804614639639725839e-36
1.731133463565318488e+21,5.610221475986575806e-02,5.116710534101064132e-32,-2.557865036318550080e-32,9.804614639639725839e-36
1.732728950141419520e+21,5.615392095838990516e-02,5.102590136414642438e-32,-2.550804837475339233e-32,9.804614639639725839e-36
1.734325907186128519e+21,5.620567481155615275e-02,5.088508708759005255e-32,-2.543764123647520641e-32,9.804614639639725839e-36
1.735924336054693265e+21,5.625747636328509715e-02,5.074466143583114950e-32,-2.536742841059575489e-32,9.804614639639725839e-36
1.737524238103607247e+21,5.630932565753770519e-02,5.060462333632785829e-32,-2.529740936084410928e-32,9.804614639639725839e-36
1.739125614690618835e+21,5.636122273831558477e-02,5.046497171949795195e-32,-2.522758355242915611e-32,9.804614639639725839e-36
1.740728467174723420e+21,5.641316764966079061e-02,5.032570551871148755e-32,-2.515795045203592391e-32,9.804614639639725839e-36
1.742332796916171538e+21,5.646516043565603937e-02,5.018682367028197150e-32,-2.508850952782116588e-32,9.804614639639725839e-36
1.743938605276467823e+21,5.651720114042468185e-02,5.004832511345849910e-32,-2.501926024940942969e-32,9.804614639639725839e-36
1.745545893618368381e+21,5.656928980813065444e-02,4.991020879041799271e-32,-2.495020208788917649e-32,9.804614639639725839e-36
1.747154663305889972e+21,5.662142648297870812e-02,4.977247364625633411e-32,-2.488133451580834719e-32,9.804614639639725839e-36
1.748764915704301355e+21,5.667361120921420720e-02,4.963511862898124855e-32,-2.481265700717080441e-32,9.804614639639725839e-36
1.750376652180133773e+21,5.672584403112340690e-02,4.949814268950341527e-32,-2.474416903743188777e-32,9.804614639639725839e-36
1.751989874101177287e+21,5.677812499303336313e-02,4.936154478162890267e-32,-2.467587008349463147e-32,9.804614639639725839e-36
1.753604582836479721e+21,5.683045413931189088e-02,4.922532386205133528e-32,-2.460775962370584504e-32,9.804614639645199661e-36
1.755220779756354535e+21,5.688283151436782786e-02,4.908947889034337098e-32,-2.453983713785186289e-32,9.804614639645199661e-36
1.756838466232374002e+21,5.693525716265081249e-02,4.895400882894943731e-32,-2.447210210715489606e-32,9.804614639645199661e-36
1.758457643637378122e+21,5.698773112865154755e-02,4.881891264317712656e-32,-2.440455401426874068e-32,9.804614639645199661e-36
1.760078313345471480e+21,5.704025345690173776e-02,4.868418930118968569e-32,-2.433719234327502025e-32,9.804614639645199661e-36
1.761700476732022718e+21,5.709282419197403424e-02,4.854983777399826546e-32,-2.427001657967931013e-32,9.804614639645199661e-36
1.763324135173671092e+21,5.714544337848229127e-02,4.841585703545360560e-32,-2.420302621040698020e-32,9.804614639645199661e-36
1.764949290048321749e+21,5.719811106108137200e-02,4.828224606223868902e-32,-2.413622072379952191e-32,9.804614639645199661e-36
1.766575942735152546e+21,5.725082728446737046e-02,4.814900383386046534e-32,-2.406959960961041007e-32,9.804614639645199661e-36
1.768204094614611427e+21,5.730359209337757692e-02,4.801612933264235727e-32,-2.400316235900135603e-32,9.804614639645199661e-36
1.769833747068417212e+21,5.735640553259043622e-02,4.788362154371653701e-32,-2.393690846453844590e-32,9.804614639645199661e-36
1.771464901479563788e+21,5.740926764692572820e-02,4.775147945501590711e-32,-2.387083742018813095e-32,9.804614639645199661e-36
1.773097559232320111e+21,5.746217848124456767e-02,4.761970205726648640e-32,-2.380494872131342060e-32,9.804614639645199661e-36
1.774731721712228893e+21,5.751513808044931425e-02,4.748828834397988896e-32,-2.373924186467012188e-32,9.804614639645199661e-36
1.776367390306111848e+21,5.756814648948382213e-02,4.735723731144530492e-32,-2.367371634840282986e-32,9.804614639645199661e-36
1.778004566402066809e+21,5.762120375333326661e-02,4.722654795872219298e-32,-2.360837167204127389e-32,9.804614639645199661e-36
1.779643251389472702e+21,5.767430991702435228e-02,4.709621928763227215e-32,-2.354320733649631348e-32,9.804614639645199661e-36
1.781283446658989556e+21,5.772746502562529913e-02,4.696625030275204455e-32,-2.347822284405619968e-32,9.804614639645199661e-36
1.782925153602555871e+21,5.778066912424576623e-02,4.683664001140548236e-32,-2.341341769838291858e-32,9.804614639645199661e-36
1.784568373613397017e+21,5.783392225803710845e-02,4.670738742365584993e-32,-2.334879140450810237e-32,9.804614639645199661e-36
1.786213108086018408e+21,5.788722447219217526e-02,4.657849155229881225e-32,-2.328434346882958353e-32,9.804614639645199661e-36
1.787859358416213901e+21,5.794057581194556050e-02,4.644995141285430084e-32,-2.322007339910732782e-32,9.804614639645199661e-36
1.789507126001063428e+21,5.799397632257353996e-02,4.632176602355928285e-32,-2.315598070445981882e-32,9.804614639645199661e-36
1.791156412238931689e+21,5.804742604939402972e-02,4.619393440536044251e-32,-2.309206489536039865e-32,9.804614639645199661e-36
