F90_energy_fraction,active_total,active_total_relerr,axial_0,axial_1,axial_2,axial_3,axial_4,back_active_integral,back_center_force,back_energy,back_energy_fraction,back_outward_share,back_thickness,cancellation,category,coefficient,depth,energy,energy_effective_length,force_effective_length,green,gross_opposing,gross_outward,guard_active_integral,guard_center_force,guard_energy,guard_energy_fraction,guard_outward_share,guard_width,guided,max_abs_radial,max_axial,max_conservation_residual,max_dec_ratio_occupied,max_dec_violation,max_transverse_fraction,min_axial,min_width_cells,mode,name,nr,nz,outer_radius,planar_flatness,radial_0,radial_1,radial_2,radial_3,radial_4,radial_laue,solver,status,top_active_integral,top_center_force,top_energy,top_energy_fraction,top_outward_share,top_radius,top_thickness,trace_integral,vertical_laue
,,,,,,,,,,,,,0.4,,PHYSICAL,nan,1.25,,,,False,,,,,,,,0.5,False,,,,,,,,,POINT,024C1_PHYSICAL_A,16,12,4.0,,,,,,,,CLARABEL,infeasible,,,,,,1.5,0.25,,
,,,,,,,,,,,,,0.4,,PHYSICAL,nan,1.25,,,,False,,,,,,,,0.5,False,,,,,,,,,PLANAR,024C1_PHYSICAL_A,16,12,4.0,,,,,,,,CLARABEL,infeasible,,,,,,1.5,0.25,,
,,,,,,,,,,,,,0.4,,PHYSICAL,nan,1.5,,,,False,,,,,,,,0.5,False,,,,,,,,,POINT,024C1_PHYSICAL_B,16,12,4.0,,,,,,,,CLARABEL,infeasible,,,,,,2.0,0.25,,
,,,,,,,,,,,,,0.4,,PHYSICAL,nan,1.5,,,,False,,,,,,,,0.5,False,,,,,,,,,PLANAR,024C1_PHYSICAL_B,16,12,4.0,,,,,,,,CLARABEL,infeasible,,,,,,2.0,0.25,,
0.2249328185385998,75.08485999683668,1.3248474194478763e-15,0.9999999993187778,0.9571970522134801,0.8283081599005806,0.6120129859386192,0.30652785190180154,3.040029648071704,-0.5004755979010331,2.7022486678373685,0.035989261589503094,0.0,0.4,12.576158554356487,PHYSICAL,75.08485999683658,1.5,75.08485999683658,1.2613822004877302,0.8659965705340781,True,5.788079273235276,6.788079272554055,68.84781883214481,-3.0801953051332953,35.407449693501924,0.4715657683185889,0.0,0.5,False,1.9015124405861594,0.9999999993187778,5.034324156959133e-12,1.0000000003102942,5.354571896987181e-09,6.203392053245859,0.30652785190180154,3.0790989174545,POINT,024C1_PHYSICAL_C,16,12,4.5,0.936100872116637,-2.1916179029285359e-16,0.49208672976864637,0.977899119641588,1.4504768906329508,1.9015124405861594,1.4210854715202004e-14,CLARABEL,optimal,3.1970115166259796,4.580670902353108,36.97516163549729,0.49244497009190796,0.6748110501410812,2.5,0.25,1.0459863047102366e-13,9.038777575582165e-14
,,,,,,,,,,,,,0.4,,PHYSICAL,nan,1.5,,,,False,,,,,,,,0.5,False,,,,,,,,,PLANAR,024C1_PHYSICAL_C,16,12,4.5,,,,,,,,CLARABEL,infeasible,,,,,,2.5,0.25,,
0.2366815712502917,82.44856426590059,5.170807342152614e-16,0.9999999980718459,0.9614474383785638,0.8452392670221474,0.6497817307411977,0.37262453666054984,3.512530931404119,-0.40517394896667447,3.122249838644924,0.037869062565789736,0.0,0.4,12.76674506908658,PHYSICAL,82.44856426590054,2.0,82.44856426590054,1.398541714936862,1.0084838559478768,True,5.883372523199242,6.883372521271086,79.85151629084922,-3.6678504112575765,41.2136858939514,0.49987148061226755,0.0,0.5,False,1.8944406800756846,0.9999999980718459,5.89095451648955e-13,1.0000000006704617,9.80845804576802e-09,5.0840470599537175,0.37262453666054984,3.2271483390332056,POINT,024C1_PHYSICAL_D,16,12,5.0,0.819222027492383,-1.327696540485103e-16,0.485147756283086,0.9659899645229458,1.4377071998484725,1.8944406800756846,-2.1316282072803006e-14,CLARABEL,optimal,-0.915482956352033,5.073024358296097,38.1126285333042,0.46225945682194247,0.7369969215844954,2.5,0.25,-2.6570475010815375e-15,1.8659234571721468e-14
,,,,,,,,,,,,,0.4,,PHYSICAL,nan,2.0,,,,False,,,,,,,,0.5,False,,,,,,,,,PLANAR,024C1_PHYSICAL_D,16,12,5.0,,,,,,,,CLARABEL,infeasible,,,,,,2.5,0.25,,
,,,,,,,,,,,,,0.4,,BLIND_WILDCARD_NOT_PHYSICS_PRIOR,nan,1.6,,,,False,,,,,,,,0.5,False,,,,,,,,,POINT,024C1_WILDCARD_TOPR_0P625,12,10,5.0,,,,,,,,CLARABEL,infeasible,,,,,,0.625,0.25,,
,,,,,,,,,,,,,0.4,,BLIND_WILDCARD_NOT_PHYSICS_PRIOR,nan,1.6,,,,False,,,,,,,,0.5,False,,,,,,,,,POINT,024C1_WILDCARD_TOPR_1P6,12,10,5.0,,,,,,,,CLARABEL,infeasible,,,,,,1.6,0.25,,
