power,assumed_cutoff_ratio_LambdaUV_over_Lambda,wilsonian_loop_order_to_xT,one_loop_factor,loop_factor,cutoff_power_factor,nda_generated_xT_coefficient,active_log_slope,nda_relative_offstate_to_active_coupling,maximum_relative_offstate_coupling_for_old_overlap,nda_below_old_overlap_threshold,diagnostic_adjusted_old_empirical_min_ev,old_energy_metric_max_ev,historical_overlap_reopens_under_nda_assumptions,multiplicative_nda_uncertainty_headroom_before_old_overlap_closes,exact_beta_function,uv_matching_computed,combinatoric_factors_computed,nda_only
2,1.0,1,0.006332573977646111,0.006332573977646111,1.0,0.015445302384502707,0.4761904761904761,0.03243513500745569,0.9851566116468706,True,52392.51408887634,122996.182,True,30.373131217749453,False,False,False,True
3,1.0,2,0.006332573977646111,4.010149318236069e-05,1.0,0.0006467982771348497,0.47619047619047616,0.0013582763819831843,0.9851566116468706,True,23700.764153873475,122996.182,True,725.2990810371516,False,False,False,True
4,1.0,3,0.006332573977646111,2.539456721913702e-07,1.0,3.059586411944218e-05,0.47619047619047616,6.425131465082858e-05,0.9851566116468706,True,11053.143691569194,122996.182,True,15332.863101722793,False,False,False,True
