region,radius,epsilon,p_r,p_phi,gram_r,gram_phi,gram_z,potential,gram_rank,gram_psd,strict_axisymmetric_scalars_sufficient
core,1.434375564637,1.0,-1.0,-1.0,0.0,0.0,1.0,0.5,1,True,True
inner_transition,1.437500564637,1.0,-1.0,0.0,0.0,1.0,1.0,-0.0,2,True,False
transfer_annulus,3.0694689849685,0.21932571254048716,-0.21932571254048716,0.21932571254048716,0.0,0.4386514250809743,0.21932571254048716,-0.10966285627024358,2,True,False
outer_collar,4.7045624053,105.46305145775968,-0.046681799042903226,105.46305145775968,105.41636965871677,210.92610291551935,105.46305145775968,-105.43971055823823,3,True,False
