cell_count,outer_radius_over_h,lp_coefficient,closed_form_coefficient,relative_error
50,8.0,23.279848767693252,23.426710175391012,-0.0062689727494060765
100,8.0,23.39009467109337,23.426710175391012,-0.0015629810598035698
200,8.0,23.417573464367834,23.426710175391012,-0.00039001255211568164
400,8.0,23.424535334823865,23.426710175391012,-9.28359360261588e-05
800,8.0,23.426231369342077,23.426710175391012,-2.043846726029752e-05
