metric_scale_ev,epsilon_trace_load,q,q2,q2_factor_from_vacuum,field_energy_j,occupied_band_energy_j,fermion_pressure_perp_inventory_j,fermion_pressure_z_inventory_j,support_energy_floor_j,partial_conservative_floor_j,limiting_surface_cosine,c1_ev_m4,under_strict_10mj_partial_only,complete_operating_ledger,trusted_energy_oracle
100000.0,0.010289678683459941,3.673438022396254e-07,1.34941469043865e-13,1.0064332154208786,196441.74170452493,199079882.21199632,64538507.587870225,64538507.587870315,64577795.93621122,263854119.88991207,1.0,5e-21,False,False,False
80000.0,0.02512128584829087,3.690392836337274e-07,1.3618999286489473e-13,1.0157450737594005,81207.00383905835,82297584.1019866,26679557.959419943,26679557.959419973,26695799.360187784,109074590.46601345,1.0,1.220703125e-20,False,False,False
50000.0,0.16463485893535906,3.8501416232656994e-07,1.4823590519203036e-13,1.1055870353296884,13487.199119273062,13668327.254363645,4431052.662970107,4431052.662970113,4433750.102793967,18115564.556276888,1.0,8e-20,False,False,False
40000.0,0.40194057357265395,4.1228004500778936e-07,1.6997483551162482e-13,1.267722379611792,6334.508702499271,6419578.82994769,2081124.5838809533,2081124.583880956,2082391.4856214558,8508304.824271644,1.0,1.953125e-19,True,False,False
30000.0,1.2703307016617211,5.127074756758923e-07,2.628689556139457e-13,1.9605540839849007,3099.650021291398,3141277.1836714447,1018351.7244504711,1018351.7244504725,1018971.6544547308,4163348.488147467,1.0,6.172839506172839e-19,True,False,False
23971.29870009097,3.1162734453356986,7.277248457230388e-07,5.295834510826206e-13,3.9497893366901904,2545.59319853775,2579779.581097457,836323.1996108652,836323.1996108663,836832.3182505738,3419157.4925465686,1.0,1.5142715050689224e-18,True,False,False
20000.0,6.431049177162463,1.1154439925024723e-06,1.2442153004098553e-12,9.279724122910578,2898.0365771886377,2936956.144995743,952114.117925814,952114.1179258152,952693.7252412529,3892547.906814184,1.0,3.125e-18,True,False,False
15000.0,20.325291226587538,2.7441240623352577e-06,7.530216869487357e-12,56.162575007325074,5549.589534384393,5624118.485428413,1823249.08732054,1823249.0873205424,1824359.0052274193,7454027.080190217,1.0,9.876543209876543e-18,True,False,False
10000.0,102.89678683459941,1.2429102243357541e-05,1.5448258257583547e-10,1152.1765948596517,22488.881882815025,22790899.314283494,7388444.336946859,7388444.336946868,7392942.113323431,30206330.309489742,1.0,5e-17,False,False,False
