grid,sector,sector_fraction,worst_direction_index,scalar_leverage_min_m2inv,scalar_leverage_mean_m2inv,scalar_leverage_max_m2inv,gr_acceleration_coeff_max_per_J,scalar_acceleration_coeff_per_alphaX_J,self_energy_coeff_per_J,self_energy_self_fraction,R4S_alphaX,R4S_E_B7_J,R4S_E_scalar_J,R4S_E_total_J,R4S_83GJ_pass,Qabs_R4S_kg,reachable,asymptotic_floor_J,alpha_required,f_eff_GeV,F50_energy_fraction,F90_energy_fraction,front_fraction,rear_fraction,front_rear_asymmetry,dipole_over_source_radius,productive_charge_participation
N73,e2,0.09464198238928513,38,0.019624875770044747,0.019624888151114322,0.01962490126731235,1.7670832100953147e-28,7.872850102141063e-28,3.991864391035112e-46,0.002248271096234582,1.930268511132369e+17,64531382137.97022,61937427748.70242,126468809886.67264,False,13116897222.243853,True,61937427748.70241,5.98475831099748e+17,4.0686688976654075,0.4948820110088354,0.8978011897780098,0.5000000840443595,0.4999999159556405,1.680887190238675e-07,7.155408418118826e-11,1.0
N73,e4,0.7118467531732413,38,0.14759422144339593,0.1475943451177363,0.1475945600966652,1.7670832100953147e-28,5.9209912713930054e-27,2.586906673907311e-44,0.003583374198713382,1.930268511132369e+17,8580419648.831827,70963212980.99171,79543632629.82355,True,13118112690.613571,True,70963212980.99171,1.4050830848701526e+17,17.329936045917346,0.4951194071235595,0.898686348559131,0.5000000001651587,0.49999999983484134,3.303173036490807e-10,8.717915873869803e-11,1.0
N73,V,0.19351126443747355,251,0.04012378319623791,0.04012379988043877,0.04012382506531448,1.7670832100953147e-28,1.6096332753196699e-27,1.820554748342999e-45,0.00232677927530367,1.930268511132369e+17,31562835227.503975,67575802507.27217,99138637734.77615,False,13117726716.928387,True,67575802507.27217,4.014815765220146e+17,6.06503546462606,0.4934379266243697,0.8983054548654624,0.500078632682147,0.49992136731785286,0.00015726536429423843,5.483212071919097e-11,1.0
N81,e2,0.09494468226077628,38,0.019687620144077288,0.019687628159447256,0.019687637979215605,1.767082317477519e-28,7.89802106665055e-28,4.025448996731807e-46,0.0018087751823619418,1.930268511132369e+17,64325720857.01952,62061047840.03518,126386768697.0547,False,13116912677.419268,True,62061047840.035164,6.00132956665228e+17,4.0574342284593365,0.4949414008643106,0.8976303512438478,0.5000000899755452,0.49999991002445476,1.7995109049348828e-07,1.6974897895236186e-10,1.0
N81,e4,0.7101021764433895,288,0.1472323262648234,0.14723239513263237,0.147232495318175,1.767082317477519e-28,5.906473235574721e-27,2.581598307635363e-44,0.002886605536945636,1.930268511132369e+17,8601510210.801592,71166160891.88875,79767671102.69034,True,13118128269.064137,True,71166160891.88876,1.4332125438244112e+17,16.98980385353313,0.49564167214039,0.898469990091756,0.5000000001601302,0.49999999983986976,3.202604467628151e-10,1.432352369239913e-10,1.0
N81,V,0.1949531412958343,251,0.0404227138412038,0.040422726110622836,0.04042274432261447,1.767082317477519e-28,1.621625382614153e-27,1.8509502892506653e-45,0.001873266394008917,1.930268511132369e+17,31329424409.799488,67691640473.701195,99021064883.50069,False,13117738635.824522,True,67691640473.701195,4.0157801324265056e+17,6.063578980178551,0.49348432177236495,0.8980843258295819,0.5000568533168521,0.49994314668314777,0.00011370663370435836,1.7128692944895552e-10,1.0
