loop_cap,r_mass_over_b,u_mu_over_b,loop_proxy,partial_conservative_floor_j,under_strict_10mj_partial_only,minimum_flavors_continuous_for_margin5,selected_integer_flavors,hard_scale_margin,f_psi_ev,axial_b_ev,m_psi_ev,chemical_potential_ev,particle_number,fixed_density_susceptibility_hat,susceptibility_to_current_ratio,renormalized_dirac_sea_included
0.2,1.171985014493244,6.011914951306309,0.20000007203184605,40770183.85451512,False,32.89210806218684,33.0,5.008193728892114,36.354443127042416,15.173068286717365,17.782608655915432,91.21919609010773,2.7896263440430103e+24,0.21707333264775475,0.7549354264918229,False
0.25,1.1954982724744092,4.119420808292177,0.25000006761185206,10101827.992524112,False,18.55216313353799,19.0,5.059988473860839,30.248466724789385,18.235914339424692,21.801004089773528,75.12140498805977,8.393167179714304e+23,0.16417983625127697,0.6859292702506757,False
0.3,1.2286138490752774,3.27821298270277,0.300000060963704,4262918.896896612,True,13.348881545106963,14.0,5.120490710071961,27.144690651647558,20.32104381556904,24.96671585947364,66.61670965827027,3.994050008647833e+23,0.12728687918754644,0.6042149487286751,False
0.5,1.4865425042266143,2.4834328460936934,0.5000000006040571,1259137.4955026316,True,8.721681061849596,9.0,5.079151399382254,23.530562660920975,23.442212412892964,34.84784514487413,58.21716029128368,1.3499315433545995e+23,-0.09520144914323958,-0.514489123995391,False
