mode,tree_level_action_scaffold,exact_v24_projector_nonzero,free_healthy_mode,active_metric_response,field_redefinition_survival,same_action_provenance_complete,protection_gate_pass
HOOK_2_PLUS,True,True,True,True,True,False,False
HOOK_1_PLUS,True,True,True,True,True,False,False
