omega,I_E,I_Q,E_over_Q_dimensionless
0.34,2393.8534356254313,4782.107086208038,0.5005854934803713
0.36000000000000004,2150.3055769009516,4085.5459479365477,0.5263202529852805
0.375,1990.6460575181814,3650.8725152520915,0.5452521415639537
0.385,1893.5676858242534,3395.3479946574726,0.5576947307915868
0.4,1760.249740629861,3055.5299585798334,0.5760865592847926
0.41500000000000004,1639.9306614758432,2760.1439178846626,0.5941467946108636
0.42500000000000004,1566.0984848805804,2584.322028495416,0.6059997429160784
0.44,1463.8469158371809,2347.8137812589443,0.623493620968626
0.46,1341.464875286651,2075.6866191362924,0.6462752435359649
