mu,z_m,rho_m,axial_accel_mps2
-1.0,0.09999999700712056,0.0,264.7795658490661
-0.998,0.10019999700712057,0.006321392251711643,261.11458019136256
-0.996,0.10039999700712056,0.008935323161475465,257.5317399639969
-0.994,0.10059999700712056,0.010938007131100241,254.0285517989834
-0.992,0.10079999700712056,0.012623787070447624,250.6026171205453
-0.99,0.10099999700712056,0.014106735979665894,247.251627832183
-0.988,0.10119999700712057,0.015445387661046254,243.9733622316004
-0.986,0.10139999700712056,0.016674531477675784,240.76568113981185
-0.984,0.10159999700712057,0.01781684596105607,237.62652423166654
-0.982,0.10179999700712056,0.018888091486436644,234.55390655588252
-0.98,0.10199999700712056,0.01989974874213242,231.5459152334623
-0.978,0.10219999700712057,0.020860488968382312,228.60070632410168
-0.976,0.10239999700712056,0.021777052142105926,225.71650185087168
-0.974,0.10259999700712057,0.022654800815721167,222.89158697408757
-0.972,0.10279999700712056,0.023498085028359237,220.124307305861
-0.97,0.10299999700712056,0.024310491562286443,217.41306635737192
-0.968,0.10319999700712057,0.025095019426173006,214.75632311140424
-0.966,0.10339999700712056,0.025854206620973697,212.15258971315262
-0.964,0.10359999700712057,0.026590223767392424,209.60042927275256
-0.962,0.10379999700712056,0.027304944607158623,207.09845377338192
-0.96,0.10399999700712056,0.028000000000000004,204.64532207916778
-0.958,0.10419999700712057,0.028676819907374685,202.23973803748373
-0.956,0.10439999700712056,0.02933666647729425,199.88044867054867
-0.954,0.10459999700712057,0.029980660433019165,197.5662424515474
-0.952,0.10479999700712056,0.030609802351534404,195.29594766078074
-0.95,0.10499999700712057,0.031224989991991997,193.06843081761528
-0.948,0.10519999700712057,0.031827032535252174,190.8825951842609
-0.946,0.10539999700712056,0.03241666238217625,188.73737933762783
-0.944,0.10559999700712057,0.03299454500368206,186.6317558057416
-0.942,0.10579999700712056,0.03356128722203606,184.5647297653951
-0.94,0.10599999700712057,0.03411744421846397,182.5353377979055
-0.938,0.10619999700712057,0.034663525498714085,180.54264670003104
-0.9359999999999999,0.10639999700712056,0.03520000000000002,178.58575234725865
-0.9339999999999999,0.10659999700712057,0.035727300485762996,176.6637786068419
-0.932,0.10679999700712056,0.0362458273460546,174.77587629810859
-0.93,0.10699999700712055,0.0367559518989782,172.92122219769888
-0.928,0.10719999700712056,0.037258019271024054,171.09901808752377
-0.926,0.10739999700712055,0.03775235092017448,169.30848984335495
-0.924,0.10759999700712056,0.038239246854508,167.54888656207206
-0.922,0.10779999700712056,0.03871898759007006,165.81947972570126
-0.92,0.10799999700712055,0.039191835884530846,164.11956240047826
-0.918,0.10819999700712056,0.03965803827725219,162.44844846926566
-0.916,0.10839999700712055,0.04011782646156195,160.80547189574307
-0.914,0.10859999700712056,0.04057141851106515,159.18998601887137
-0.912,0.10879999700712056,0.04101901997854166,157.60136287621435
-0.91,0.10899999700712056,0.041460824883255754,156.03899255477253
-0.908,0.10919999700712056,0.04189701660023061,154.50228256805408
-0.906,0.10939999700712055,0.0423277686631365,152.9906572581781
-0.904,0.10959999700712056,0.042753245490839635,151.5035572218618
