metric_scale_ev,c1_ev_m4,epsilon_trace_load,q2_required,q2_factor_from_vacuum_source,partial_energy_j,limiting_surface_cosine,passes_strict_partial_energy,passes_r5_empirical_c_cap,simultaneous_empirical_and_partial_energy_pass,complete_operating_energy,physical_anisotropic_support_constructed
100000.0,5e-21,0.010289678683459941,8.36913013859805e-15,1.0067777848897577,4386155.960285911,1.0,True,False,False,False,False
110000.0,3.4150672768253534e-21,0.007027988992186287,8.351249031733124e-15,1.0046267487769576,6408050.474624169,1.0,True,False,False,False,False
120000.0,2.4112654320987653e-21,0.004962229303366098,8.339934459430029e-15,1.0032656443549164,9063404.661818445,1.0,True,False,False,False,False
122996.18244440094,2.184758694115175e-21,0.00449609299266814,8.337382438821068e-15,1.0029586449878216,10000000.003350168,1.0,False,False,False,False,False
123456.8841240774,2.152329494814525e-21,0.004429355784515024,8.337017096579876e-15,1.0029146955634223,10150225.4393259,1.0,False,True,False,False,False
125000.0,2.0480000000000002e-21,0.0042146523887451924,8.335841793261455e-15,1.0027733105865015,10665795.792754592,1.0,False,True,False,False,False
130000.0,1.7506389832288784e-21,0.0036027025256328356,8.332492402821363e-15,1.0023703903508063,12472458.98525634,1.0,False,True,False,False,False
