cutoff_over_hard,cutoff_ev,full_symmetry_restored_density_ev4,quadratic_wavefunction_density_ev4,nonlinear_remainder_ev4,nonlinear_remainder_j,physical_vacuum_energy_claim
1.0,56.92491792612398,21124.989302799695,22482.49610135911,-1357.5067985594142,-118.57185271848154,False
1.5,85.38737688918597,25740.94794970441,27122.183222180916,-1381.2352724765078,-120.6444236385813,False
2.0,113.84983585224796,29047.01431928877,30436.755353678443,-1389.7410343896736,-121.38736205325193,False
3.0,170.77475377837195,33727.999289131505,35123.88059484178,-1395.8813057102743,-121.92368595781758,False
5.0,284.6245896306199,39641.88694773265,41040.92864800054,-1399.0417002678878,-122.19973160150444,False
8.0,455.39934340899185,45089.71316750241,46489.86677637365,-1400.1536088712455,-122.29685160362426,False
