stage,family,p,q,positive_cases,best_C,beats_006D,beats_024D_scalar
POINT_BOUND,ELASTIC_CURVATURE_PROXY_WITH_SPIN,5,2,6949,4.189760814764996,True,True
POINT_BOUND,ELASTIC_CURVATURE_PROXY_WITH_SPIN,5,3,6701,5.601172529115695,True,True
HIGH_CONTIGUOUS,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,1,0,0,inf,False,False
HIGH_CONTIGUOUS,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,0,1,3,8.517759134064704,True,False
HIGH_CONTIGUOUS,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,1,1,3,11.843556473804155,True,False
HIGH_CONTIGUOUS,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,2,1,2,16.033766737245546,True,False
HIGH_CONTIGUOUS,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,3,1,1,20.922846288337173,True,False
HIGH_CONTIGUOUS,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,1,2,0,inf,False,False
HIGH_CONTIGUOUS,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,2,3,0,inf,False,False
HIGH_CONTIGUOUS,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,3,2,0,inf,False,False
HIGH_CONTIGUOUS,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,5,2,0,inf,False,False
HIGH_CONTIGUOUS,IDEAL_KERNEL_ADAPTIVE_DEC_FLOOR,5,3,0,inf,False,False
HIGH_CONTIGUOUS,SCALAR_DEC_FLOOR_NO_SPIN,1,0,0,inf,False,False
HIGH_CONTIGUOUS,SCALAR_DEC_FLOOR_NO_SPIN,0,1,3,19.04617807598028,True,False
HIGH_CONTIGUOUS,SCALAR_DEC_FLOOR_NO_SPIN,1,1,1,263.3061022046191,False,False
HIGH_CONTIGUOUS,SCALAR_DEC_FLOOR_NO_SPIN,2,1,1,49.61983202318112,False,False
HIGH_CONTIGUOUS,SCALAR_DEC_FLOOR_NO_SPIN,3,1,1,117.61697986483392,False,False
HIGH_CONTIGUOUS,SCALAR_DEC_FLOOR_NO_SPIN,1,2,0,inf,False,False
HIGH_CONTIGUOUS,SCALAR_DEC_FLOOR_NO_SPIN,2,3,0,inf,False,False
HIGH_CONTIGUOUS,SCALAR_DEC_FLOOR_NO_SPIN,3,2,0,inf,False,False
HIGH_CONTIGUOUS,SCALAR_DEC_FLOOR_NO_SPIN,5,2,0,inf,False,False
HIGH_CONTIGUOUS,SCALAR_DEC_FLOOR_NO_SPIN,5,3,0,inf,False,False
HIGH_CONTIGUOUS,SCALAR_CURVATURE_PROXY_NO_SPIN,1,0,0,inf,False,False
HIGH_CONTIGUOUS,SCALAR_CURVATURE_PROXY_NO_SPIN,0,1,4,19.426118914324988,True,False
HIGH_CONTIGUOUS,SCALAR_CURVATURE_PROXY_NO_SPIN,1,1,1,1510.522594448215,False,False
HIGH_CONTIGUOUS,SCALAR_CURVATURE_PROXY_NO_SPIN,2,1,2,57.806483155445264,False,False
HIGH_CONTIGUOUS,SCALAR_CURVATURE_PROXY_NO_SPIN,3,1,1,80.48085434568029,False,False
HIGH_CONTIGUOUS,SCALAR_CURVATURE_PROXY_NO_SPIN,1,2,0,inf,False,False
HIGH_CONTIGUOUS,SCALAR_CURVATURE_PROXY_NO_SPIN,2,3,0,inf,False,False
HIGH_CONTIGUOUS,SCALAR_CURVATURE_PROXY_NO_SPIN,3,2,0,inf,False,False
HIGH_CONTIGUOUS,SCALAR_CURVATURE_PROXY_NO_SPIN,5,2,0,inf,False,False
HIGH_CONTIGUOUS,SCALAR_CURVATURE_PROXY_NO_SPIN,5,3,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_NO_SPIN,1,0,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_NO_SPIN,0,1,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_NO_SPIN,1,1,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_NO_SPIN,2,1,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_NO_SPIN,3,1,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_NO_SPIN,1,2,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_NO_SPIN,2,3,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_NO_SPIN,3,2,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_NO_SPIN,5,2,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_NO_SPIN,5,3,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_WITH_SPIN,1,0,0,inf,False,False
HIGH_CONTIGUOUS,KINETIC_DEC_FLOOR_WITH_SPIN,0,1,0,inf,False,False
